% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from /data/sunsat/TMF_2024/data_processed/allstarmats/4STARB_20240713starsun.mat and recorded on 2024-07-13 17:08:49.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
0 171.23 -1.00000000e+00 -1.00000000e+00 
1 172.04 1.47789414e-03 4.43368226e-05 
2 172.86 5.01717266e-04 1.50515179e-05 
3 173.67 1.89891201e-03 5.69673612e-05 
4 174.48 1.51308727e+00 4.53926176e-02 
5 175.29 1.58681834e+00 4.76045497e-02 
6 176.11 1.60325873e+00 4.80977632e-02 
7 176.92 1.58800220e+00 4.76400666e-02 
8 177.73 1.55485368e+00 4.66456115e-02 
9 178.54 1.55166292e+00 4.65498865e-02 
10 179.36 1.53592157e+00 4.60776463e-02 
11 180.17 1.52060080e+00 4.56180237e-02 
12 180.98 1.51920927e+00 4.55762781e-02 
13 181.79 1.50400078e+00 4.51200232e-02 
14 182.61 1.48904955e+00 4.46714871e-02 
15 183.42 1.46972120e+00 4.40916345e-02 
16 184.23 1.46363950e+00 4.39091846e-02 
17 185.04 1.45758021e+00 4.37274054e-02 
18 185.86 1.44164610e+00 4.32493836e-02 
19 186.67 1.43346691e+00 4.30040061e-02 
20 187.48 1.43783188e+00 4.31349576e-02 
21 188.29 1.42037606e+00 4.26112823e-02 
22 189.11 1.40767574e+00 4.22302708e-02 
23 189.92 1.38651669e+00 4.15955000e-02 
24 190.73 1.40454459e+00 4.21363376e-02 
25 191.54 1.38411224e+00 4.15233672e-02 
26 192.36 1.37725341e+00 4.13176008e-02 
27 193.17 1.35347867e+00 4.06043604e-02 
28 193.98 1.35430634e+00 4.06291895e-02 
29 194.79 1.35811281e+00 4.07433845e-02 
30 195.61 1.33819640e+00 4.01458926e-02 
31 196.42 1.33095193e+00 3.99285592e-02 
32 197.23 1.32650924e+00 3.97952758e-02 
33 198.04 1.29955018e+00 3.89865041e-02 
34 198.86 1.30841434e+00 3.92524302e-02 
35 199.67 1.29308701e+00 3.87926102e-02 
36 200.48 1.29142213e+00 3.87426652e-02 
37 201.29 1.27511609e+00 3.82534824e-02 
38 202.11 1.26954174e+00 3.80862504e-02 
39 202.92 1.26673603e+00 3.80020812e-02 
40 203.73 1.26976585e+00 3.80929746e-02 
41 204.54 1.26214647e+00 3.78643945e-02 
42 205.36 1.26555026e+00 3.79665084e-02 
43 206.17 1.25758076e+00 3.77274230e-02 
44 206.98 1.24334097e+00 3.73002291e-02 
45 207.79 1.22921777e+00 3.68765332e-02 
46 208.61 1.22187901e+00 3.66563685e-02 
47 209.42 1.24014235e+00 3.72042693e-02 
48 210.23 1.23368633e+00 3.70105915e-02 
49 211.04 1.23635054e+00 3.70905176e-02 
50 211.86 1.24425662e+00 3.73276994e-02 
51 212.67 1.24190342e+00 3.72571014e-02 
52 213.48 1.24847627e+00 3.74542885e-02 
53 214.29 1.26186252e+00 3.78558747e-02 
54 215.11 1.26155925e+00 3.78467776e-02 
55 215.92 1.29081631e+00 3.87244895e-02 
56 216.73 1.30610299e+00 3.91830914e-02 
57 217.54 1.29678202e+00 3.89034599e-02 
58 218.35 1.31198168e+00 3.93594503e-02 
59 219.17 1.30411148e+00 3.91233452e-02 
60 219.98 1.32040167e+00 3.96120511e-02 
61 220.79 1.32157207e+00 3.96471620e-02 
62 221.60 1.35363233e+00 4.06089686e-02 
63 222.42 1.37100506e+00 4.11301516e-02 
64 223.23 1.38584518e+00 4.15753573e-02 
65 224.04 1.38391685e+00 4.15175073e-02 
66 224.85 1.41536880e+00 4.24610637e-02 
67 225.67 1.40800738e+00 4.22402211e-02 
68 226.48 1.44967842e+00 4.34903540e-02 
69 227.29 1.46224988e+00 4.38674949e-02 
70 228.10 1.48349619e+00 4.45048846e-02 
71 228.91 1.52443123e+00 4.57329378e-02 
72 229.73 1.55733049e+00 4.67199162e-02 
73 230.54 1.57194901e+00 4.71584685e-02 
74 231.35 1.60668886e+00 4.82006669e-02 
75 232.16 1.62439442e+00 4.87318337e-02 
76 232.97 1.63270974e+00 4.89812940e-02 
77 233.79 1.67493081e+00 5.02479225e-02 
78 234.60 1.69147086e+00 5.07441275e-02 
79 235.41 1.73582554e+00 5.20747676e-02 
80 236.22 1.78957105e+00 5.36871329e-02 
81 237.04 1.80644023e+00 5.41932061e-02 
82 237.85 1.86367619e+00 5.59102856e-02 
83 238.66 1.88662672e+00 5.65988012e-02 
84 239.47 1.90805387e+00 5.72416149e-02 
85 240.28 1.93025088e+00 5.79075254e-02 
86 241.10 1.99798787e+00 5.99396378e-02 
87 241.91 2.03942800e+00 6.11828417e-02 
88 242.72 2.10091805e+00 6.30275384e-02 
89 243.53 2.10348821e+00 6.31046444e-02 
90 244.34 2.13836646e+00 6.41509965e-02 
91 245.16 2.18687701e+00 6.56063110e-02 
92 245.97 2.18220210e+00 6.54660612e-02 
93 246.78 2.20728922e+00 6.62186742e-02 
94 247.59 2.25039053e+00 6.75117150e-02 
95 248.40 2.25269246e+00 6.75807744e-02 
96 249.22 2.28355885e+00 6.85067624e-02 
97 250.03 2.30264997e+00 6.90794960e-02 
98 250.84 2.32624960e+00 6.97874874e-02 
99 251.65 2.33903646e+00 7.01710954e-02 
100 252.46 2.36058974e+00 7.08176941e-02 
101 253.27 2.34904671e+00 7.04713985e-02 
102 254.09 2.33057070e+00 6.99171200e-02 
103 254.90 2.32948208e+00 6.98844641e-02 
104 255.71 2.34894824e+00 7.04684481e-02 
105 256.52 2.32725692e+00 6.98177069e-02 
106 257.33 2.33206940e+00 6.99620843e-02 
107 258.15 2.30568695e+00 6.91706091e-02 
108 258.96 2.28592062e+00 6.85776174e-02 
109 259.77 2.27868581e+00 6.83605745e-02 
110 260.58 2.24391007e+00 6.73172995e-02 
111 261.39 2.21787357e+00 6.65362105e-02 
112 262.20 2.16830301e+00 6.50490895e-02 
113 263.02 2.13834596e+00 6.41503781e-02 
114 263.83 2.11907244e+00 6.35721758e-02 
115 264.64 2.08008051e+00 6.24024160e-02 
116 265.45 2.08801866e+00 6.26405627e-02 
117 266.26 2.01242948e+00 6.03728853e-02 
118 267.07 1.95286250e+00 5.85858747e-02 
119 267.89 1.88073802e+00 5.64221404e-02 
120 268.70 1.87985218e+00 5.63955642e-02 
121 269.51 1.82947433e+00 5.48842289e-02 
122 270.32 1.81276691e+00 5.43830059e-02 
123 271.13 1.77140427e+00 5.31421266e-02 
124 271.94 1.71935844e+00 5.15807532e-02 
125 272.75 1.67137575e+00 5.01412712e-02 
126 273.57 1.65037155e+00 4.95111458e-02 
127 274.38 1.59604144e+00 4.78812419e-02 
128 275.19 1.57703483e+00 4.73110452e-02 
129 276.00 1.52491248e+00 4.57473733e-02 
130 276.81 1.50198686e+00 4.50596064e-02 
131 277.62 1.44863629e+00 4.34590876e-02 
132 278.43 1.43561077e+00 4.30683233e-02 
133 279.25 1.40698183e+00 4.22094539e-02 
134 280.06 1.37545383e+00 4.12636138e-02 
135 280.87 1.34491193e+00 4.03473563e-02 
136 281.68 1.32075179e+00 3.96225527e-02 
137 282.49 1.31781399e+00 3.95344198e-02 
138 283.30 1.27835488e+00 3.83506455e-02 
139 284.11 1.29014373e+00 3.87043133e-02 
140 284.93 1.26871812e+00 3.80615443e-02 
141 285.74 1.24911284e+00 3.74733843e-02 
142 286.55 1.22811460e+00 3.68434377e-02 
143 287.36 1.21203268e+00 3.63609791e-02 
144 288.17 1.20612442e+00 3.61837335e-02 
145 288.98 1.17310166e+00 3.51930484e-02 
146 289.79 1.18559659e+00 3.55678983e-02 
147 290.60 1.17452145e+00 3.52356434e-02 
148 291.42 1.17478836e+00 3.52436490e-02 
149 292.23 1.16599572e+00 3.49798724e-02 
150 293.04 1.17726529e+00 3.53179574e-02 
151 293.85 1.16756964e+00 3.50270905e-02 
152 294.66 1.17445648e+00 3.52336951e-02 
153 295.47 1.15704238e+00 3.47112715e-02 
154 296.28 1.16432977e+00 3.49298939e-02 
155 297.09 1.16902876e+00 3.50708626e-02 
156 297.90 1.18208933e+00 3.54626812e-02 
157 298.71 1.19943941e+00 3.59831825e-02 
158 299.53 1.20294070e+00 3.60882208e-02 
159 300.34 1.24611688e+00 3.73835079e-02 
160 301.15 1.30716014e+00 3.92148048e-02 
161 301.96 1.38638186e+00 4.15914543e-02 
162 302.77 1.51917565e+00 4.55752686e-02 
163 303.58 1.70572805e+00 5.11718430e-02 
164 304.39 1.97817755e+00 5.93453273e-02 
165 305.20 2.29732871e+00 6.89198598e-02 
166 306.01 2.71018434e+00 8.13055336e-02 
167 306.82 3.36610389e+00 1.00983113e-01 
168 307.63 4.22753620e+00 1.26826093e-01 
169 308.44 4.84567022e+00 1.45370111e-01 
170 309.26 5.70660830e+00 1.71198249e-01 
171 310.07 7.79691458e+00 2.33907431e-01 
172 310.88 1.03492718e+01 3.10478151e-01 
173 311.69 1.26235905e+01 3.78707707e-01 
174 312.50 1.46455727e+01 4.39367175e-01 
175 313.31 1.70307426e+01 5.10922253e-01 
176 314.12 1.90590534e+01 5.71771622e-01 
177 314.93 2.01505356e+01 6.04516089e-01 
178 315.74 2.20161095e+01 6.60483301e-01 
179 316.55 2.59281406e+01 7.77844191e-01 
180 317.36 2.95463600e+01 8.86390805e-01 
181 318.17 3.09079037e+01 9.27237093e-01 
182 318.98 3.35296211e+01 1.00588858e+00 
183 319.79 3.76281013e+01 1.12884307e+00 
184 320.60 3.98678322e+01 1.19603491e+00 
185 321.41 3.93172646e+01 1.17951798e+00 
186 322.22 3.88872871e+01 1.16661859e+00 
187 323.04 4.05591965e+01 1.21677589e+00 
188 323.85 4.51662941e+01 1.35498881e+00 
189 324.66 5.16227913e+01 1.54868376e+00 
190 325.47 5.95471878e+01 1.78641558e+00 
191 326.28 6.57127304e+01 1.97138190e+00 
192 327.09 6.70658569e+01 2.01197577e+00 
193 327.90 6.73031845e+01 2.01909542e+00 
194 328.71 7.14141159e+01 2.14242339e+00 
195 329.52 7.68994141e+01 2.30698252e+00 
196 330.33 7.66969452e+01 2.30090833e+00 
197 331.14 7.51037903e+01 2.25311375e+00 
198 331.95 7.50128098e+01 2.25038433e+00 
199 332.76 7.47664490e+01 2.24299335e+00 
200 333.57 7.56458206e+01 2.26937461e+00 
201 334.38 7.78926392e+01 2.33677912e+00 
202 335.19 7.71909714e+01 2.31572914e+00 
203 336.00 7.27171478e+01 2.18151450e+00 
204 336.81 7.14936752e+01 2.14481020e+00 
205 337.62 7.55644913e+01 2.26693463e+00 
206 338.43 8.07230835e+01 2.42169261e+00 
207 339.24 8.52776031e+01 2.55832815e+00 
208 340.05 8.79614105e+01 2.63884234e+00 
209 340.86 8.69119263e+01 2.60735774e+00 
210 341.67 8.74079590e+01 2.62223887e+00 
211 342.48 8.94389267e+01 2.68316770e+00 
212 343.29 8.58531799e+01 2.57559538e+00 
213 344.10 8.05487137e+01 2.41646147e+00 
214 344.91 8.27639236e+01 2.48291779e+00 
215 345.72 8.65564117e+01 2.59669232e+00 
216 346.53 8.76135101e+01 2.62840533e+00 
217 347.34 8.73735352e+01 2.62120605e+00 
218 348.15 8.67574768e+01 2.60272431e+00 
219 348.96 8.79106750e+01 2.63732028e+00 
220 349.77 9.32786407e+01 2.79835916e+00 
221 350.58 9.77194290e+01 2.93158293e+00 
222 351.39 9.62306747e+01 2.88692021e+00 
223 352.19 9.41730042e+01 2.82519007e+00 
224 353.00 9.82220459e+01 2.94666147e+00 
225 353.81 1.05494614e+02 3.16483831e+00 
226 354.62 1.08196602e+02 3.24589801e+00 
227 355.43 1.04388992e+02 3.13166976e+00 
228 356.24 9.59578552e+01 2.87873554e+00 
229 357.05 8.71842957e+01 2.61552882e+00 
230 357.86 8.17393341e+01 2.45217991e+00 
231 358.67 8.62897415e+01 2.58869219e+00 
232 359.48 9.89411621e+01 2.96823478e+00 
233 360.29 1.01398285e+02 3.04194856e+00 
234 361.10 9.74315643e+01 2.92294693e+00 
235 361.91 1.00017654e+02 3.00052953e+00 
236 362.72 1.05051666e+02 3.15155005e+00 
237 363.53 1.07524437e+02 3.22573304e+00 
238 364.34 1.10782639e+02 3.32347918e+00 
239 365.14 1.18917046e+02 3.56751132e+00 
240 365.95 1.27601456e+02 3.82804370e+00 
241 366.76 1.29010620e+02 3.87031865e+00 
242 367.57 1.26170006e+02 3.78510022e+00 
243 368.38 1.25854790e+02 3.77564359e+00 
244 369.19 1.30593491e+02 3.91780472e+00 
