% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from /data/sunsat/TMF_2024/data_processed/allstarmats/4STARB_20240715starsun.mat and recorded on 2024-07-15 18:06:09.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for TABLE_MOUNTAIN_CA within 300 m [Alt] and 600 seconds, measured on 20240715. Using the AERONET file: 240715_240715_TABLE_MOUNTAIN_CA.lev15 as input for this comparison. Date of creation: 15-Jul-2024 18:06:09
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 1.64627931e+26 -1.00000000e+00 
2 172.86 -4.88960928e+24 -1.00000000e+00 
3 173.67 -1.66795460e+25 -1.00000000e+00 
4 174.48 1.74125366e+26 -1.00000000e+00 
5 175.29 4.02122142e+25 -1.00000000e+00 
6 176.11 9.99280648e+24 -1.00000000e+00 
7 176.92 2.60274480e+24 -1.00000000e+00 
8 177.73 6.71608266e+23 -1.00000000e+00 
9 178.54 1.94402057e+23 -1.00000000e+00 
10 179.36 5.13309027e+22 -1.00000000e+00 
11 180.17 1.59006588e+22 -1.00000000e+00 
12 180.98 4.96690575e+21 -1.00000000e+00 
13 181.79 1.52500088e+21 -1.00000000e+00 
14 182.61 4.91245575e+20 -1.00000000e+00 
15 183.42 1.72098498e+20 -1.00000000e+00 
16 184.23 6.19813924e+19 -1.00000000e+00 
17 185.04 2.11326157e+19 -1.00000000e+00 
18 185.86 7.66986821e+18 -1.00000000e+00 
19 186.67 2.96816600e+18 4.93526459e+18 
20 187.48 1.10040924e+18 1.82071676e+18 
21 188.29 4.57302348e+17 7.57460638e+17 
22 189.11 1.91141953e+17 3.15920992e+17 
23 189.92 8.21741748e+16 1.35832472e+17 
24 190.73 3.64109117e+16 6.00698850e+16 
25 191.54 1.65197821e+16 2.71617533e+16 
26 192.36 6.75156994e+15 1.10460535e+16 
27 193.17 3.24950005e+15 5.30583456e+15 
28 193.98 1.46217236e+15 2.37385312e+15 
29 194.79 7.19935236e+14 1.17231938e+15 
30 195.61 3.53902923e+14 5.73663548e+14 
31 196.42 1.73555434e+14 2.80859001e+14 
32 197.23 9.66873391e+13 1.56510135e+14 
33 198.04 4.76827185e+13 7.67796959e+13 
34 198.86 2.50508162e+13 4.01727333e+13 
35 199.67 1.34890998e+13 2.15658676e+13 
36 200.48 7.24734575e+12 1.15281263e+13 
37 201.29 4.05615621e+12 6.43751425e+12 
38 202.11 2.20018691e+12 3.47361536e+12 
39 202.92 1.34818038e+12 2.13363078e+12 
40 203.73 7.06129101e+11 1.11119565e+12 
41 204.54 4.39128916e+11 6.87567602e+11 
42 205.36 2.46099771e+11 3.84416023e+11 
43 206.17 1.53768985e+11 2.38904345e+11 
44 206.98 9.65113283e+10 1.50052618e+11 
45 207.79 5.91763538e+10 9.20165581e+10 
46 208.61 3.85295073e+10 5.92786350e+10 
47 209.42 2.51953807e+10 3.86470380e+10 
48 210.23 2.05309645e+10 3.15906109e+10 
49 211.04 1.56309832e+10 2.38168515e+10 
50 211.86 1.63744993e+10 2.50322125e+10 
51 212.67 1.84558223e+10 2.82111222e+10 
52 213.48 2.59339080e+10 3.98770586e+10 
53 214.29 3.35475466e+10 5.13112269e+10 
54 215.11 4.92783739e+10 7.60875581e+10 
55 215.92 7.30217513e+10 1.13806279e+11 
56 216.73 9.55361772e+10 1.48109574e+11 
57 217.54 1.28765846e+11 2.00219132e+11 
58 218.35 1.64863492e+11 2.56352387e+11 
59 219.17 2.19806089e+11 3.37885594e+11 
60 219.98 3.11892869e+11 4.83652764e+11 
61 220.79 4.47813255e+11 6.95021339e+11 
62 221.60 6.76651926e+11 1.04653803e+12 
63 222.42 1.10200396e+12 1.71800881e+12 
64 223.23 1.91630475e+12 2.99761113e+12 
65 224.04 3.51168312e+12 5.51274414e+12 
66 224.85 6.97008023e+12 1.09998149e+13 
67 225.67 1.41504052e+13 2.24332328e+13 
68 226.48 3.04347695e+13 4.84829372e+13 
69 227.29 6.63818485e+13 1.05670876e+14 
70 228.10 1.52101552e+14 2.42331853e+14 
71 228.91 3.76430597e+14 6.02042410e+14 
72 229.73 9.60659831e+14 1.54343811e+15 
73 230.54 2.71781370e+15 4.41872302e+15 
74 231.35 7.13631150e+15 1.15855293e+16 
75 232.16 1.99917284e+16 3.25324338e+16 
76 232.97 6.07143664e+16 9.92563506e+16 
77 233.79 1.78773289e+17 2.93062421e+17 
78 234.60 5.73779662e+17 9.43864899e+17 
79 235.41 1.76870725e+18 2.91542655e+18 
80 236.22 5.54031650e+18 -1.00000000e+00 
81 237.04 1.92338361e+19 -1.00000000e+00 
82 237.85 5.71056521e+19 -1.00000000e+00 
83 238.66 1.81355277e+20 -1.00000000e+00 
84 239.47 5.60469490e+20 -1.00000000e+00 
85 240.28 1.63390060e+21 -1.00000000e+00 
