% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/TMF_2024/data_processed/allstarmats/4STARB_20240716starsun.mat and recorded on 2024-07-16 18:07:09.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for TABLE_MOUNTAIN_CA within 300 m [Alt] and 600 seconds, measured on 20240716. Using the AERONET file: 240716_240716_TABLE_MOUNTAIN_CA.lev15 as input for this comparison. Date of creation: 16-Jul-2024 18:07:09
Pix Wavelength C0 C0err
511 946.05 2.20634675e+00 6.06831253e-01 
510 947.95 2.32971096e+00 6.18816912e-01 
509 949.84 2.48577738e+00 6.37402475e-01 
508 951.73 2.65447950e+00 6.47449791e-01 
507 953.62 2.81156516e+00 6.59455717e-01 
506 955.51 3.04832196e+00 6.61905110e-01 
505 957.40 3.29922462e+00 6.49141669e-01 
504 959.28 3.61384559e+00 6.56328201e-01 
503 961.16 3.98338604e+00 6.54072344e-01 
502 963.03 4.39675188e+00 6.52945161e-01 
501 964.90 4.88856077e+00 6.31853461e-01 
500 966.78 5.51979542e+00 5.93978345e-01 
499 968.64 6.23755407e+00 5.38359225e-01 
498 970.51 6.79640913e+00 4.83283371e-01 
497 972.37 6.98011065e+00 4.73153472e-01 
496 974.23 6.95068169e+00 4.88515884e-01 
495 976.09 7.05723000e+00 4.95230556e-01 
494 977.95 7.35437870e+00 4.60257649e-01 
493 979.80 7.82792902e+00 3.93141657e-01 
492 981.65 8.28769588e+00 3.08402598e-01 
491 983.50 8.78743362e+00 2.19652936e-01 
490 985.34 9.22974777e+00 1.16585061e-01 
489 987.18 9.60796070e+00 3.53838690e-02 
488 989.02 9.88409519e+00 4.91776578e-02 
487 990.86 1.00904703e+01 9.08883139e-02 
486 992.70 1.02164974e+01 1.14011124e-01 
485 994.53 1.03662119e+01 1.53458655e-01 
484 996.36 1.04418859e+01 1.86022609e-01 
483 998.19 1.05045919e+01 1.98943481e-01 
482 1000.01 1.04855509e+01 1.69650763e-01 
481 1001.83 1.04365129e+01 1.39020979e-01 
480 1003.65 1.03864965e+01 1.37143806e-01 
479 1005.47 1.04338179e+01 1.26847431e-01 
478 1007.29 1.05073709e+01 1.29777402e-01 
477 1009.10 1.06556664e+01 1.25167608e-01 
476 1010.91 1.07497597e+01 1.24854565e-01 
475 1012.72 1.08055000e+01 1.48979813e-01 
474 1014.53 1.08018408e+01 1.43784091e-01 
473 1016.33 1.07881632e+01 1.20941997e-01 
472 1018.13 1.07184963e+01 8.12332630e-02 
471 1019.93 1.06805315e+01 5.89634441e-02 
470 1021.73 1.05996990e+01 3.01856827e-02 
469 1023.52 1.05396471e+01 2.25839242e-02 
468 1025.31 1.04752417e+01 1.89764220e-02 
467 1027.10 1.04515781e+01 2.41709705e-02 
466 1028.89 1.03534555e+01 2.79886555e-02 
465 1030.67 1.02906761e+01 3.30310240e-02 
464 1032.45 1.01766138e+01 2.12631412e-02 
463 1034.23 1.00963373e+01 2.40918659e-02 
462 1036.01 9.99795532e+00 3.29391360e-02 
461 1037.79 9.95758438e+00 4.38972861e-02 
460 1039.56 9.88528919e+00 5.29869236e-02 
459 1041.33 9.85500145e+00 5.05518280e-02 
458 1043.10 9.78425026e+00 4.19469066e-02 
457 1044.87 9.71168327e+00 3.88930589e-02 
456 1046.63 9.62822628e+00 3.95531543e-02 
455 1048.39 9.59421635e+00 3.77522968e-02 
454 1050.15 9.55766487e+00 3.92112583e-02 
453 1051.91 9.56058311e+00 2.64773350e-02 
452 1053.67 9.52431870e+00 2.31238175e-02 
451 1055.42 9.49170494e+00 2.62598805e-02 
450 1057.17 9.41064453e+00 2.87200790e-02 
449 1058.92 9.36776733e+00 2.36886069e-02 
448 1060.67 9.32802391e+00 2.20375638e-02 
447 1062.41 9.29318047e+00 2.81999800e-02 
446 1064.15 9.20575047e+00 3.11723053e-02 
445 1065.89 9.05858517e+00 2.76579093e-02 
444 1067.63 8.87586880e+00 3.32995206e-02 
443 1069.37 8.74888992e+00 3.32747363e-02 
