% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2024-10-04 10:07:59.
% Langley at MLO outside 1.8x the STD of 501 nm Langley residuals were screened out. 
% Including only the good days at MLO
% Averages of c0 from multiple days including: , TMF -go-od, TMF -go-od, TMF -go-od, TMF -go-od. See the list of files below
% 20240710_NIR_C0_4STARB_refined_ground_langley_am.dat
% 20240714_NIR_C0_4STARB_refined_ground_langley_am.dat
% 20240715_NIR_C0_4STARB_refined_ground_langley_am.dat
% 20240716_NIR_C0_4STARB_refined_ground_langley_am.dat
Pix Wavelength C0 C0err
511 946.05 4.72555721e+00 6.90212455e-01 
510 947.95 4.83328390e+00 6.91533403e-01 
509 949.84 5.01191926e+00 6.74373145e-01 
508 951.73 5.17549253e+00 6.66759329e-01 
507 953.62 5.32278013e+00 6.42000984e-01 
506 955.51 5.47987032e+00 6.21635519e-01 
505 957.40 5.66006959e+00 5.97086536e-01 
504 959.28 5.92487526e+00 5.81935221e-01 
503 961.16 6.23768377e+00 5.51570501e-01 
502 963.03 6.56043828e+00 5.13901563e-01 
501 964.90 6.93120599e+00 4.63224640e-01 
500 966.78 7.33697415e+00 4.05302500e-01 
499 968.64 7.79635262e+00 3.38325506e-01 
498 970.51 8.13959885e+00 2.83742279e-01 
497 972.37 8.30117178e+00 2.71537307e-01 
496 974.23 8.34052276e+00 2.84862938e-01 
495 976.09 8.46128750e+00 2.86945777e-01 
494 977.95 8.64198256e+00 2.72067665e-01 
493 979.80 8.89042354e+00 2.31859546e-01 
492 981.65 9.11243463e+00 1.86245753e-01 
491 983.50 9.33756113e+00 1.45076229e-01 
490 985.34 9.48744798e+00 1.15760902e-01 
489 987.18 9.60900450e+00 8.90016679e-02 
488 989.02 9.69021440e+00 7.14901498e-02 
487 990.86 9.77089787e+00 6.27969010e-02 
486 992.70 9.80881691e+00 6.24034471e-02 
485 994.53 9.86435580e+00 6.26655939e-02 
484 996.36 9.87087751e+00 6.07510875e-02 
483 998.19 9.91836118e+00 5.61805376e-02 
482 1000.01 9.96054672e+00 5.05402651e-02 
481 1001.83 9.97619676e+00 5.39491987e-02 
480 1003.65 9.94255876e+00 5.36547111e-02 
479 1005.47 9.99421669e+00 4.79651265e-02 
478 1007.29 1.00708506e+01 4.88683871e-02 
477 1009.10 1.02222094e+01 4.74277887e-02 
476 1010.91 1.02997832e+01 5.23556265e-02 
475 1012.72 1.03218963e+01 5.09591064e-02 
474 1014.53 1.03164101e+01 4.54883891e-02 
473 1016.33 1.03591371e+01 4.06026861e-02 
472 1018.13 1.03529653e+01 4.28649941e-02 
471 1019.93 1.03805556e+01 4.45495892e-02 
470 1021.73 1.03630294e+01 4.44582426e-02 
469 1023.52 1.03552394e+01 4.06597843e-02 
468 1025.31 1.03226705e+01 3.76165539e-02 
467 1027.10 1.03097909e+01 3.75946577e-02 
466 1028.89 1.02224097e+01 3.91632206e-02 
465 1030.67 1.01664293e+01 3.51889889e-02 
464 1032.45 1.00614209e+01 3.60504388e-02 
463 1034.23 1.00043368e+01 3.45030865e-02 
462 1036.01 9.92139840e+00 3.64745318e-02 
461 1037.79 9.89246178e+00 4.45733463e-02 
460 1039.56 9.83607459e+00 4.19922126e-02 
459 1041.33 9.80589509e+00 3.97184466e-02 
458 1043.10 9.72811198e+00 3.69750353e-02 
457 1044.87 9.66003752e+00 3.40018916e-02 
456 1046.63 9.57981705e+00 3.57281926e-02 
455 1048.39 9.55362129e+00 3.94970299e-02 
454 1050.15 9.49993777e+00 4.01361550e-02 
453 1051.91 9.47607970e+00 4.09689490e-02 
452 1053.67 9.41321540e+00 4.55229472e-02 
451 1055.42 9.36908293e+00 5.07819126e-02 
450 1057.17 9.28950834e+00 5.57601152e-02 
