% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/TMF_2024/data_processed/allstarmats/4STARB_20240718starsun.mat and recorded on 2024-07-18 17:03:54.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 3.63631725e+00 1.09089516e-01 
510 947.95 3.70177555e+00 1.11053266e-01 
509 949.84 3.89539123e+00 1.16861738e-01 
508 951.73 4.06901693e+00 1.22070506e-01 
507 953.62 4.23566580e+00 1.27069980e-01 
506 955.51 4.43857384e+00 1.33157209e-01 
505 957.40 4.64771414e+00 1.39431417e-01 
504 959.28 4.94312334e+00 1.48293704e-01 
503 961.16 5.30292416e+00 1.59087718e-01 
502 963.03 5.69745970e+00 1.70923784e-01 
501 964.90 6.15213203e+00 1.84563965e-01 
500 966.78 6.67023516e+00 2.00107053e-01 
499 968.64 7.27635002e+00 2.18290508e-01 
498 970.51 7.74850273e+00 2.32455075e-01 
497 972.37 7.93236113e+00 2.37970829e-01 
496 974.23 7.93273211e+00 2.37981960e-01 
495 976.09 8.03778934e+00 2.41133675e-01 
494 977.95 8.25770283e+00 2.47731090e-01 
493 979.80 8.59397888e+00 2.57819355e-01 
492 981.65 8.90271091e+00 2.67081320e-01 
491 983.50 9.22340775e+00 2.76702225e-01 
490 985.34 9.46836281e+00 2.84050882e-01 
489 987.18 9.67365360e+00 2.90209621e-01 
488 989.02 9.81270313e+00 2.94381082e-01 
487 990.86 9.93318176e+00 2.97995448e-01 
486 992.70 9.99502087e+00 2.99850613e-01 
485 994.53 1.00764256e+01 3.02292764e-01 
484 996.36 1.00906935e+01 3.02720815e-01 
483 998.19 1.01427832e+01 3.04283500e-01 
482 1000.01 1.01620827e+01 3.04862469e-01 
481 1001.83 1.01640816e+01 3.04922462e-01 
480 1003.65 1.01265621e+01 3.03796858e-01 
479 1005.47 1.01894436e+01 3.05683315e-01 
478 1007.29 1.02694511e+01 3.08083534e-01 
477 1009.10 1.04168682e+01 3.12506050e-01 
476 1010.91 1.04961538e+01 3.14884603e-01 
475 1012.72 1.05410786e+01 3.16232353e-01 
474 1014.53 1.05437012e+01 3.16311032e-01 
473 1016.33 1.05868425e+01 3.17605287e-01 
472 1018.13 1.05766048e+01 3.17298144e-01 
471 1019.93 1.05997744e+01 3.17993224e-01 
470 1021.73 1.05790443e+01 3.17371339e-01 
469 1023.52 1.05729084e+01 3.17187250e-01 
468 1025.31 1.05290356e+01 3.15871060e-01 
467 1027.10 1.05120411e+01 3.15361232e-01 
466 1028.89 1.04214220e+01 3.12642664e-01 
465 1030.67 1.03729973e+01 3.11189920e-01 
464 1032.45 1.02704792e+01 3.08114380e-01 
463 1034.23 1.02115841e+01 3.06347519e-01 
462 1036.01 1.01255922e+01 3.03767771e-01 
461 1037.79 1.00985155e+01 3.02955478e-01 
460 1039.56 1.00470724e+01 3.01412165e-01 
459 1041.33 1.00167732e+01 3.00503194e-01 
458 1043.10 9.92713737e+00 2.97814131e-01 
457 1044.87 9.85305405e+00 2.95591623e-01 
456 1046.63 9.76571941e+00 2.92971581e-01 
455 1048.39 9.73928928e+00 2.92178690e-01 
454 1050.15 9.69684410e+00 2.90905327e-01 
453 1051.91 9.68343735e+00 2.90503114e-01 
452 1053.67 9.63383293e+00 2.89014995e-01 
451 1055.42 9.58569622e+00 2.87570894e-01 
450 1057.17 9.49801064e+00 2.84940332e-01 
449 1058.92 9.47184467e+00 2.84155339e-01 
448 1060.67 9.43417931e+00 2.83025384e-01 
447 1062.41 9.40813255e+00 2.82243967e-01 
446 1064.15 9.31259727e+00 2.79377908e-01 
445 1065.89 9.17227077e+00 2.75168121e-01 
444 1067.63 8.98781204e+00 2.69634366e-01 
443 1069.37 8.87226772e+00 2.66168028e-01 
442 1071.10 8.77883720e+00 2.63365120e-01 
441 1072.83 8.72126102e+00 2.61637837e-01 
440 1074.56 8.64402008e+00 2.59320617e-01 
439 1076.29 8.57802773e+00 2.57340819e-01 
438 1078.02 8.47757149e+00 2.54327148e-01 
437 1079.74 8.37766552e+00 2.51329958e-01 
436 1081.46 8.24306202e+00 2.47291863e-01 
435 1083.18 8.14526367e+00 2.44357914e-01 
434 1084.90 8.03843784e+00 2.41153136e-01 
433 1086.61 8.03160000e+00 2.40948007e-01 
432 1088.33 8.04436207e+00 2.41330862e-01 
431 1090.04 8.08178616e+00 2.42453590e-01 
430 1091.75 7.97645235e+00 2.39293575e-01 
429 1093.45 7.84628534e+00 2.35388562e-01 
428 1095.16 7.68981695e+00 2.30694503e-01 
427 1096.86 7.54992056e+00 2.26497620e-01 
426 1098.56 7.42371750e+00 2.22711518e-01 
425 1100.26 7.34626579e+00 2.20387980e-01 
424 1101.96 7.27956390e+00 2.18386918e-01 
423 1103.65 7.22429657e+00 2.16728896e-01 
422 1105.35 7.14178419e+00 2.14253530e-01 
421 1107.04 7.07062626e+00 2.12118790e-01 
420 1108.73 6.92329741e+00 2.07698926e-01 
419 1110.41 6.60197306e+00 1.98059186e-01 
418 1112.10 5.94260883e+00 1.78278267e-01 
