% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from \\192.168.10.201\data\sunsat\AirSHARP_2024\data_processed\allstarmats\4STARB_20241004starsun.mat and recorded on 2024-11-21 16:56:55.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for Monterey within 300 m [Alt] and 600 seconds, measured on 20241004. Using the AERONET file: 20241004_20241004_Monterey.lev15 as input for this comparison. Date of creation: 21-Nov-2024 16:56:55
Pix Wavelength C0 C0err
511 946.05 2.43620586e+00 9.89240468e-01 
510 947.95 2.56414437e+00 1.04399335e+00 
509 949.84 2.72510099e+00 1.10211265e+00 
508 951.73 2.87216139e+00 1.17201424e+00 
507 953.62 3.02538967e+00 1.22461045e+00 
506 955.51 3.23496842e+00 1.31496847e+00 
505 957.40 3.47233152e+00 1.40760803e+00 
504 959.28 3.76724100e+00 1.52481234e+00 
503 961.16 4.09896517e+00 1.65782988e+00 
502 963.03 4.46591997e+00 1.80513406e+00 
501 964.90 4.91177988e+00 1.98355579e+00 
500 966.78 5.44854784e+00 2.19096994e+00 
499 968.64 6.03655672e+00 2.43121076e+00 
498 970.51 6.48746681e+00 2.61947131e+00 
497 972.37 6.62328148e+00 2.66923904e+00 
496 974.23 6.59442902e+00 2.65608478e+00 
495 976.09 6.69772816e+00 2.70330310e+00 
494 977.95 6.94789410e+00 2.80084729e+00 
493 979.80 7.31461382e+00 2.94492245e+00 
492 981.65 7.65176725e+00 3.08566189e+00 
491 983.50 8.04008770e+00 3.23947716e+00 
490 985.34 8.34325314e+00 3.36886358e+00 
489 987.18 8.60795879e+00 3.47364354e+00 
488 989.02 8.78384209e+00 3.54749012e+00 
487 990.86 8.92651653e+00 3.59279203e+00 
486 992.70 9.00821114e+00 3.63474226e+00 
485 994.53 9.12768078e+00 3.67318511e+00 
484 996.36 9.19623566e+00 3.69602489e+00 
483 998.19 9.24097919e+00 3.72445869e+00 
482 1000.01 9.22673702e+00 3.71546888e+00 
481 1001.83 9.19203949e+00 3.70055771e+00 
480 1003.65 9.14579201e+00 3.68262863e+00 
479 1005.47 9.20941353e+00 3.71360636e+00 
478 1007.29 9.27588081e+00 3.74119115e+00 
477 1009.10 9.41125202e+00 3.78685546e+00 
476 1010.91 9.48561382e+00 3.83146572e+00 
475 1012.72 9.53232098e+00 3.83502603e+00 
474 1014.53 9.53362465e+00 3.84260440e+00 
473 1016.33 9.54631710e+00 3.84509468e+00 
472 1018.13 9.49600506e+00 3.82927346e+00 
471 1019.93 9.48370361e+00 3.82451820e+00 
470 1021.73 9.44582558e+00 3.80592179e+00 
469 1023.52 9.39801121e+00 3.79205561e+00 
468 1025.31 9.35806465e+00 3.77189255e+00 
467 1027.10 9.34603500e+00 3.77315116e+00 
466 1028.89 9.27438450e+00 3.73673511e+00 
465 1030.67 9.22498322e+00 3.72007108e+00 
464 1032.45 9.12729549e+00 3.68944359e+00 
463 1034.23 9.05296612e+00 3.65200353e+00 
462 1036.01 8.97914410e+00 3.62510705e+00 
461 1037.79 8.94738197e+00 3.60346532e+00 
460 1039.56 8.88636494e+00 3.58714223e+00 
459 1041.33 8.85498810e+00 3.57268143e+00 
458 1043.10 8.77403069e+00 3.54419303e+00 
457 1044.87 8.71432400e+00 3.51281786e+00 
456 1046.63 8.62766075e+00 3.47523403e+00 
455 1048.39 8.63513565e+00 3.48183751e+00 
454 1050.15 8.59473133e+00 3.46742558e+00 
453 1051.91 8.59629250e+00 3.46043611e+00 
452 1053.67 8.58254814e+00 3.46011209e+00 
451 1055.42 8.55963421e+00 3.45162439e+00 
450 1057.17 8.48188686e+00 3.41526532e+00 
449 1058.92 8.46048450e+00 3.40772510e+00 
448 1060.67 8.43859291e+00 3.40145969e+00 
447 1062.41 8.40287971e+00 3.38637567e+00 
446 1064.15 8.31755924e+00 3.35319996e+00 
445 1065.89 8.19753933e+00 3.30049920e+00 
444 1067.63 8.03755665e+00 3.23771358e+00 
443 1069.37 7.94603682e+00 3.19807363e+00 
442 1071.10 7.84749746e+00 3.16691446e+00 
441 1072.83 7.76993847e+00 3.13369083e+00 
440 1074.56 7.67905712e+00 3.09794593e+00 
439 1076.29 7.59645557e+00 3.06443501e+00 
438 1078.02 7.49530506e+00 3.02246809e+00 
437 1079.74 7.39524508e+00 2.98210073e+00 
436 1081.46 7.26382923e+00 2.92393422e+00 
435 1083.18 7.15734196e+00 2.88158607e+00 
434 1084.90 7.06564045e+00 2.84382987e+00 
433 1086.61 7.04959917e+00 2.84287477e+00 
432 1088.33 7.05384684e+00 2.84394503e+00 
431 1090.04 7.06703424e+00 2.84194613e+00 
430 1091.75 6.95543623e+00 2.80412078e+00 
429 1093.45 6.81419945e+00 2.74683189e+00 
428 1095.16 6.66032505e+00 2.68034101e+00 
427 1096.86 6.51210880e+00 2.62654805e+00 
426 1098.56 6.37151051e+00 2.57014704e+00 
425 1100.26 6.21021557e+00 2.51145267e+00 
424 1101.96 6.07179832e+00 2.44369102e+00 
423 1103.65 5.94865084e+00 2.40009212e+00 
422 1105.35 5.81679916e+00 2.35043550e+00 
421 1107.04 5.70597029e+00 2.30409575e+00 
420 1108.73 5.53217888e+00 2.23755407e+00 
419 1110.41 5.19084454e+00 2.09637070e+00 
418 1112.10 4.61851501e+00 1.86979270e+00 
417 1113.78 3.82679749e+00 1.55327582e+00 
416 1115.46 3.07052326e+00 1.24282658e+00 
415 1117.14 2.48724842e+00 1.01235092e+00 
414 1118.82 2.13592196e+00 8.66799831e-01 
413 1120.50 1.98039651e+00 8.10516477e-01 
412 1122.17 1.96761966e+00 8.10677528e-01 
411 1123.84 1.96468902e+00 7.96957672e-01 
410 1125.51 1.97870648e+00 8.16084564e-01 
409 1127.18 2.10601044e+00 8.64087820e-01 
408 1128.85 2.60361147e+00 1.06120598e+00 
407 1130.51 2.81059813e+00 1.14697838e+00 
406 1132.17 2.71404457e+00 1.10103261e+00 
405 1133.83 2.66481256e+00 1.08726048e+00 
404 1135.49 3.05782795e+00 1.24640357e+00 
403 1137.15 3.83755684e+00 1.55087399e+00 
402 1138.80 4.23985434e+00 1.72353125e+00 
401 1140.46 4.11921644e+00 1.67521799e+00 
400 1142.11 3.51423502e+00 1.43398273e+00 
399 1143.76 2.97224569e+00 1.20487869e+00 
398 1145.41 2.76461267e+00 1.12388098e+00 
397 1147.05 3.05194569e+00 1.23524690e+00 
396 1148.70 3.83232045e+00 1.55375028e+00 
395 1150.34 4.73080397e+00 1.90177917e+00 
394 1151.98 5.71804476e+00 2.30033016e+00 
393 1153.62 7.17431688e+00 2.88415313e+00 
392 1155.26 8.60146523e+00 3.46508265e+00 
391 1156.89 9.48478699e+00 3.82718611e+00 
390 1158.53 1.01193285e+01 4.07496357e+00 
389 1160.16 1.15394459e+01 4.67043257e+00 
388 1161.79 1.33879290e+01 5.44489336e+00 
387 1163.42 1.46545038e+01 5.96836090e+00 
386 1165.04 1.43768969e+01 5.85140610e+00 
385 1166.67 1.34257774e+01 5.46098232e+00 
384 1168.29 1.28208666e+01 5.18950367e+00 
383 1169.91 1.22661448e+01 4.97189331e+00 
382 1171.53 1.13507729e+01 4.59298468e+00 
381 1173.15 1.06740065e+01 4.31094408e+00 
380 1174.77 9.96360588e+00 4.01893806e+00 
379 1176.38 9.68264008e+00 3.90194011e+00 
378 1178.00 9.30919456e+00 3.75761151e+00 
377 1179.61 8.74582672e+00 3.52690482e+00 
376 1181.22 8.34779358e+00 3.35707712e+00 
375 1182.83 8.08338165e+00 3.25584865e+00 
374 1184.43 7.99682808e+00 3.22928476e+00 
373 1186.04 8.00067043e+00 3.22256327e+00 
372 1187.64 8.11503601e+00 3.26940155e+00 
371 1189.24 8.14864922e+00 3.28136039e+00 
370 1190.84 8.23891163e+00 3.31756759e+00 
369 1192.44 8.09612942e+00 3.26173210e+00 
368 1194.04 7.87159920e+00 3.17290068e+00 
367 1195.64 7.51110220e+00 3.02528167e+00 
366 1197.23 7.23182106e+00 2.91162181e+00 
365 1198.82 7.10168886e+00 2.86293840e+00 
364 1200.41 6.89098358e+00 2.77108741e+00 
363 1202.00 6.93932247e+00 2.79478836e+00 
362 1203.59 6.98621511e+00 2.81208658e+00 
361 1205.17 6.96557903e+00 2.80364680e+00 
360 1206.76 7.02166033e+00 2.82924271e+00 
359 1208.34 6.92046070e+00 2.78896213e+00 
358 1209.92 6.83693933e+00 2.74892616e+00 
357 1211.50 6.85189962e+00 2.76079297e+00 
356 1213.08 6.91737795e+00 2.78326464e+00 
355 1214.66 7.07323170e+00 2.84823346e+00 
354 1216.23 7.17674780e+00 2.89483309e+00 
353 1217.80 7.29657125e+00 2.93688893e+00 
352 1219.38 7.30025864e+00 2.94059277e+00 
351 1220.95 7.26532030e+00 2.92837834e+00 
