% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from \\192.168.10.201\data\sunsat\AirSHARP_2024\data_processed\allstarmats\4STARB_20241019starsun.mat and recorded on 2024-11-20 17:05:43.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NRL_CEOBS_MBAYCAUSA within 300 m [Alt] and 600 seconds, measured on 20241019. Using the AERONET file: 241019_241019_NRL_CEOBS_MBAYCAUSA.lev15 as input for this comparison. Date of creation: 20-Nov-2024 17:05:43
Pix Wavelength C0 C0err
511 946.05 4.19579029e+00 1.13318019e-01 
510 947.95 4.35665274e+00 1.05268806e-01 
509 949.84 4.55027914e+00 1.12659380e-01 
508 951.73 4.73190260e+00 1.09999321e-01 
507 953.62 4.91427565e+00 1.07627407e-01 
506 955.51 5.12748194e+00 1.09943688e-01 
505 957.40 5.38191652e+00 1.07427381e-01 
504 959.28 5.70606613e+00 1.05097108e-01 
503 961.16 6.07684088e+00 1.06208816e-01 
502 963.03 6.46442080e+00 1.04998551e-01 
501 964.90 6.88555908e+00 9.60437134e-02 
500 966.78 7.40135622e+00 9.66282785e-02 
499 968.64 7.96309042e+00 8.87619704e-02 
498 970.51 8.36629200e+00 7.12277368e-02 
497 972.37 8.51752853e+00 8.39755535e-02 
496 974.23 8.53826904e+00 7.66884089e-02 
495 976.09 8.65277767e+00 8.40908736e-02 
494 977.95 8.88609600e+00 7.30345249e-02 
493 979.80 9.22694874e+00 8.34579915e-02 
492 981.65 9.53668976e+00 7.51041099e-02 
491 983.50 9.85764790e+00 7.03172460e-02 
490 985.34 1.00924520e+01 7.41175190e-02 
489 987.18 1.02855749e+01 6.92655519e-02 
488 989.02 1.04133959e+01 5.93204126e-02 
487 990.86 1.05303831e+01 5.40741831e-02 
486 992.70 1.06087017e+01 4.79072854e-02 
485 994.53 1.07062273e+01 4.86359149e-02 
484 996.36 1.07468634e+01 4.94641513e-02 
483 998.19 1.07851686e+01 5.13644889e-02 
482 1000.01 1.07820969e+01 5.01725450e-02 
481 1001.83 1.07569733e+01 5.14454059e-02 
480 1003.65 1.07065573e+01 5.21118604e-02 
479 1005.47 1.07342110e+01 5.23846336e-02 
478 1007.29 1.07942619e+01 4.96657118e-02 
477 1009.10 1.09481621e+01 6.45184219e-02 
476 1010.91 1.10310097e+01 5.58635704e-02 
475 1012.72 1.10890398e+01 6.72268420e-02 
474 1014.53 1.10836258e+01 6.80556670e-02 
473 1016.33 1.11011114e+01 7.72507936e-02 
472 1018.13 1.10381060e+01 6.79596141e-02 
471 1019.93 1.10273790e+01 5.90017736e-02 
