% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from \\192.168.10.201\data\sunsat\AirSHARP_2024\data_processed\allstarmats\4STARB_20241019starsun.mat and recorded on 2024-11-20 17:05:43.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NRL_CEOBS_MBAYCAUSA within 300 m [Alt] and 600 seconds, measured on 20241019. Using the AERONET file: 241019_241019_NRL_CEOBS_MBAYCAUSA.lev15 as input for this comparison. Date of creation: 20-Nov-2024 17:05:43
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 4.71507690e+02 1.15264709e+03 
2 172.86 1.45427332e+03 1.55997034e+03 
3 173.67 8.66711609e+02 1.02532227e+03 
4 174.48 4.42794961e+04 1.18143271e+04 
5 175.29 3.74407617e+04 1.01605645e+04 
6 176.11 3.04017109e+04 7.96626318e+03 
7 176.92 2.44114141e+04 6.23407324e+03 
8 177.73 1.95490742e+04 5.05633936e+03 
9 178.54 1.67696348e+04 3.98223779e+03 
10 179.36 1.40455049e+04 3.54136646e+03 
11 180.17 1.20139102e+04 2.94678491e+03 
12 180.98 1.02399248e+04 2.44799854e+03 
13 181.79 8.85925879e+03 2.02676453e+03 
14 182.61 7.81019727e+03 1.74335413e+03 
15 183.42 6.75938477e+03 1.43694617e+03 
16 184.23 5.98620117e+03 1.25178528e+03 
17 185.04 5.38249756e+03 1.15855847e+03 
18 185.86 4.86584326e+03 1.05173474e+03 
19 186.67 4.44678711e+03 9.26671570e+02 
20 187.48 4.03894604e+03 7.75111938e+02 
21 188.29 3.72677246e+03 7.73088196e+02 
22 189.11 3.42595874e+03 6.47202209e+02 
23 189.92 3.20884155e+03 6.97358704e+02 
24 190.73 2.97765259e+03 6.25442932e+02 
25 191.54 2.77423511e+03 5.45827515e+02 
26 192.36 2.62984497e+03 5.15508423e+02 
27 193.17 2.48924438e+03 4.84901154e+02 
28 193.98 2.35172949e+03 4.48833588e+02 
29 194.79 2.24171655e+03 4.04981415e+02 
30 195.61 2.17887085e+03 4.11407288e+02 
31 196.42 2.06928149e+03 3.71071136e+02 
32 197.23 2.02223669e+03 3.68868042e+02 
33 198.04 1.92895276e+03 3.43348846e+02 
34 198.86 1.88842981e+03 3.32173492e+02 
35 199.67 1.84527051e+03 3.19253815e+02 
36 200.48 1.81108154e+03 3.03320862e+02 
37 201.29 1.76214685e+03 2.99269135e+02 
38 202.11 1.74587732e+03 2.84745941e+02 
39 202.92 1.70145508e+03 2.73556122e+02 
40 203.73 1.71205237e+03 2.89635803e+02 
41 204.54 1.68230518e+03 2.78241455e+02 
42 205.36 1.62389404e+03 2.66233490e+02 
43 206.17 1.62067639e+03 2.59943878e+02 
44 206.98 1.59558740e+03 2.45234055e+02 
45 207.79 1.59992627e+03 2.27490036e+02 
46 208.61 1.62862537e+03 2.56066925e+02 
47 209.42 1.65510107e+03 2.68983185e+02 
48 210.23 1.72445911e+03 2.68836060e+02 
49 211.04 1.85700818e+03 2.60070709e+02 
50 211.86 2.05441504e+03 3.10363129e+02 
51 212.67 2.39675024e+03 3.83736633e+02 
52 213.48 2.85476245e+03 4.08372894e+02 
53 214.29 3.38936060e+03 5.43361572e+02 
54 215.11 4.06640991e+03 5.94796509e+02 
55 215.92 5.00928418e+03 7.89732361e+02 
56 216.73 5.94549609e+03 8.82505249e+02 
57 217.54 7.00934961e+03 1.14473572e+03 
58 218.35 8.21356348e+03 1.22224512e+03 
