% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from \\192.168.10.201\data\sunsat\AirSHARP_2024\data_processed\allstarmats\4STARB_20241020starsun.mat and recorded on 2024-11-20 15:56:46.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NRL_CEOBS_MBAYCAUSA within 300 m [Alt] and 600 seconds, measured on 20241020. Using the AERONET file: 241020_241020_NRL_CEOBS_MBAYCAUSA.lev15 as input for this comparison. Date of creation: 20-Nov-2024 15:56:46
Pix Wavelength C0 C0err
511 946.05 3.84967494e+00 9.62418765e-02 
510 947.95 3.97715259e+00 9.94288176e-02 
509 949.84 4.19029045e+00 1.04757264e-01 
508 951.73 4.36680269e+00 1.09170064e-01 
507 953.62 4.54254818e+00 1.13563702e-01 
506 955.51 4.77561188e+00 1.19390294e-01 
505 957.40 5.01032972e+00 1.25258237e-01 
504 959.28 5.37093306e+00 1.34273320e-01 
503 961.16 5.72487402e+00 1.43121853e-01 
502 963.03 6.12613583e+00 1.53153390e-01 
501 964.90 6.58310175e+00 1.64577544e-01 
500 966.78 7.13073826e+00 1.78268462e-01 
499 968.64 7.70331717e+00 1.92582935e-01 
498 970.51 8.15399551e+00 2.03849882e-01 
497 972.37 8.29292488e+00 2.07323119e-01 
496 974.23 8.31266403e+00 2.07816601e-01 
495 976.09 8.41230488e+00 2.10307628e-01 
494 977.95 8.67401695e+00 2.16850430e-01 
493 979.80 9.02889919e+00 2.25722477e-01 
492 981.65 9.35768318e+00 2.33942077e-01 
491 983.50 9.68333912e+00 2.42083475e-01 
490 985.34 9.96781731e+00 2.49195427e-01 
489 987.18 1.01478405e+01 2.53696024e-01 
488 989.02 1.03170156e+01 2.57925391e-01 
487 990.86 1.04247952e+01 2.60619879e-01 
486 992.70 1.05257959e+01 2.63144910e-01 
485 994.53 1.06236877e+01 2.65592188e-01 
484 996.36 1.06652946e+01 2.66632378e-01 
483 998.19 1.06871796e+01 2.67179489e-01 
482 1000.01 1.07124863e+01 2.67812163e-01 
481 1001.83 1.06834240e+01 2.67085612e-01 
480 1003.65 1.06378345e+01 2.65945852e-01 
479 1005.47 1.06550941e+01 2.66377360e-01 
478 1007.29 1.07401962e+01 2.68504918e-01 
477 1009.10 1.08683300e+01 2.71708250e-01 
476 1010.91 1.09609480e+01 2.74023712e-01 
475 1012.72 1.10264196e+01 2.75660485e-01 
474 1014.53 1.10175800e+01 2.75439501e-01 
473 1016.33 1.10368719e+01 2.75921792e-01 
472 1018.13 1.09921732e+01 2.74804324e-01 
471 1019.93 1.09907179e+01 2.74767935e-01 
470 1021.73 1.09200983e+01 2.73002446e-01 
469 1023.52 1.08850403e+01 2.72126019e-01 
468 1025.31 1.08409262e+01 2.71023154e-01 
467 1027.10 1.08358097e+01 2.70895243e-01 
466 1028.89 1.07396679e+01 2.68491685e-01 
465 1030.67 1.06641150e+01 2.66602874e-01 
464 1032.45 1.05299177e+01 2.63247937e-01 
463 1034.23 1.04575338e+01 2.61438340e-01 
462 1036.01 1.03782320e+01 2.59455800e-01 
461 1037.79 1.03704100e+01 2.59260237e-01 
460 1039.56 1.02923822e+01 2.57309556e-01 
459 1041.33 1.02415791e+01 2.56039470e-01 
458 1043.10 1.01462336e+01 2.53655851e-01 
457 1044.87 1.00712366e+01 2.51780927e-01 
456 1046.63 1.00082016e+01 2.50205040e-01 
455 1048.39 1.00017462e+01 2.50043660e-01 
454 1050.15 9.97270679e+00 2.49317676e-01 
453 1051.91 9.98651028e+00 2.49662757e-01 
452 1053.67 9.96997356e+00 2.49249339e-01 
451 1055.42 9.94580841e+00 2.48645216e-01 
450 1057.17 9.87053680e+00 2.46763423e-01 
449 1058.92 9.82503700e+00 2.45625928e-01 
448 1060.67 9.78297329e+00 2.44574338e-01 
