% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from \\192.168.10.201\data\sunsat\AirSHARP_2024\data_processed\allstarmats\4STARB_20241020starsun.mat and recorded on 2024-11-20 15:56:46.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NRL_CEOBS_MBAYCAUSA within 300 m [Alt] and 600 seconds, measured on 20241020. Using the AERONET file: 241020_241020_NRL_CEOBS_MBAYCAUSA.lev15 as input for this comparison. Date of creation: 20-Nov-2024 15:56:46
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 -2.24047287e+02 -5.60118198e+00 
2 172.86 -4.33627892e+00 -1.08406976e-01 
3 173.67 3.88541260e+01 9.71353173e-01 
4 174.48 6.55062939e+03 1.63765732e+02 
5 175.29 6.01462646e+03 1.50365662e+02 
6 176.11 4.93959473e+03 1.23489868e+02 
7 176.92 4.19974658e+03 1.04993668e+02 
8 177.73 3.83090674e+03 9.57726669e+01 
9 178.54 3.10130640e+03 7.75326614e+01 
10 179.36 2.84183813e+03 7.10459518e+01 
11 180.17 2.49369458e+03 6.23423653e+01 
12 180.98 2.28934302e+03 5.72335739e+01 
13 181.79 2.03027759e+03 5.07569389e+01 
14 182.61 1.88894922e+03 4.72237320e+01 
15 183.42 1.68310840e+03 4.20777092e+01 
16 184.23 1.62409460e+03 4.06023636e+01 
17 185.04 1.48948022e+03 3.72370071e+01 
18 185.86 1.42550830e+03 3.56377068e+01 
19 186.67 1.31173877e+03 3.27934685e+01 
20 187.48 1.27470984e+03 3.18677464e+01 
21 188.29 1.22184216e+03 3.05460548e+01 
22 189.11 1.15241199e+03 2.88102989e+01 
23 189.92 1.12487427e+03 2.81218567e+01 
24 190.73 1.07124438e+03 2.67811089e+01 
25 191.54 1.03742993e+03 2.59357491e+01 
26 192.36 1.01774670e+03 2.54436684e+01 
27 193.17 1.00414789e+03 2.51036968e+01 
28 193.98 1.00852124e+03 2.52130318e+01 
29 194.79 1.01750385e+03 2.54375954e+01 
30 195.61 9.88721069e+02 2.47180271e+01 
31 196.42 9.48812561e+02 2.37203140e+01 
32 197.23 9.44856812e+02 2.36214199e+01 
33 198.04 9.67723633e+02 2.41930904e+01 
34 198.86 9.88487183e+02 2.47121792e+01 
35 199.67 9.76466614e+02 2.44116650e+01 
36 200.48 9.85461304e+02 2.46365318e+01 
37 201.29 9.85807068e+02 2.46451759e+01 
38 202.11 1.00031342e+03 2.50078354e+01 
39 202.92 1.03570459e+03 2.58926144e+01 
40 203.73 1.04926245e+03 2.62315617e+01 
41 204.54 1.05952551e+03 2.64881382e+01 
42 205.36 1.08579590e+03 2.71448975e+01 
43 206.17 1.14081909e+03 2.85204773e+01 
44 206.98 1.13734180e+03 2.84335442e+01 
45 207.79 1.15143982e+03 2.87859955e+01 
46 208.61 1.21077429e+03 3.02693577e+01 
47 209.42 1.23906616e+03 3.09766541e+01 
48 210.23 1.36174780e+03 3.40436935e+01 
49 211.04 1.46616992e+03 3.66542473e+01 
50 211.86 1.64644141e+03 4.11610336e+01 
51 212.67 1.95057434e+03 4.87643585e+01 
52 213.48 2.35047485e+03 5.87618713e+01 
53 214.29 2.93107837e+03 7.32769623e+01 
54 215.11 3.59838818e+03 8.99597015e+01 
55 215.92 4.31441602e+03 1.07860397e+02 
56 216.73 5.56370508e+03 1.39092621e+02 
57 217.54 6.43554590e+03 1.60888641e+02 
58 218.35 7.72135693e+03 1.93033920e+02 
59 219.17 9.67531348e+03 2.41882843e+02 
60 219.98 1.11770518e+04 2.79426300e+02 
61 220.79 1.39817705e+04 3.49544250e+02 
62 221.60 1.72050469e+04 4.30126160e+02 
63 222.42 2.09221152e+04 5.23052856e+02 
64 223.23 2.71984590e+04 6.79961487e+02 
65 224.04 3.38871406e+04 8.47178528e+02 
66 224.85 4.54250000e+04 1.13562500e+03 
67 225.67 5.87243984e+04 1.46810999e+03 
68 226.48 7.58510000e+04 1.89627502e+03 
69 227.29 1.06502164e+05 2.66255420e+03 
70 228.10 1.36980672e+05 3.42451685e+03 
71 228.91 1.83516172e+05 4.58790430e+03 
72 229.73 2.63568188e+05 6.58920459e+03 
73 230.54 3.49768344e+05 8.74420898e+03 
74 231.35 5.00817656e+05 1.25204414e+04 
75 232.16 6.90392250e+05 1.72598066e+04 
76 232.97 9.80824313e+05 2.45206074e+04 
77 233.79 1.42204238e+06 3.55510586e+04 
78 234.60 2.02367700e+06 5.05919258e+04 
79 235.41 2.79564300e+06 6.98910781e+04 
80 236.22 3.93088875e+06 9.82722188e+04 
81 237.04 5.59551200e+06 1.39887797e+05 
82 237.85 8.22250300e+06 2.05562578e+05 
83 238.66 1.14818750e+07 2.87046875e+05 
84 239.47 1.61372800e+07 4.03432000e+05 
85 240.28 2.19744680e+07 5.49361688e+05 
86 241.10 3.13977200e+07 7.84943000e+05 
87 241.91 4.03086720e+07 1.00771681e+06 
88 242.72 5.65048440e+07 1.41262113e+06 
89 243.53 7.63004400e+07 1.90751100e+06 
90 244.34 9.90902480e+07 2.47725625e+06 
91 245.16 1.31622632e+08 3.29056575e+06 
92 245.97 1.62664464e+08 4.06661150e+06 
93 246.78 2.16900368e+08 5.42250900e+06 
94 247.59 2.59776352e+08 6.49440900e+06 
95 248.40 3.01582848e+08 7.53957100e+06 
96 249.22 3.63433696e+08 9.08584200e+06 
97 250.03 4.19236640e+08 1.04809160e+07 
98 250.84 4.57865024e+08 1.14466260e+07 
99 251.65 5.07450080e+08 1.26862520e+07 
100 252.46 5.45402432e+08 1.36350610e+07 
101 253.27 5.61764416e+08 1.40441100e+07 
102 254.09 5.81121792e+08 1.45280450e+07 
103 254.90 5.60232640e+08 1.40058160e+07 
104 255.71 5.58780608e+08 1.39695150e+07 
105 256.52 5.17992224e+08 1.29498060e+07 
106 257.33 4.65734464e+08 1.16433620e+07 
107 258.15 4.18477280e+08 1.04619320e+07 
108 258.96 3.65217024e+08 9.13042600e+06 
109 259.77 3.13866944e+08 7.84667350e+06 
110 260.58 2.68570208e+08 6.71425500e+06 
111 261.39 2.14269840e+08 5.35674600e+06 
112 262.20 1.67519040e+08 4.18797600e+06 
113 263.02 1.33184088e+08 3.32960225e+06 
114 263.83 1.02715400e+08 2.56788500e+06 
115 264.64 7.87953520e+07 1.96988375e+06 
116 265.45 5.86181840e+07 1.46545463e+06 
117 266.26 4.28112160e+07 1.07028038e+06 
118 267.07 3.07489740e+07 7.68724375e+05 
119 267.89 2.09357900e+07 5.23394750e+05 
120 268.70 1.48667090e+07 3.71667719e+05 
121 269.51 9.96116500e+06 2.49029125e+05 
122 270.32 7.20585400e+06 1.80146344e+05 
123 271.13 5.03957900e+06 1.25989477e+05 
