% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from \\192.168.10.201\data\sunsat\rooftop\Fall_2024\data_processed\allstarmats\4STARB_20241030starsun.mat and recorded on 2024-11-21 16:33:28.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20241030. Using the AERONET file: 20241030_20241030_NASA_Ames.lev15 as input for this comparison. Date of creation: 21-Nov-2024 16:33:28
Pix Wavelength C0 C0err
511 946.05 3.34698701e+00 7.75479600e-02 
510 947.95 3.50520802e+00 8.73710141e-02 
509 949.84 3.69955707e+00 7.17656985e-02 
508 951.73 3.89895129e+00 8.92165229e-02 
507 953.62 4.07829237e+00 7.59328827e-02 
506 955.51 4.31631565e+00 8.13851804e-02 
505 957.40 4.58306503e+00 7.25290850e-02 
504 959.28 4.92528629e+00 7.93270841e-02 
503 961.16 5.31570196e+00 6.80037141e-02 
502 963.03 5.73756409e+00 7.21842870e-02 
501 964.90 6.21780539e+00 6.32965043e-02 
500 966.78 6.78995943e+00 7.02197999e-02 
499 968.64 7.42365217e+00 5.63930869e-02 
498 970.51 7.88095760e+00 5.72395287e-02 
497 972.37 8.03001785e+00 5.84459007e-02 
496 974.23 8.03095913e+00 6.52941912e-02 
495 976.09 8.16144848e+00 6.10568710e-02 
494 977.95 8.43168449e+00 5.79901002e-02 
493 979.80 8.83810902e+00 4.99160178e-02 
492 981.65 9.19129848e+00 4.38352264e-02 
491 983.50 9.58081627e+00 4.49517593e-02 
490 985.34 9.88117027e+00 3.85194086e-02 
489 987.18 1.01186190e+01 3.51447053e-02 
488 989.02 1.02840042e+01 3.83927412e-02 
487 990.86 1.04052668e+01 3.78227457e-02 
486 992.70 1.04761152e+01 4.19618152e-02 
485 994.53 1.05740757e+01 4.25727889e-02 
484 996.36 1.05984669e+01 3.87934782e-02 
483 998.19 1.06612711e+01 3.81141976e-02 
482 1000.01 1.06805468e+01 4.18466479e-02 
481 1001.83 1.06694107e+01 3.55159827e-02 
480 1003.65 1.06338024e+01 3.31270918e-02 
479 1005.47 1.06882877e+01 4.47249934e-02 
478 1007.29 1.07379885e+01 4.22229655e-02 
477 1009.10 1.08991575e+01 4.15368229e-02 
476 1010.91 1.09914169e+01 3.25141959e-02 
475 1012.72 1.10463972e+01 2.74328236e-02 
474 1014.53 1.10364618e+01 4.01973166e-02 
473 1016.33 1.10586901e+01 3.35799456e-02 
472 1018.13 1.10025587e+01 3.89128067e-02 
471 1019.93 1.10128822e+01 3.56246196e-02 
470 1021.73 1.09461622e+01 4.13024500e-02 
469 1023.52 1.09105921e+01 2.80439947e-02 
468 1025.31 1.08563080e+01 3.82772237e-02 
467 1027.10 1.08513508e+01 3.21229845e-02 
466 1028.89 1.07720070e+01 3.58547494e-02 
465 1030.67 1.06997395e+01 3.44994068e-02 
464 1032.45 1.05655689e+01 3.99983488e-02 
463 1034.23 1.04852295e+01 3.10332514e-02 
462 1036.01 1.03808222e+01 3.39757130e-02 
461 1037.79 1.03524694e+01 2.47410685e-02 
460 1039.56 1.02855902e+01 2.76647713e-02 
459 1041.33 1.02491055e+01 2.86402069e-02 
458 1043.10 1.01493683e+01 2.56186873e-02 
457 1044.87 1.00806751e+01 2.79304367e-02 
456 1046.63 1.00156450e+01 3.01341396e-02 
455 1048.39 9.99414253e+00 2.13631764e-02 
454 1050.15 9.93441772e+00 3.16586830e-02 
453 1051.91 9.89722824e+00 2.84953788e-02 
452 1053.67 9.84391689e+00 3.09956949e-02 
451 1055.42 9.80385208e+00 2.84171756e-02 
450 1057.17 9.72506332e+00 3.96304391e-02 
449 1058.92 9.69119072e+00 2.46920660e-02 
448 1060.67 9.65936947e+00 2.74619218e-02 
447 1062.41 9.62282562e+00 2.65431292e-02 
446 1064.15 9.52829552e+00 3.28198411e-02 
445 1065.89 9.39456749e+00 2.82726232e-02 
444 1067.63 9.20979404e+00 3.82708497e-02 
443 1069.37 9.09577560e+00 2.90824026e-02 
442 1071.10 8.99865150e+00 2.58833747e-02 
441 1072.83 8.95281887e+00 2.31033228e-02 
440 1074.56 8.87373543e+00 2.62940302e-02 
439 1076.29 8.82056236e+00 2.74431035e-02 
438 1078.02 8.71307755e+00 3.62756699e-02 
437 1079.74 8.59588909e+00 3.39312218e-02 
436 1081.46 8.43407345e+00 3.48103158e-02 
435 1083.18 8.31839561e+00 2.97907311e-02 
434 1084.90 8.22322369e+00 3.34773473e-02 
433 1086.61 8.22480202e+00 2.33628582e-02 
432 1088.33 8.23323727e+00 2.24764589e-02 
431 1090.04 8.25992012e+00 2.52207275e-02 
430 1091.75 8.14702892e+00 2.58804075e-02 
429 1093.45 8.02117825e+00 2.82087978e-02 
428 1095.16 7.88634539e+00 3.56950387e-02 
427 1096.86 7.75128031e+00 4.11611088e-02 
426 1098.56 7.61796141e+00 5.46405949e-02 
425 1100.26 7.45923662e+00 4.50262092e-02 
424 1101.96 7.36137199e+00 5.12951873e-02 
423 1103.65 7.30879307e+00 5.72765917e-02 
422 1105.35 7.24889374e+00 6.73587099e-02 
421 1107.04 7.18549585e+00 6.25207648e-02 
420 1108.73 7.01500177e+00 7.15089217e-02 
419 1110.41 6.66662979e+00 7.47536197e-02 
418 1112.10 6.02297878e+00 8.22673216e-02 
417 1113.78 5.10168648e+00 8.48732889e-02 
416 1115.46 4.22761726e+00 8.74349996e-02 
415 1117.14 3.54749584e+00 9.24000591e-02 
414 1118.82 3.13750935e+00 1.05985358e-01 
413 1120.50 2.97749639e+00 9.08465683e-02 
412 1122.17 2.99517059e+00 1.07738383e-01 
411 1123.84 3.01932907e+00 1.09516621e-01 
410 1125.51 3.06842637e+00 1.15885548e-01 
409 1127.18 3.25180888e+00 1.12157598e-01 
408 1128.85 3.89122605e+00 1.30349189e-01 
407 1130.51 4.14880419e+00 1.24884687e-01 
406 1132.17 3.99064326e+00 1.15949742e-01 
405 1133.83 3.97376132e+00 1.14110857e-01 
404 1135.49 4.49618673e+00 1.22438572e-01 
403 1137.15 5.47156000e+00 1.25466645e-01 
402 1138.80 5.91389275e+00 1.41761377e-01 
401 1140.46 5.70262098e+00 1.27324119e-01 
400 1142.11 4.93336582e+00 1.26900375e-01 
399 1143.76 4.24748039e+00 1.15842402e-01 
398 1145.41 4.01680422e+00 1.21778138e-01 
397 1147.05 4.41212988e+00 1.18944578e-01 
396 1148.70 5.52683592e+00 1.21109806e-01 
395 1150.34 6.84290218e+00 1.37207091e-01 
394 1151.98 8.33571911e+00 1.46182537e-01 
393 1153.62 1.03898535e+01 1.54600203e-01 
392 1155.26 1.22752848e+01 1.34203747e-01 
391 1156.89 1.33376484e+01 1.48414776e-01 
390 1158.53 1.39457836e+01 1.44373208e-01 
389 1160.16 1.56036625e+01 1.29991442e-01 
388 1161.79 1.79657192e+01 1.61831319e-01 
387 1163.42 1.95640812e+01 1.75199896e-01 
386 1165.04 1.90470314e+01 1.45918816e-01 
385 1166.67 1.75422974e+01 1.30973905e-01 
384 1168.29 1.64739265e+01 1.03065200e-01 
383 1169.91 1.55162029e+01 9.64676961e-02 
382 1171.53 1.42537661e+01 1.02945745e-01 
381 1173.15 1.32960968e+01 8.05846229e-02 
380 1174.77 1.23634005e+01 6.84598163e-02 
379 1176.38 1.19187279e+01 5.97139746e-02 
378 1178.00 1.14350271e+01 5.50413132e-02 
377 1179.61 1.07578392e+01 5.29479757e-02 
376 1181.22 1.02706490e+01 5.35795167e-02 
375 1182.83 9.97140884e+00 5.19343130e-02 
374 1184.43 9.83304787e+00 5.31147905e-02 
373 1186.04 9.83044529e+00 5.89533411e-02 
372 1187.64 9.91019630e+00 5.19190170e-02 
371 1189.24 9.89375019e+00 5.00736088e-02 
370 1190.84 9.89540863e+00 4.47768718e-02 
369 1192.44 9.69326401e+00 5.01034819e-02 
368 1194.04 9.36622429e+00 5.28736971e-02 
367 1195.64 8.93179321e+00 4.00906317e-02 
366 1197.23 8.62872124e+00 3.80915739e-02 
365 1198.82 8.48528385e+00 3.62199321e-02 
364 1200.41 8.22985077e+00 4.45911214e-02 
363 1202.00 8.24925613e+00 3.97556983e-02 
362 1203.59 8.27897739e+00 3.86581682e-02 
361 1205.17 8.24296093e+00 2.61570867e-02 
360 1206.76 8.35051918e+00 2.51959395e-02 
359 1208.34 8.26951504e+00 2.73964368e-02 
358 1209.92 8.21488667e+00 3.22872847e-02 
357 1211.50 8.25787926e+00 3.20608951e-02 
356 1213.08 8.30704880e+00 3.94673795e-02 
355 1214.66 8.44553089e+00 4.53099124e-02 
354 1216.23 8.47532654e+00 4.19666804e-02 
353 1217.80 8.54749489e+00 3.47975120e-02 
352 1219.38 8.50596809e+00 3.16532552e-02 
351 1220.95 8.47459888e+00 3.43433395e-02 
350 1222.52 8.46584702e+00 3.03320698e-02 
349 1224.08 8.45977974e+00 2.62337793e-02 
348 1225.65 8.50427628e+00 2.31435373e-02 
347 1227.21 8.56254101e+00 1.67515855e-02 
