% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from \\192.168.10.201\data\sunsat\rooftop\Fall_2024\data_processed\allstarmats\4STARB_20241030starsun.mat and recorded on 2024-11-21 16:33:28.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20241030. Using the AERONET file: 20241030_20241030_NASA_Ames.lev15 as input for this comparison. Date of creation: 21-Nov-2024 16:33:28
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 9.27639313e+01 1.36617538e+02 
2 172.86 5.65017471e+01 1.01654327e+02 
3 173.67 1.18828049e+02 1.69741821e+02 
4 174.48 6.24326416e+03 3.43990771e+03 
5 175.29 5.78419531e+03 3.12058301e+03 
6 176.11 5.09721533e+03 2.56671680e+03 
7 176.92 4.56780469e+03 2.25015674e+03 
8 177.73 4.09074365e+03 1.92504419e+03 
9 178.54 3.75608423e+03 1.73386169e+03 
10 179.36 3.50465796e+03 1.56983020e+03 
11 180.17 3.25700854e+03 1.45964978e+03 
12 180.98 3.03116406e+03 1.26388574e+03 
13 181.79 2.88966650e+03 1.15189746e+03 
14 182.61 2.75576855e+03 1.06897412e+03 
15 183.42 2.71220166e+03 1.08158142e+03 
16 184.23 2.59603784e+03 9.74601685e+02 
17 185.04 2.50772437e+03 8.53375061e+02 
18 185.86 2.48059180e+03 8.30478455e+02 
19 186.67 2.43979419e+03 7.66827209e+02 
20 187.48 2.42490430e+03 7.33934509e+02 
21 188.29 2.38946777e+03 7.16014526e+02 
22 189.11 2.48233789e+03 7.01710693e+02 
23 189.92 2.50877734e+03 7.20257690e+02 
24 190.73 2.50891260e+03 6.75514893e+02 
25 191.54 2.55099463e+03 6.25174622e+02 
26 192.36 2.58970654e+03 6.38035217e+02 
27 193.17 2.68566797e+03 6.57997375e+02 
28 193.98 2.80087939e+03 6.00303284e+02 
29 194.79 2.81273389e+03 5.58067200e+02 
30 195.61 2.92764868e+03 5.93775574e+02 
31 196.42 3.03205835e+03 5.79841125e+02 
32 197.23 3.17174976e+03 5.66171143e+02 
33 198.04 3.27103027e+03 5.48493225e+02 
34 198.86 3.42111670e+03 5.39318726e+02 
35 199.67 3.50291016e+03 4.71580109e+02 
36 200.48 3.77832349e+03 5.11480133e+02 
37 201.29 4.02137280e+03 5.78260803e+02 
38 202.11 4.18547803e+03 5.56149048e+02 
39 202.92 4.37910840e+03 4.75385468e+02 
40 203.73 4.62952539e+03 5.41613037e+02 
41 204.54 4.91346045e+03 5.75304688e+02 
42 205.36 5.14757031e+03 4.32755371e+02 
43 206.17 5.53051611e+03 5.66678772e+02 
44 206.98 5.74991748e+03 5.04049591e+02 
45 207.79 6.21343115e+03 4.53731384e+02 
46 208.61 6.63960156e+03 5.30826599e+02 
47 209.42 7.19176514e+03 4.76813293e+02 
48 210.23 7.80111572e+03 4.89685425e+02 
49 211.04 8.76044434e+03 6.53980713e+02 
50 211.86 1.05972900e+04 7.13137268e+02 
51 212.67 1.28307119e+04 9.05762817e+02 
52 213.48 1.64841777e+04 1.35486584e+03 
53 214.29 2.09384746e+04 1.91693713e+03 
54 215.11 2.75462090e+04 2.46538770e+03 
55 215.92 3.44663516e+04 2.97686743e+03 
56 216.73 4.39554609e+04 4.31218359e+03 
57 217.54 5.46960898e+04 6.93224512e+03 
58 218.35 6.79341484e+04 7.74396289e+03 
59 219.17 8.61201328e+04 1.14703008e+04 
60 219.98 1.07612430e+05 1.62405430e+04 
61 220.79 1.38553625e+05 2.04744707e+04 
62 221.60 1.77719141e+05 2.86263008e+04 
63 222.42 2.29243953e+05 3.87406406e+04 
64 223.23 3.04465188e+05 4.31207031e+04 
65 224.04 4.01738375e+05 7.53548594e+04 
66 224.85 5.40210125e+05 9.70303359e+04 
67 225.67 7.27805438e+05 1.41801719e+05 
68 226.48 9.91850500e+05 1.91730281e+05 
69 227.29 1.42012775e+06 2.97834188e+05 
70 228.10 1.96230775e+06 4.06264594e+05 
71 228.91 2.76969275e+06 6.15091875e+05 
72 229.73 3.95269075e+06 9.74209125e+05 
73 230.54 5.74277500e+06 1.44323138e+06 
74 231.35 8.23287000e+06 2.12589675e+06 
75 232.16 1.20243620e+07 3.05656525e+06 
76 232.97 1.75726900e+07 5.00090150e+06 
77 233.79 2.56499620e+07 7.21286300e+06 
78 234.60 3.83373080e+07 1.05169910e+07 
79 235.41 5.63159840e+07 1.77633940e+07 
80 236.22 8.40977520e+07 2.49599120e+07 
81 237.04 1.23383656e+08 3.89277520e+07 
82 237.85 1.81309744e+08 5.71883520e+07 
83 238.66 2.69072480e+08 8.84023920e+07 
84 239.47 3.89997856e+08 1.31114072e+08 
85 240.28 5.50810432e+08 1.87681760e+08 
86 241.10 7.91898368e+08 2.75389504e+08 
87 241.91 1.12606438e+09 4.15004320e+08 
88 242.72 1.53232282e+09 5.51240704e+08 
89 243.53 2.20353306e+09 8.25161088e+08 
90 244.34 2.88109440e+09 1.06783552e+09 
91 245.16 3.90476723e+09 1.59187200e+09 
92 245.97 5.05952614e+09 2.03968986e+09 
93 246.78 6.39774822e+09 2.55456794e+09 
94 247.59 8.02462362e+09 3.17093504e+09 
95 248.40 9.82685901e+09 4.13228621e+09 
96 249.22 1.17422756e+10 4.78317824e+09 
97 250.03 1.35518198e+10 5.88319130e+09 
98 250.84 1.52550636e+10 6.48572621e+09 
99 251.65 1.69902510e+10 7.07696538e+09 
100 252.46 1.82313370e+10 8.04006502e+09 
101 253.27 1.91486403e+10 7.87369472e+09 
102 254.09 1.95621847e+10 8.34317363e+09 
103 254.90 1.94169836e+10 8.33978522e+09 
104 255.71 1.85049805e+10 7.93360742e+09 
105 256.52 1.71277742e+10 7.42449101e+09 
106 257.33 1.55007836e+10 6.82226995e+09 
107 258.15 1.40357878e+10 5.96442982e+09 
108 258.96 1.20972165e+10 5.32770099e+09 
109 259.77 1.00073933e+10 4.43293235e+09 
110 260.58 8.37736243e+09 3.48393498e+09 
111 261.39 6.57250355e+09 2.82096461e+09 
112 262.20 5.09237094e+09 2.12068096e+09 
113 263.02 3.88219750e+09 1.66980301e+09 
