% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/rooftop/Winter_2025/data_processed/allstarmats/4STARB_20250225starsun.mat and recorded on 2025-04-22 19:10:25.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20250225. Using the AERONET file: 250225_250225_NASA_Ames.lev15 as input for this comparison. Date of creation: 22-Apr-2025 19:10:25
Pix Wavelength C0 C0err
511 946.05 3.74745321e+00 3.73719782e-01 
510 947.95 3.89035964e+00 4.08918023e-01 
509 949.84 4.08828688e+00 4.75815862e-01 
508 951.73 4.25042725e+00 5.14885187e-01 
507 953.62 4.41836214e+00 5.81278861e-01 
506 955.51 4.62931871e+00 6.41415715e-01 
505 957.40 4.85667849e+00 7.19530523e-01 
504 959.28 5.17572069e+00 8.15711737e-01 
503 961.16 5.51003981e+00 9.47229803e-01 
502 963.03 5.88157034e+00 1.03181911e+00 
501 964.90 6.29325151e+00 1.21172571e+00 
500 966.78 6.77919769e+00 1.32029319e+00 
499 968.64 7.28729105e+00 1.53463805e+00 
498 970.51 7.67323017e+00 1.61746562e+00 
497 972.37 7.80109262e+00 1.69802189e+00 
496 974.23 7.82879066e+00 1.67231107e+00 
495 976.09 7.94267321e+00 1.75080264e+00 
494 977.95 8.18612289e+00 1.79220045e+00 
493 979.80 8.50214291e+00 1.91600466e+00 
492 981.65 8.79195786e+00 2.00074434e+00 
491 983.50 9.09596634e+00 2.11435366e+00 
490 985.34 9.31431198e+00 2.16711879e+00 
489 987.18 9.49102688e+00 2.23622823e+00 
488 989.02 9.62166405e+00 2.26753974e+00 
487 990.86 9.71691990e+00 2.31661630e+00 
486 992.70 9.78842354e+00 2.31078887e+00 
485 994.53 9.86226749e+00 2.36166215e+00 
484 996.36 9.88433743e+00 2.34399557e+00 
483 998.19 9.92819691e+00 2.38548303e+00 
482 1000.01 9.95246983e+00 2.38507462e+00 
481 1001.83 9.95385551e+00 2.36891103e+00 
480 1003.65 9.90574741e+00 2.37468982e+00 
479 1005.47 9.94342613e+00 2.38732576e+00 
478 1007.29 9.99764442e+00 2.40172648e+00 
477 1009.10 1.01405191e+01 2.45903778e+00 
476 1010.91 1.02287531e+01 2.46264648e+00 
475 1012.72 1.02672577e+01 2.50749969e+00 
474 1014.53 1.02505999e+01 2.47144485e+00 
473 1016.33 1.02575827e+01 2.52084064e+00 
472 1018.13 1.02273922e+01 2.47225022e+00 
471 1019.93 1.02229118e+01 2.49286866e+00 
470 1021.73 1.01773748e+01 2.47706628e+00 
469 1023.52 1.01482019e+01 2.47844696e+00 
468 1025.31 1.01031303e+01 2.42842174e+00 
467 1027.10 1.00798788e+01 2.45491719e+00 
466 1028.89 1.00029507e+01 2.40931368e+00 
465 1030.67 9.91637230e+00 2.40403032e+00 
464 1032.45 9.80256748e+00 2.35017705e+00 
463 1034.23 9.71036816e+00 2.32634020e+00 
462 1036.01 9.62794876e+00 2.30598211e+00 
461 1037.79 9.59452724e+00 2.28970098e+00 
460 1039.56 9.54342270e+00 2.27276635e+00 
459 1041.33 9.50952148e+00 2.26567817e+00 
458 1043.10 9.42080688e+00 2.21837139e+00 
457 1044.87 9.35577774e+00 2.22569489e+00 
456 1046.63 9.29863644e+00 2.18209958e+00 
455 1048.39 9.27728748e+00 2.17605114e+00 
454 1050.15 9.22098923e+00 2.16104889e+00 
453 1051.91 9.17818260e+00 2.13398361e+00 
452 1053.67 9.13233566e+00 2.12173891e+00 
451 1055.42 9.09673405e+00 2.12492967e+00 
450 1057.17 9.02161884e+00 2.08741117e+00 
449 1058.92 9.00374317e+00 2.07304025e+00 
448 1060.67 8.98218441e+00 2.07093525e+00 
447 1062.41 8.94057369e+00 2.06216931e+00 
446 1064.15 8.86042690e+00 2.01935434e+00 
445 1065.89 8.73737144e+00 1.99375260e+00 
444 1067.63 8.57230282e+00 1.92018354e+00 
443 1069.37 8.46593857e+00 1.90207851e+00 
442 1071.10 8.38530350e+00 1.86872172e+00 
441 1072.83 8.34379101e+00 1.86632657e+00 
440 1074.56 8.27953720e+00 1.85315287e+00 
439 1076.29 8.23131561e+00 1.82970262e+00 
438 1078.02 8.14703941e+00 1.80921245e+00 
437 1079.74 8.04431438e+00 1.77623796e+00 
436 1081.46 7.91707277e+00 1.73638701e+00 
435 1083.18 7.81593943e+00 1.70102406e+00 
434 1084.90 7.74269676e+00 1.67274904e+00 
433 1086.61 7.75408459e+00 1.68866110e+00 
432 1088.33 7.77123451e+00 1.69443941e+00 
431 1090.04 7.81027651e+00 1.70417356e+00 
430 1091.75 7.72447395e+00 1.67566526e+00 
429 1093.45 7.62981462e+00 1.63713300e+00 
428 1095.16 7.53670835e+00 1.61189950e+00 
427 1096.86 7.46075726e+00 1.57922995e+00 
426 1098.56 7.37431049e+00 1.56253517e+00 
425 1100.26 7.28620625e+00 1.52119815e+00 
424 1101.96 7.21682262e+00 1.49488139e+00 
423 1103.65 7.20014954e+00 1.49936116e+00 
422 1105.35 7.17439461e+00 1.47426140e+00 
421 1107.04 7.13155413e+00 1.48013008e+00 
420 1108.73 6.99966383e+00 1.41125238e+00 
419 1110.41 6.70688772e+00 1.30544901e+00 
418 1112.10 6.17957783e+00 1.12388074e+00 
417 1113.78 5.40431309e+00 8.52786303e-01 
416 1115.46 4.65477848e+00 5.94970763e-01 
415 1117.14 4.07926607e+00 3.94995987e-01 
414 1118.82 3.75874543e+00 2.77250320e-01 
413 1120.50 3.67259812e+00 2.26898566e-01 
412 1122.17 3.78848195e+00 2.04138294e-01 
411 1123.84 3.88137722e+00 2.09976330e-01 
410 1125.51 4.01987123e+00 2.13079602e-01 
409 1127.18 4.24760866e+00 2.42894650e-01 
408 1128.85 4.86391640e+00 4.16871339e-01 
407 1130.51 5.06599379e+00 4.96574312e-01 
406 1132.17 4.86223793e+00 4.23714995e-01 
405 1133.83 4.86799431e+00 4.05254066e-01 
404 1135.49 5.39699221e+00 5.39090753e-01 
403 1137.15 6.33290386e+00 8.77171874e-01 
402 1138.80 6.69888592e+00 1.06072569e+00 
401 1140.46 6.42008924e+00 1.02550709e+00 
400 1142.11 5.68590117e+00 8.09683263e-01 
399 1143.76 5.05899572e+00 5.96532881e-01 
398 1145.41 4.87164497e+00 4.98829007e-01 
397 1147.05 5.29888487e+00 5.71185648e-01 
396 1148.70 6.47338438e+00 8.64375591e-01 
395 1150.34 7.93738365e+00 1.18642795e+00 
394 1151.98 9.67276096e+00 1.55812502e+00 
393 1153.62 1.18707542e+01 2.14451551e+00 
392 1155.26 1.37060938e+01 2.65654135e+00 
391 1156.89 1.45369329e+01 3.02852893e+00 
390 1158.53 1.49030848e+01 3.16899371e+00 
389 1160.16 1.64408569e+01 3.66909385e+00 
388 1161.79 1.88485432e+01 4.30409765e+00 
387 1163.42 2.04065800e+01 4.81819677e+00 
386 1165.04 1.97927265e+01 4.67632675e+00 
385 1166.67 1.80626049e+01 4.25927687e+00 
384 1168.29 1.67703552e+01 3.95881438e+00 
383 1169.91 1.56442900e+01 3.71605659e+00 
382 1171.53 1.43150854e+01 3.32865143e+00 
381 1173.15 1.32665043e+01 3.06694102e+00 
380 1174.77 1.22889061e+01 2.81889296e+00 
379 1176.38 1.17545433e+01 2.68249989e+00 
378 1178.00 1.12266645e+01 2.56069994e+00 
377 1179.61 1.05844173e+01 2.37762690e+00 
376 1181.22 1.01074114e+01 2.25037289e+00 
375 1182.83 9.79409504e+00 2.16880012e+00 
374 1184.43 9.66110134e+00 2.13557339e+00 
373 1186.04 9.65435600e+00 2.12752104e+00 
372 1187.64 9.72593498e+00 2.16634822e+00 
371 1189.24 9.67085648e+00 2.15990615e+00 
370 1190.84 9.59616756e+00 2.15824366e+00 
369 1192.44 9.36196709e+00 2.10773468e+00 
368 1194.04 9.03235912e+00 2.02095246e+00 
367 1195.64 8.64286423e+00 1.91188681e+00 
366 1197.23 8.37968826e+00 1.82195926e+00 
365 1198.82 8.23560715e+00 1.78276396e+00 
364 1200.41 8.00273323e+00 1.71839142e+00 
363 1202.00 7.98231936e+00 1.70822453e+00 
362 1203.59 7.96504164e+00 1.71201682e+00 
361 1205.17 7.90904045e+00 1.69852567e+00 
360 1206.76 7.96588135e+00 1.72174537e+00 
359 1208.34 7.87913704e+00 1.70317233e+00 
358 1209.92 7.84264374e+00 1.70942295e+00 
357 1211.50 7.88743782e+00 1.71816897e+00 
356 1213.08 7.94313335e+00 1.73191786e+00 
355 1214.66 8.03031254e+00 1.76195800e+00 
354 1216.23 8.02776337e+00 1.76907122e+00 
353 1217.80 8.06564140e+00 1.78185534e+00 
352 1219.38 8.02351570e+00 1.75963545e+00 
351 1220.95 7.98104143e+00 1.76400065e+00 
350 1222.52 7.97837973e+00 1.73738337e+00 
