% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from /data/sunsat/rooftop/Winter_2025/data_processed/allstarmats/4STARB_20250225starsun.mat and recorded on 2025-04-22 19:10:25.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20250225. Using the AERONET file: 250225_250225_NASA_Ames.lev15 as input for this comparison. Date of creation: 22-Apr-2025 19:10:25
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 3.66648984e+11 1.36126687e+12 
2 172.86 2.89860190e+11 1.01938253e+12 
3 173.67 9.22689782e+10 3.85867153e+11 
4 174.48 2.89943821e+12 6.87805982e+12 
5 175.29 1.51226941e+12 3.54705107e+12 
6 176.11 7.31354431e+11 1.65204053e+12 
7 176.92 3.78965721e+11 8.46128087e+11 
8 177.73 2.02707993e+11 4.47580144e+11 
9 178.54 1.07492549e+11 2.34178986e+11 
10 179.36 5.84539587e+10 1.24407489e+11 
11 180.17 3.18193357e+10 6.63982940e+10 
12 180.98 1.82525645e+10 3.76461394e+10 
13 181.79 1.05905367e+10 2.18164777e+10 
14 182.61 5.96226765e+09 1.18353347e+10 
15 183.42 3.57670938e+09 6.95750656e+09 
16 184.23 2.09681216e+09 3.98877798e+09 
17 185.04 1.28819789e+09 2.43715891e+09 
18 185.86 8.00758528e+08 1.46089267e+09 
19 186.67 5.02941664e+08 9.19428736e+08 
20 187.48 3.24126688e+08 5.84303104e+08 
21 188.29 2.05158256e+08 3.55676800e+08 
22 189.11 1.32952520e+08 2.27804784e+08 
23 189.92 8.80392240e+07 1.47309552e+08 
24 190.73 5.93060080e+07 9.92737680e+07 
25 191.54 3.89963600e+07 6.32153320e+07 
26 192.36 2.69899280e+07 4.33057480e+07 
27 193.17 1.79535280e+07 2.80665140e+07 
28 193.98 1.27064470e+07 1.97021100e+07 
29 194.79 9.00143900e+06 1.37165080e+07 
30 195.61 6.39285300e+06 9.61037800e+06 
31 196.42 4.53898300e+06 6.71167400e+06 
32 197.23 3.25041175e+06 4.80180100e+06 
33 198.04 2.39006400e+06 3.47925400e+06 
34 198.86 1.73860050e+06 2.48177125e+06 
35 199.67 1.26395588e+06 1.77967350e+06 
36 200.48 9.55937062e+05 1.31692225e+06 
37 201.29 7.04264688e+05 9.70947938e+05 
38 202.11 5.36178688e+05 7.31257125e+05 
39 202.92 4.03130281e+05 5.37961250e+05 
40 203.73 3.08092531e+05 4.08040156e+05 
41 204.54 2.43299734e+05 3.23747250e+05 
42 205.36 1.89846547e+05 2.54382625e+05 
43 206.17 1.49274141e+05 1.98877469e+05 
44 206.98 1.13796305e+05 1.48747312e+05 
45 207.79 9.28217500e+04 1.20801578e+05 
46 208.61 7.30540625e+04 9.50950156e+04 
47 209.42 6.11923711e+04 8.02814844e+04 
48 210.23 5.08391406e+04 6.63628672e+04 
49 211.04 4.56948867e+04 5.98578984e+04 
50 211.86 4.21393125e+04 5.51438945e+04 
51 212.67 4.19574102e+04 5.52142539e+04 
52 213.48 4.23018125e+04 5.56383945e+04 
53 214.29 4.43561211e+04 5.69078281e+04 
54 215.11 4.77884219e+04 6.24864062e+04 
55 215.92 5.02949336e+04 6.60131016e+04 
56 216.73 5.27217031e+04 6.93938125e+04 
57 217.54 5.41992227e+04 7.11322031e+04 
58 218.35 5.69461641e+04 7.55144062e+04 
59 219.17 5.92043086e+04 7.80362188e+04 
60 219.98 6.36405273e+04 8.46377578e+04 
61 220.79 6.85280000e+04 9.05630625e+04 
62 221.60 7.40372422e+04 9.85402266e+04 
63 222.42 8.42909766e+04 1.12542734e+05 
64 223.23 9.48870000e+04 1.26447508e+05 
65 224.04 1.11083570e+05 1.51661078e+05 
66 224.85 1.33260109e+05 1.78914516e+05 
67 225.67 1.60832938e+05 2.20193953e+05 
68 226.48 1.93952094e+05 2.63986656e+05 
69 227.29 2.47050438e+05 3.41592156e+05 
70 228.10 3.13525531e+05 4.33333906e+05 
71 228.91 4.02938219e+05 5.51337312e+05 
72 229.73 5.33576375e+05 7.44444062e+05 
73 230.54 7.03685188e+05 9.90312625e+05 
74 231.35 9.56147062e+05 1.35873375e+06 
75 232.16 1.35436638e+06 2.00005825e+06 
76 232.97 1.81258762e+06 2.62850075e+06 
77 233.79 2.56325325e+06 3.86908775e+06 
78 234.60 3.58357100e+06 5.50992350e+06 
79 235.41 5.03909150e+06 7.83685500e+06 
80 236.22 7.37737300e+06 1.18448410e+07 
81 237.04 1.02610050e+07 1.59289120e+07 
82 237.85 1.50173850e+07 2.40774660e+07 
83 238.66 2.15017340e+07 3.58579600e+07 
84 239.47 3.02290860e+07 5.03773280e+07 
85 240.28 4.29474600e+07 7.39214240e+07 
86 241.10 6.05037480e+07 1.05838928e+08 
87 241.91 8.28638160e+07 1.46885200e+08 
88 242.72 1.15718528e+08 2.08604416e+08 
89 243.53 1.56310464e+08 2.81288128e+08 
90 244.34 2.08736496e+08 3.74579488e+08 
91 245.16 2.75300576e+08 5.10418688e+08 
92 245.97 3.46869568e+08 6.35582656e+08 
93 246.78 4.30099232e+08 7.96752768e+08 
94 247.59 5.38513344e+08 1.01313485e+09 
95 248.40 6.38524928e+08 1.21059661e+09 
96 249.22 7.55437568e+08 1.45999782e+09 
97 250.03 8.25654912e+08 1.57599181e+09 
98 250.84 9.03677376e+08 1.73909786e+09 
99 251.65 9.63606144e+08 1.86413312e+09 
100 252.46 9.73597120e+08 1.85594266e+09 
101 253.27 9.92020032e+08 1.92150374e+09 
102 254.09 9.80023040e+08 1.91803264e+09 
103 254.90 8.99725760e+08 1.72063219e+09 
104 255.71 7.88838592e+08 1.50141094e+09 
105 256.52 6.86086144e+08 1.30167066e+09 
106 257.33 5.79120640e+08 1.08297741e+09 
107 258.15 4.96125728e+08 9.47162496e+08 
108 258.96 4.00871424e+08 7.56348928e+08 
109 259.77 3.08263488e+08 5.72181184e+08 
110 260.58 2.23952384e+08 4.07249216e+08 
111 261.39 1.64606416e+08 2.97123584e+08 
112 262.20 1.19230624e+08 2.17163232e+08 
113 263.02 8.04473040e+07 1.41355136e+08 
114 263.83 5.53156880e+07 9.49859600e+07 
115 264.64 3.84089720e+07 6.52479040e+07 
116 265.45 2.41200060e+07 3.99388600e+07 
117 266.26 1.57239510e+07 2.63051680e+07 
118 267.07 9.66755600e+06 1.57225130e+07 
119 267.89 5.79245150e+06 9.21018300e+06 
