% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from /data/sunsat/rooftop/Spring_2025/data_processed/allstarmats/4STARB_20250403starsun.mat and recorded on 2025-04-22 17:51:41.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20250403. Using the AERONET file: 250403_250403_NASA_Ames.lev15 as input for this comparison. Date of creation: 22-Apr-2025 17:51:41
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 5.23946816e+08 1.75342387e+09 
2 172.86 5.23853640e+07 7.78216384e+08 
3 173.67 4.18464200e+07 2.54654048e+08 
4 174.48 5.34985165e+09 8.69956506e+09 
5 175.29 3.25934336e+09 5.20623616e+09 
6 176.11 1.89957619e+09 2.94834970e+09 
7 176.92 1.13008384e+09 1.71910477e+09 
8 177.73 6.85799872e+08 1.03029658e+09 
9 178.54 4.21547360e+08 6.19613952e+08 
10 179.36 2.63021152e+08 3.77972576e+08 
11 180.17 1.63967920e+08 2.31202912e+08 
12 180.98 1.06630184e+08 1.46890240e+08 
13 181.79 6.89257920e+07 9.39161840e+07 
14 182.61 4.55172600e+07 6.10133640e+07 
15 183.42 3.05829580e+07 4.00019080e+07 
16 184.23 2.07204320e+07 2.66243460e+07 
17 185.04 1.40778130e+07 1.78609260e+07 
18 185.86 9.66621700e+06 1.19320030e+07 
19 186.67 6.65220700e+06 7.99305550e+06 
20 187.48 4.74544000e+06 5.58574850e+06 
21 188.29 3.36260525e+06 3.88448825e+06 
22 189.11 2.42064825e+06 2.70324650e+06 
23 189.92 1.74776825e+06 1.93714250e+06 
24 190.73 1.28463862e+06 1.38478412e+06 
25 191.54 9.41401312e+05 1.00401212e+06 
26 192.36 7.05779938e+05 7.38385062e+05 
27 193.17 5.19878750e+05 5.25549562e+05 
28 193.98 3.95945125e+05 3.92862125e+05 
29 194.79 2.97723406e+05 2.89047750e+05 
30 195.61 2.27987969e+05 2.15575766e+05 
31 196.42 1.77924625e+05 1.64492172e+05 
32 197.23 1.38434875e+05 1.26374773e+05 
33 198.04 1.07701156e+05 9.62181953e+04 
34 198.86 8.60530078e+04 7.69431172e+04 
35 199.67 6.78735703e+04 5.87112578e+04 
36 200.48 5.38391133e+04 4.48978789e+04 
37 201.29 4.30247891e+04 3.47096719e+04 
38 202.11 3.41975156e+04 2.74303828e+04 
39 202.92 2.79081641e+04 2.18724492e+04 
40 203.73 2.30515215e+04 1.79944980e+04 
41 204.54 1.87044805e+04 1.39986992e+04 
42 205.36 1.56017129e+04 1.14076855e+04 
43 206.17 1.27458047e+04 9.30947363e+03 
44 206.98 1.06484990e+04 7.57699463e+03 
45 207.79 8.96514258e+03 6.24816406e+03 
46 208.61 7.45577686e+03 5.00222559e+03 
47 209.42 6.49921240e+03 4.39651953e+03 
48 210.23 5.68075000e+03 3.69714966e+03 
49 211.04 5.28893018e+03 3.46299390e+03 
50 211.86 4.98164014e+03 3.22900000e+03 
51 212.67 4.92035303e+03 3.10863770e+03 
52 213.48 5.11755078e+03 3.34936401e+03 
53 214.29 5.36048730e+03 3.54375562e+03 
54 215.11 5.65457617e+03 3.83481055e+03 
55 215.92 5.92718311e+03 3.92616748e+03 
56 216.73 6.24522900e+03 4.14851562e+03 
57 217.54 6.42749268e+03 4.30614502e+03 
58 218.35 6.56657275e+03 4.39640967e+03 
59 219.17 6.90038672e+03 4.64343506e+03 
60 219.98 7.27130225e+03 4.91745703e+03 
61 220.79 7.76640234e+03 5.32614307e+03 
62 221.60 8.49098633e+03 5.96733936e+03 
63 222.42 9.32511035e+03 6.47838574e+03 
64 223.23 1.04471650e+04 7.44339258e+03 
65 224.04 1.21228564e+04 9.01977637e+03 
66 224.85 1.37569150e+04 1.02411074e+04 
67 225.67 1.60603975e+04 1.21811484e+04 
68 226.48 1.91398008e+04 1.49830684e+04 
69 227.29 2.27833262e+04 1.78774434e+04 
70 228.10 2.84577676e+04 2.32912891e+04 
71 228.91 3.45255703e+04 2.85628848e+04 
72 229.73 4.36064531e+04 3.70728672e+04 
73 230.54 5.49482148e+04 4.78195742e+04 
74 231.35 7.12599375e+04 6.35716172e+04 
75 232.16 9.01389219e+04 8.25841797e+04 
76 232.97 1.19001328e+05 1.11136367e+05 
77 233.79 1.54780859e+05 1.45627000e+05 
78 234.60 2.07548047e+05 2.02105438e+05 
79 235.41 2.75946344e+05 2.78281875e+05 
80 236.22 3.70301594e+05 3.81899531e+05 
81 237.04 4.82699750e+05 4.98103062e+05 
82 237.85 6.58030000e+05 7.09578062e+05 
83 238.66 8.85485000e+05 9.72260625e+05 
84 239.47 1.19065200e+06 1.35513738e+06 
85 240.28 1.54466062e+06 1.76151050e+06 
86 241.10 2.07814300e+06 2.45474200e+06 
87 241.91 2.70700075e+06 3.21474775e+06 
88 242.72 3.43259675e+06 4.13279400e+06 
89 243.53 4.50531600e+06 5.56113500e+06 
