% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/rooftop/Spring_2025/data_processed/allstarmats/4STAR_20250416starsun.mat and recorded on 2025-04-17 23:09:21.
% Data C0 built to match AOD from 4STAR to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20250416. Using the AERONET file: 250416_250416_NASA_Ames.lev15 as input for this comparison. Date of creation: 17-Apr-2025 23:09:21
Pix Wavelength C0 C0err
511 949.79 1.96592927e+00 1.40036166e-01 
510 949.79 2.12319803e+00 1.37000442e-01 
509 951.68 2.40879130e+00 1.37618944e-01 
508 953.57 2.53566098e+00 1.44772053e-01 
507 955.46 2.97267985e+00 1.43747941e-01 
506 957.34 3.13336539e+00 1.44760475e-01 
505 959.22 3.61746001e+00 1.53642684e-01 
504 961.10 3.91432571e+00 1.39625803e-01 
503 962.98 4.46288872e+00 1.42430902e-01 
502 964.85 4.71605492e+00 1.18701294e-01 
501 966.72 5.45687723e+00 1.18190989e-01 
500 968.59 5.73871946e+00 8.95290226e-02 
499 970.45 6.18522501e+00 1.01203434e-01 
498 972.32 6.08813095e+00 1.00061364e-01 
497 974.18 6.32954407e+00 1.08004533e-01 
496 976.04 6.37500429e+00 1.05036460e-01 
495 977.89 6.90286970e+00 8.25747326e-02 
494 979.74 6.99426174e+00 6.23839572e-02 
493 981.59 7.57816553e+00 5.91652617e-02 
492 983.44 7.66397190e+00 5.57316206e-02 
491 985.29 8.17479801e+00 5.33475205e-02 
490 987.13 7.99995756e+00 4.87195887e-02 
489 988.97 8.32557297e+00 5.34371957e-02 
488 990.81 8.16617012e+00 5.57994135e-02 
487 992.65 8.39302635e+00 5.54537475e-02 
486 994.48 8.29277420e+00 6.21056892e-02 
485 996.31 8.34740639e+00 6.43426031e-02 
484 998.14 8.10961246e+00 6.29272684e-02 
483 999.97 8.29526520e+00 6.69228360e-02 
482 1001.79 8.01596165e+00 5.36389016e-02 
481 1003.62 8.12557316e+00 6.24203049e-02 
480 1005.44 7.93730736e+00 6.25216067e-02 
479 1007.25 8.18454361e+00 5.65039478e-02 
478 1009.07 7.92269135e+00 5.84902167e-02 
477 1010.88 8.18669224e+00 6.16573431e-02 
476 1012.69 7.90095615e+00 6.35426193e-02 
475 1014.50 8.08250904e+00 6.50612488e-02 
474 1016.31 7.82301426e+00 6.21373281e-02 
473 1018.11 8.01900864e+00 5.84961697e-02 
472 1019.91 7.75194359e+00 6.58330992e-02 
471 1021.71 7.86702490e+00 6.16310500e-02 
470 1023.51 7.75861263e+00 5.77947572e-02 
469 1025.30 7.82764244e+00 6.34710193e-02 
468 1027.09 7.84699345e+00 6.62538931e-02 
467 1028.88 7.85052729e+00 5.79392016e-02 
466 1030.67 7.87488127e+00 6.24372810e-02 
465 1032.46 7.97298336e+00 6.81083873e-02 
464 1034.24 7.83270264e+00 6.92832917e-02 
463 1036.02 8.03823853e+00 6.93994761e-02 
462 1037.80 7.92901945e+00 7.28892311e-02 
461 1039.58 8.15313244e+00 6.61905333e-02 
460 1041.35 8.03733158e+00 6.55729547e-02 
459 1043.12 8.13511848e+00 6.99333921e-02 
458 1044.89 8.08746529e+00 6.04919344e-02 
457 1046.66 8.29966545e+00 6.35584816e-02 
456 1048.43 8.25557613e+00 5.80383763e-02 
455 1050.19 8.46968651e+00 6.70242682e-02 
454 1051.95 8.19883347e+00 5.97963817e-02 
453 1053.71 8.56408691e+00 7.17504472e-02 
452 1055.47 8.34703159e+00 6.52638003e-02 
451 1057.23 8.50334835e+00 6.57579675e-02 
450 1058.98 8.34478664e+00 6.17323145e-02 
449 1060.73 8.53920078e+00 6.43317401e-02 
448 1062.48 8.29269218e+00 6.58661872e-02 
447 1064.23 8.40233231e+00 5.20814508e-02 
446 1065.97 8.14455223e+00 6.24961965e-02 
445 1067.71 8.23316765e+00 5.70344888e-02 
444 1069.46 8.02623844e+00 5.55855669e-02 
443 1071.19 8.02315807e+00 4.99513187e-02 
442 1072.93 7.96143770e+00 5.50731719e-02 
441 1074.67 7.95810127e+00 5.28363511e-02 
440 1076.40 7.76363373e+00 4.46603112e-02 
439 1078.13 7.67904234e+00 4.62010466e-02 
438 1079.86 7.45665836e+00 4.50556427e-02 
437 1081.58 7.48566675e+00 5.04569001e-02 
436 1083.31 7.26845455e+00 4.65218164e-02 
435 1085.03 7.44680119e+00 3.90716456e-02 
434 1086.75 7.31218529e+00 5.24503477e-02 
433 1088.47 7.39690638e+00 4.54614498e-02 
432 1090.19 7.22620916e+00 5.35311662e-02 
431 1091.90 7.22280455e+00 5.80210723e-02 
430 1093.61 6.99006128e+00 6.21635504e-02 
429 1095.33 6.94022417e+00 8.78682137e-02 
428 1097.03 6.68318081e+00 1.03679381e-01 
