% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/rooftop/Spring_2025/data_processed/allstarmats/4STARB_20250421starsun.mat and recorded on 2025-04-21 22:44:16.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20250421. Using the AERONET file: 250421_250421_NASA_Ames.lev15 as input for this comparison. Date of creation: 21-Apr-2025 22:44:16
Pix Wavelength C0 C0err
511 946.05 4.61465693e+00 2.76842862e-02 
510 947.95 4.77352524e+00 2.27066539e-02 
509 949.84 4.97389460e+00 2.22214423e-02 
508 951.73 5.14335203e+00 2.15714481e-02 
507 953.62 5.30565119e+00 2.16451306e-02 
506 955.51 5.50587273e+00 2.46293433e-02 
505 957.40 5.74579906e+00 2.21272074e-02 
504 959.28 6.05210495e+00 2.47343369e-02 
503 961.16 6.40612507e+00 2.15328634e-02 
502 963.03 6.77079201e+00 1.93817057e-02 
501 964.90 7.17399216e+00 2.06931252e-02 
500 966.78 7.61392450e+00 1.96357835e-02 
499 968.64 8.07903576e+00 1.88628379e-02 
498 970.51 8.42686272e+00 1.56002315e-02 
497 972.37 8.57584476e+00 2.19406430e-02 
496 974.23 8.62313175e+00 2.17280313e-02 
495 976.09 8.75874233e+00 2.00917777e-02 
494 977.95 8.95860195e+00 1.54870255e-02 
493 979.80 9.24083996e+00 2.15288829e-02 
492 981.65 9.48424053e+00 2.03344449e-02 
491 983.50 9.74695206e+00 2.23104227e-02 
490 985.34 9.93415737e+00 2.01268904e-02 
489 987.18 1.00764761e+01 2.05775760e-02 
488 989.02 1.01774492e+01 2.13711057e-02 
487 990.86 1.02518330e+01 1.59749053e-02 
486 992.70 1.02928963e+01 1.75576601e-02 
485 994.53 1.03625059e+01 1.76716167e-02 
484 996.36 1.04024591e+01 1.84945129e-02 
483 998.19 1.04569197e+01 2.08400935e-02 
482 1000.01 1.04843941e+01 2.28099283e-02 
481 1001.83 1.04772835e+01 2.35023983e-02 
