% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2025-04-22 13:34:16.
% Langley at MLO outside 1.8x the STD of 501 nm Langley residuals were screened out. 
% Including only the good days at MLO
% Averages of c0 from multiple days including: , Ames- A-ER, Ames- A-ER, Ames- A-ER, Ames- A-ER, Ames- P-M , Ames- P-M , Ames- A-ER, Ames- A-ER. See the list of files below
% 20250403_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250409_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250414_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250416_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250416_NIR_C0_4STARB_refined_ground_langley_am.dat
% 20250416_NIR_C0_4STARB_refined_ground_langley_am.dat
% 20250418_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250421_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
Pix Wavelength C0 C0err
511 946.05 4.01497132e+00 6.25518496e-01 
510 947.95 4.16592369e+00 6.30603742e-01 
509 949.84 4.36999330e+00 6.34707533e-01 
508 951.73 4.55146643e+00 6.33567011e-01 
507 953.62 4.73293078e+00 6.32577466e-01 
506 955.51 4.93200249e+00 6.06665363e-01 
505 957.40 5.17426479e+00 5.86854547e-01 
504 959.28 5.50005961e+00 5.79112341e-01 
503 961.16 5.86847043e+00 5.62424931e-01 
502 963.03 6.26945514e+00 5.50215685e-01 
501 964.90 6.70876777e+00 5.13602107e-01 
500 966.78 7.21809757e+00 4.63681131e-01 
499 968.64 7.76486701e+00 4.00399867e-01 
498 970.51 8.16065490e+00 3.52448831e-01 
497 972.37 8.31159890e+00 3.48498227e-01 
496 974.23 8.33120585e+00 3.71138755e-01 
495 976.09 8.46011841e+00 3.69874128e-01 
494 977.95 8.69855773e+00 3.49723458e-01 
493 979.80 9.02584016e+00 2.94907366e-01 
492 981.65 9.31901932e+00 2.41822659e-01 
491 983.50 9.63320517e+00 1.85392624e-01 
490 985.34 9.85781586e+00 1.28962547e-01 
489 987.18 1.00400823e+01 8.59264263e-02 
488 989.02 1.01557171e+01 6.99175857e-02 
