% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2025-04-22 12:35:48.
% Langley at MLO outside 1.8x the STD of 501 nm Langley residuals were screened out. 
% Including only the good days at MLO
% Averages of c0 from multiple days including: , Ames- A-ER, Ames- A-ER, Ames- A-ER, Ames- A-ER, Ames- A-ER, Ames- A-ER. See the list of files below
% 20250403_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250409_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250414_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250416_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250418_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250421_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 4.94815704e+08 9.79071791e+08 
2 172.86 -4.88805889e+08 1.21597475e+09 
3 173.67 5.27508217e+08 1.27200595e+09 
4 174.48 2.85044590e+10 6.63064482e+10 
5 175.29 1.58749844e+10 3.67085490e+10 
6 176.11 8.43333558e+09 1.93738709e+10 
7 176.92 4.50700591e+09 1.02627421e+10 
8 177.73 2.46801620e+09 5.57090080e+09 
9 178.54 1.38699133e+09 3.10132900e+09 
10 179.36 8.00572888e+08 1.77389660e+09 
11 180.17 4.55476120e+08 9.97427273e+08 
12 180.98 2.73228845e+08 5.91534246e+08 
13 181.79 1.66682459e+08 3.57396460e+08 
14 182.61 1.00299253e+08 2.11692468e+08 
15 183.42 6.21860055e+07 1.29287833e+08 
16 184.23 3.94875014e+07 8.09191902e+07 
17 185.04 2.48862851e+07 5.00599499e+07 
18 185.86 1.60717095e+07 3.17628949e+07 
19 186.67 1.08657097e+07 2.13013218e+07 
20 187.48 7.17971105e+06 1.37636927e+07 
21 188.29 4.90940850e+06 9.27307707e+06 
22 189.11 3.30331834e+06 6.07864725e+06 
23 189.92 2.33989397e+06 4.26317983e+06 
24 190.73 1.65315028e+06 2.95644348e+06 
25 191.54 1.12972494e+06 1.95373686e+06 
26 192.36 8.25876876e+05 1.40893769e+06 
27 193.17 5.91109454e+05 9.83235535e+05 
28 193.98 4.28450245e+05 6.92941783e+05 
29 194.79 3.18601066e+05 5.07782577e+05 
30 195.61 2.38519473e+05 3.72421559e+05 
31 196.42 1.79924220e+05 2.73719074e+05 
32 197.23 1.37020541e+05 2.03894731e+05 
33 198.04 1.02711564e+05 1.47765870e+05 
34 198.86 8.01571093e+04 1.13128002e+05 
35 199.67 6.25378570e+04 8.65278600e+04 
36 200.48 4.89105055e+04 6.60603009e+04 
37 201.29 3.84372962e+04 5.06114178e+04 
38 202.11 3.03816602e+04 3.90705482e+04 
39 202.92 2.41135153e+04 2.99618897e+04 
40 203.73 1.98760961e+04 2.44061231e+04 
41 204.54 1.59332647e+04 1.90034865e+04 
42 205.36 1.29827020e+04 1.50669953e+04 
43 206.17 1.05743160e+04 1.19477379e+04 
44 206.98 8.79867579e+03 9.77423190e+03 
45 207.79 7.34344712e+03 7.99051039e+03 
46 208.61 6.13036193e+03 6.50178520e+03 
47 209.42 5.26517110e+03 5.44056502e+03 
48 210.23 4.64930337e+03 4.78514106e+03 
49 211.04 4.29003123e+03 4.40692210e+03 
50 211.86 4.09938327e+03 4.21513783e+03 
51 212.67 4.10243144e+03 4.27765755e+03 
52 213.48 4.28937417e+03 4.56572867e+03 
53 214.29 4.58132343e+03 4.99243698e+03 
54 215.11 5.01366193e+03 5.70153797e+03 
55 215.92 5.30220638e+03 6.09791013e+03 
56 216.73 5.69476816e+03 6.78350346e+03 
57 217.54 5.97924980e+03 7.20835437e+03 
58 218.35 6.22722390e+03 7.58783113e+03 
59 219.17 6.71644984e+03 8.42524622e+03 
60 219.98 7.25588477e+03 9.33590593e+03 
61 220.79 8.01890146e+03 1.06409639e+04 
62 221.60 8.92540412e+03 1.20620920e+04 
63 222.42 1.00967719e+04 1.40070224e+04 
64 223.23 1.17512723e+04 1.67633937e+04 
65 224.04 1.38853330e+04 2.03464201e+04 
66 224.85 1.66208497e+04 2.50777656e+04 
67 225.67 2.06537374e+04 3.24434638e+04 
68 226.48 2.57014710e+04 4.15371590e+04 
69 227.29 3.25508086e+04 5.41504755e+04 
70 228.10 4.27361959e+04 7.33056350e+04 
71 228.91 5.67329668e+04 1.00586818e+05 
72 229.73 7.65769263e+04 1.39665518e+05 
73 230.54 1.02880408e+05 1.92099240e+05 
74 231.35 1.44558787e+05 2.76700210e+05 
75 232.16 2.07188849e+05 4.09450792e+05 
76 232.97 2.88810293e+05 5.78525442e+05 
77 233.79 4.26026484e+05 8.76619867e+05 
78 234.60 6.13437904e+05 1.27970652e+06 
79 235.41 9.01561188e+05 1.91478502e+06 
80 236.22 1.37290637e+06 2.97058673e+06 
81 237.04 2.03553590e+06 4.46957022e+06 
82 237.85 3.01961862e+06 6.70196597e+06 
83 238.66 4.61371777e+06 1.03660252e+07 
84 239.47 6.70587090e+06 1.51771922e+07 
85 240.28 1.01089854e+07 2.31261710e+07 
86 241.10 1.49957384e+07 3.45710313e+07 
87 241.91 2.09710270e+07 4.85590306e+07 
88 242.72 3.05538338e+07 7.12244506e+07 
89 243.53 4.31156468e+07 1.00922663e+08 
90 244.34 5.98523035e+07 1.40641789e+08 
91 245.16 8.39516271e+07 1.98210320e+08 
92 245.97 1.09846505e+08 2.59944777e+08 
93 246.78 1.44323506e+08 3.42545182e+08 
94 247.59 1.81763896e+08 4.32386277e+08 
95 248.40 2.18191454e+08 5.19508801e+08 
96 249.22 2.73531300e+08 6.53050085e+08 
97 250.03 3.06236438e+08 7.31530998e+08 
98 250.84 3.35718706e+08 8.02279888e+08 
99 251.65 3.86523296e+08 9.25604727e+08 
100 252.46 3.94583622e+08 9.44712942e+08 
101 253.27 4.06910305e+08 9.74756762e+08 
102 254.09 3.96144791e+08 9.48919947e+08 
103 254.90 3.74473863e+08 8.96675213e+08 
104 255.71 3.47901105e+08 8.33375020e+08 
105 256.52 2.79285375e+08 6.67469313e+08 
106 257.33 2.40063348e+08 5.73300092e+08 
107 258.15 2.04853631e+08 4.89005408e+08 
108 258.96 1.62968586e+08 3.88269084e+08 
109 259.77 1.20763347e+08 2.86854161e+08 
110 260.58 9.16830159e+07 2.17470303e+08 
111 261.39 6.52633985e+07 1.54373605e+08 
112 262.20 4.56404991e+07 1.07632742e+08 
113 263.02 3.15885417e+07 7.42612247e+07 
114 263.83 2.07573717e+07 4.85298701e+07 
115 264.64 1.34526700e+07 3.12478401e+07 
116 265.45 8.50394256e+06 1.96105927e+07 
117 266.26 5.34853648e+06 1.22604785e+07 
118 267.07 3.23696413e+06 7.34890660e+06 
119 267.89 1.88066143e+06 4.21688029e+06 
120 268.70 1.12488615e+06 2.49222307e+06 
121 269.51 6.67496183e+05 1.45584098e+06 
122 270.32 3.78173177e+05 8.06384761e+05 
123 271.13 2.28264056e+05 4.78797174e+05 
124 271.94 1.33712484e+05 2.74021498e+05 
125 272.75 7.61474070e+04 1.51319700e+05 
126 273.57 4.43958980e+04 8.58627725e+04 
127 274.38 2.50663444e+04 4.62677710e+04 
128 275.19 1.52151024e+04 2.71714113e+04 
129 276.00 9.36494945e+03 1.60452695e+04 
130 276.81 5.71574942e+03 9.26168264e+03 
131 277.62 3.59561053e+03 5.55544049e+03 
132 278.43 2.29293267e+03 3.36427201e+03 
133 279.25 1.45874153e+03 1.99688070e+03 
134 280.06 9.47990895e+02 1.21540181e+03 
135 280.87 6.26337396e+02 7.44180811e+02 
136 281.68 4.24631351e+02 4.72198757e+02 
137 282.49 2.99770306e+02 3.11550864e+02 
138 283.30 2.14617715e+02 2.05793106e+02 
139 284.11 1.57957398e+02 1.41838657e+02 
140 284.93 1.15026379e+02 9.42205460e+01 
141 285.74 8.63460935e+01 6.56224289e+01 
142 286.55 6.69501720e+01 4.75034661e+01 
143 287.36 5.18493487e+01 3.35041058e+01 
144 288.17 4.09446507e+01 2.46441547e+01 
145 288.98 3.29904442e+01 1.86061935e+01 
146 289.79 2.70794775e+01 1.37036378e+01 
147 290.60 2.25148776e+01 1.06762591e+01 
148 291.42 1.89657917e+01 8.36291235e+00 
149 292.23 1.63447233e+01 6.76089829e+00 
150 293.04 1.40801307e+01 5.39240211e+00 
151 293.85 1.23736440e+01 4.30124711e+00 
152 294.66 1.10546270e+01 3.60002733e+00 
153 295.47 9.91322135e+00 3.05413944e+00 
154 296.28 9.00078543e+00 2.55109018e+00 
155 297.09 8.22989702e+00 2.20224152e+00 
156 297.90 7.64783136e+00 1.84065630e+00 
157 298.71 7.14603440e+00 1.59418274e+00 
158 299.53 6.80489381e+00 1.39685905e+00 
159 300.34 6.55476634e+00 1.26107041e+00 
160 301.15 6.40931805e+00 1.02840699e+00 
161 301.96 6.44201398e+00 8.71459755e-01 
162 302.77 6.62869374e+00 7.03491652e-01 
163 303.58 6.94136516e+00 5.83494794e-01 
164 304.39 7.29927818e+00 4.55416841e-01 
165 305.20 7.75777690e+00 4.26404583e-01 
166 306.01 8.35512066e+00 4.14373823e-01 
167 306.82 9.31566715e+00 4.66625385e-01 
168 307.63 1.02409620e+01 5.59228883e-01 
169 308.44 1.08271465e+01 5.85302126e-01 
170 309.26 1.16640499e+01 6.19607773e-01 
171 310.07 1.37386630e+01 7.74095263e-01 
172 310.88 1.60394387e+01 9.32367806e-01 
173 311.69 1.75628258e+01 9.89558632e-01 
174 312.50 1.89526227e+01 9.69633755e-01 
175 313.31 2.05167567e+01 9.72236196e-01 
176 314.12 2.18512678e+01 9.80749284e-01 
177 314.93 2.25696631e+01 9.11499709e-01 
178 315.74 2.38530849e+01 8.46855443e-01 
179 316.55 2.69097871e+01 8.81882285e-01 
180 317.36 2.91538013e+01 9.13092135e-01 
181 318.17 3.00701272e+01 7.91390550e-01 
182 318.98 3.21020031e+01 7.67096377e-01 
183 319.79 3.50338186e+01 7.65514704e-01 
184 320.60 3.65606486e+01 6.93047001e-01 
185 321.41 3.63328768e+01 5.91384339e-01 
186 322.22 3.60451610e+01 5.79072035e-01 
187 323.04 3.76812744e+01 4.29827453e-01 
188 323.85 4.15857410e+01 4.00900686e-01 
189 324.66 4.64562073e+01 5.35023047e-01 
190 325.47 5.27770475e+01 4.97924409e-01 
191 326.28 5.76677488e+01 4.27899864e-01 
192 327.09 5.84641775e+01 4.21127346e-01 
193 327.90 5.87594242e+01 3.82547791e-01 
194 328.71 6.30445328e+01 3.14380362e-01 
195 329.52 6.73748436e+01 3.33735897e-01 
196 330.33 6.66816610e+01 3.95663593e-01 
197 331.14 6.53976377e+01 3.37692505e-01 
198 331.95 6.59403000e+01 3.01086830e-01 
199 332.76 6.59357694e+01 3.45879996e-01 
200 333.57 6.65772095e+01 2.82589236e-01 
201 334.38 6.86837806e+01 3.01053400e-01 
202 335.19 6.81088587e+01 3.29675399e-01 
203 336.00 6.43461736e+01 2.74405859e-01 
204 336.81 6.35098757e+01 3.20807576e-01 
205 337.62 6.71848208e+01 3.14619216e-01 
206 338.43 7.15422935e+01 3.32198106e-01 
207 339.24 7.54414902e+01 3.72481482e-01 
208 340.05 7.74843813e+01 3.62111770e-01 
209 340.86 7.67356809e+01 3.59020638e-01 
210 341.67 7.75031484e+01 3.55558861e-01 
211 342.48 7.90614459e+01 4.04465499e-01 
212 343.29 7.55971374e+01 3.60975891e-01 
213 344.10 7.14192301e+01 3.27907024e-01 
214 344.91 7.37448489e+01 3.66110061e-01 
215 345.72 7.69233971e+01 4.00443341e-01 
216 346.53 7.78102341e+01 3.72531134e-01 
217 347.34 7.74618823e+01 3.94903172e-01 
218 348.15 7.71221784e+01 3.58384103e-01 
219 348.96 7.83823929e+01 3.40760681e-01 
220 349.77 8.30999819e+01 4.18947409e-01 
221 350.58 8.67705790e+01 4.54603493e-01 
222 351.39 8.52380066e+01 4.09240580e-01 
223 352.19 8.37045390e+01 3.60187353e-01 
224 353.00 8.75825030e+01 4.30888070e-01 
225 353.81 9.39881236e+01 3.80611327e-01 
226 354.62 9.59294612e+01 4.27187741e-01 
227 355.43 9.23487854e+01 3.67857768e-01 
228 356.24 8.49201050e+01 3.65240045e-01 
229 357.05 7.73789075e+01 2.91544029e-01 
230 357.86 7.30943743e+01 3.24474820e-01 
231 358.67 7.79041646e+01 3.43813668e-01 
232 359.48 8.88833644e+01 4.16508866e-01 
233 360.29 9.03307597e+01 4.70897734e-01 
234 361.10 8.70433553e+01 3.24690351e-01 
235 361.91 8.97983627e+01 3.80029198e-01 
236 362.72 9.43002612e+01 3.93743090e-01 
237 363.53 9.63908399e+01 3.97641757e-01 
238 364.34 9.94836808e+01 4.28023569e-01 
239 365.14 1.06905092e+02 4.74497825e-01 
240 365.95 1.14481392e+02 4.71586692e-01 
241 366.76 1.15349960e+02 4.53109564e-01 
242 367.57 1.12863293e+02 4.29687266e-01 
243 368.38 1.12992881e+02 4.90730785e-01 
244 369.19 1.17410243e+02 4.61289996e-01 
245 370.00 1.18594142e+02 4.36384571e-01 
246 370.81 1.17202586e+02 4.47364729e-01 
247 371.62 1.14656963e+02 4.01409738e-01 
248 372.43 1.08700197e+02 3.56238588e-01 
249 373.24 1.02542524e+02 3.53918860e-01 
250 374.04 1.01251305e+02 3.60031535e-01 
251 374.85 1.07486444e+02 4.12657626e-01 
252 375.66 1.16949451e+02 4.65451275e-01 
253 376.47 1.27027779e+02 5.12763039e-01 
254 377.28 1.39688924e+02 5.39265976e-01 
255 378.09 1.44834488e+02 5.85641792e-01 
256 378.90 1.38122365e+02 4.99536334e-01 
257 379.71 1.35066925e+02 4.46049279e-01 
258 380.51 1.36269224e+02 5.03654154e-01 
259 381.32 1.26415756e+02 4.11083331e-01 
260 382.13 1.08882069e+02 3.67406596e-01 
261 382.94 9.94718488e+01 3.42297006e-01 
262 383.75 1.06802283e+02 4.14835748e-01 
263 384.56 1.21370255e+02 5.47050401e-01 
264 385.37 1.28305327e+02 4.82592637e-01 
265 386.17 1.30233617e+02 5.06287130e-01 
266 386.98 1.31811068e+02 4.71130930e-01 
267 387.79 1.33891274e+02 4.93180381e-01 
268 388.60 1.42012049e+02 5.26451103e-01 
269 389.41 1.55672038e+02 6.32026314e-01 
270 390.22 1.67428436e+02 5.87657213e-01 
271 391.02 1.70717176e+02 6.69174070e-01 
272 391.83 1.55206236e+02 5.54414351e-01 
273 392.64 1.27048295e+02 4.16808563e-01 
274 393.45 1.19208918e+02 3.71225985e-01 
275 394.26 1.42055621e+02 6.11619837e-01 
276 395.07 1.61049410e+02 7.31427869e-01 
277 395.87 1.51664292e+02 5.10083151e-01 
278 396.68 1.42617826e+02 4.86707488e-01 
279 397.49 1.67422900e+02 6.34830385e-01 
280 398.30 2.06910403e+02 8.45347446e-01 
281 399.11 2.32786751e+02 8.87299015e-01 
282 399.91 2.45561918e+02 9.42121610e-01 
283 400.72 2.54337179e+02 9.28122754e-01 
284 401.53 2.61306773e+02 9.85177683e-01 
285 402.34 2.63232508e+02 1.00504475e+00 
286 403.15 2.61506806e+02 9.00238080e-01 
287 403.95 2.59758825e+02 8.77930667e-01 
288 404.76 2.58141708e+02 9.36445009e-01 
289 405.57 2.56338860e+02 9.87392568e-01 
290 406.38 2.56263435e+02 8.80619498e-01 
291 407.18 2.61450760e+02 9.59990634e-01 
292 407.99 2.70624206e+02 1.09309593e+00 
293 408.80 2.74205541e+02 1.04884400e+00 
294 409.61 2.70336807e+02 9.32152926e-01 
295 410.41 2.73538259e+02 9.40774050e-01 
296 411.22 2.85694341e+02 1.10153455e+00 
297 412.03 2.93670257e+02 1.03149744e+00 
298 412.84 2.95595057e+02 1.07621519e+00 
299 413.64 2.96760554e+02 1.04349704e+00 
300 414.45 2.98692184e+02 1.10569103e+00 
301 415.26 3.02004776e+02 1.04550766e+00 
302 416.07 3.04612020e+02 1.13656325e+00 
303 416.87 3.02872330e+02 1.11468015e+00 
304 417.68 3.00253072e+02 1.07022258e+00 
305 418.49 3.00314519e+02 9.89512802e-01 
306 419.30 3.03173248e+02 1.00144187e+00 
307 420.10 3.09506373e+02 1.05798482e+00 
308 420.91 3.15301081e+02 1.10218972e+00 
309 421.72 3.13943990e+02 1.02969408e+00 
310 422.52 3.10093542e+02 1.01182090e+00 
311 423.33 3.11015005e+02 1.08273836e+00 
