% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\AirSHARP\data_2025\allstarmats\4STARB_20250505starsun.mat and recorded on 2025-07-31 14:16:22.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for Marina_Airport_CA within 200 m [Alt] and 360 seconds, measured on 20250505_1. Using the AERONET file: 20250505_20250505_Marina_Airport_CA.lev20 as input for this comparison. Date of creation: 31-Jul-2025 14:16:22
Pix Wavelength C0 C0err
511 946.05 4.05446529e+00 4.88305874e-02 
510 947.95 4.20667028e+00 4.27045934e-02 
509 949.84 4.42378044e+00 4.43113260e-02 
508 951.73 4.60775566e+00 5.05857132e-02 
507 953.62 4.78804874e+00 4.81889881e-02 
506 955.51 5.00400305e+00 4.44604680e-02 
505 957.40 5.26316643e+00 4.16190326e-02 
504 959.28 5.59099627e+00 4.53797132e-02 
503 961.16 5.97212410e+00 4.78066541e-02 
502 963.03 6.36970997e+00 3.84549163e-02 
501 964.90 6.81868172e+00 3.90667319e-02 
500 966.78 7.34356260e+00 3.19883637e-02 
499 968.64 7.89862871e+00 3.07620596e-02 
498 970.51 8.30187035e+00 2.58963853e-02 
497 972.37 8.45259762e+00 2.11632401e-02 
496 974.23 8.46715355e+00 2.80829445e-02 
495 976.09 8.58605385e+00 3.10434476e-02 
494 977.95 8.82844353e+00 2.62197424e-02 
493 979.80 9.15974236e+00 2.70682368e-02 
492 981.65 9.44439507e+00 2.31435522e-02 
491 983.50 9.76047707e+00 2.51887050e-02 
490 985.34 9.99693966e+00 2.06724424e-02 
489 987.18 1.01933832e+01 2.05834024e-02 
488 989.02 1.03296852e+01 2.55271699e-02 
487 990.86 1.04389277e+01 3.03691104e-02 
486 992.70 1.05085993e+01 2.55428739e-02 
485 994.53 1.06033192e+01 2.85837930e-02 
484 996.36 1.06384573e+01 2.82031912e-02 
483 998.19 1.06957636e+01 2.63605248e-02 
482 1000.01 1.06929951e+01 3.12844478e-02 
481 1001.83 1.06761951e+01 2.54754629e-02 
480 1003.65 1.06245871e+01 3.11434343e-02 
479 1005.47 1.06948967e+01 2.31156256e-02 
478 1007.29 1.07872019e+01 2.30888966e-02 
477 1009.10 1.09519291e+01 2.11775601e-02 
476 1010.91 1.10338964e+01 2.56182477e-02 
475 1012.72 1.10693378e+01 2.87935138e-02 
474 1014.53 1.10480814e+01 2.05676053e-02 
473 1016.33 1.10627480e+01 2.48463321e-02 
472 1018.13 1.10338745e+01 2.48913169e-02 
471 1019.93 1.10313578e+01 1.96993891e-02 
470 1021.73 1.09731121e+01 2.89736111e-02 
469 1023.52 1.09327955e+01 2.66118478e-02 
