% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblan2\Research\AirSHARP\data_2025\allstarmats\4STARB_20250505starsun.mat and recorded on 2025-07-31 14:16:38.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for Marina_Airport_CA within 200 m [Alt] and 360 seconds, measured on 20250505_2. Using the AERONET file: 20250505_20250505_Marina_Airport_CA.lev20 as input for this comparison. Date of creation: 31-Jul-2025 14:16:38
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 6.03802588e+03 3.14470581e+02 
2 172.86 5.24896094e+03 2.84800873e+02 
3 173.67 4.52793652e+03 2.31329788e+02 
4 174.48 4.79549756e+03 2.34195480e+02 
5 175.29 4.28258789e+03 2.14966202e+02 
6 176.11 3.84473413e+03 1.82377258e+02 
7 176.92 3.47269727e+03 1.55658066e+02 
8 177.73 3.17209277e+03 1.41856537e+02 
9 178.54 2.92486255e+03 1.23904556e+02 
10 179.36 2.73328442e+03 1.05088806e+02 
11 180.17 2.55820142e+03 8.79551697e+01 
12 180.98 2.42379004e+03 9.30551300e+01 
13 181.79 2.32167749e+03 9.14565582e+01 
14 182.61 2.24334204e+03 9.57197418e+01 
15 183.42 2.17875464e+03 9.34948807e+01 
16 184.23 2.12661035e+03 8.07005157e+01 
17 185.04 2.09081812e+03 7.72299881e+01 
18 185.86 2.06112720e+03 6.97417145e+01 
19 186.67 2.05894629e+03 7.74114151e+01 
20 187.48 2.05563550e+03 7.32619095e+01 
21 188.29 2.06692188e+03 7.67509995e+01 
22 189.11 2.08761548e+03 7.82659531e+01 
23 189.92 2.12552002e+03 7.19417801e+01 
24 190.73 2.16706738e+03 8.78433304e+01 
25 191.54 2.19131616e+03 6.69938583e+01 
26 192.36 2.26538843e+03 8.79260864e+01 
27 193.17 2.32840894e+03 9.79844742e+01 
28 193.98 2.42574097e+03 9.67591705e+01 
29 194.79 2.51679224e+03 1.08124886e+02 
30 195.61 2.61296167e+03 1.16704666e+02 
31 196.42 2.71358130e+03 1.06831055e+02 
32 197.23 2.85758276e+03 1.28793121e+02 
33 198.04 2.96674146e+03 1.12213188e+02 
34 198.86 3.12161060e+03 1.28760696e+02 
35 199.67 3.26444165e+03 1.24122368e+02 
36 200.48 3.45269995e+03 1.48734329e+02 
37 201.29 3.64744849e+03 1.78163177e+02 
38 202.11 3.82661597e+03 1.61623199e+02 
39 202.92 4.06273560e+03 2.09991623e+02 
40 203.73 4.31461182e+03 2.14225311e+02 
41 204.54 4.57281250e+03 1.88382996e+02 
42 205.36 4.81665088e+03 2.43306641e+02 
43 206.17 5.13262158e+03 2.42351639e+02 
44 206.98 5.44595117e+03 2.81230011e+02 
45 207.79 5.84672656e+03 2.94939484e+02 
46 208.61 6.24968750e+03 3.11256256e+02 
47 209.42 6.84237646e+03 3.60399078e+02 
48 210.23 7.67508545e+03 3.97149292e+02 
49 211.04 8.81013184e+03 4.56565216e+02 
50 211.86 1.07685146e+04 6.53729858e+02 
51 212.67 1.37215928e+04 7.60168823e+02 
52 213.48 1.81636543e+04 1.26541968e+03 
53 214.29 2.44481777e+04 1.68115125e+03 
54 215.11 3.30450273e+04 2.24268921e+03 
55 215.92 4.44104063e+04 2.98030322e+03 
56 216.73 5.83915117e+04 4.22098633e+03 
57 217.54 7.57454609e+04 5.39444238e+03 
58 218.35 9.87722109e+04 8.61780469e+03 
59 219.17 1.29160977e+05 1.05697139e+04 
60 219.98 1.69407156e+05 1.48198242e+04 
61 220.79 2.26878000e+05 2.08422109e+04 
62 221.60 3.04932469e+05 2.79351172e+04 
63 222.42 4.16250406e+05 4.06446484e+04 
64 223.23 5.78815750e+05 5.58595820e+04 
65 224.04 8.12340813e+05 8.03586328e+04 
66 224.85 1.16010538e+06 1.24327828e+05 
67 225.67 1.68444050e+06 1.94577266e+05 
68 226.48 2.46501525e+06 2.79371156e+05 
69 227.29 3.65075125e+06 4.24444313e+05 
70 228.10 5.46560550e+06 6.58223500e+05 
71 228.91 8.25105250e+06 1.02888281e+06 
72 229.73 1.27892730e+07 1.67959963e+06 
73 230.54 1.96436900e+07 2.60968625e+06 
74 231.35 3.07792060e+07 4.28411900e+06 
75 232.16 4.87228040e+07 6.97297150e+06 
76 232.97 7.69445120e+07 1.18511790e+07 
77 233.79 1.23417432e+08 1.89791400e+07 
78 234.60 1.96598928e+08 3.09397900e+07 
79 235.41 3.16236000e+08 5.15384200e+07 
80 236.22 5.05791136e+08 8.58130240e+07 
81 237.04 8.13949696e+08 1.39557968e+08 
82 237.85 1.29686656e+09 2.31470800e+08 
83 238.66 2.06735040e+09 3.75672736e+08 
84 239.47 3.26491008e+09 6.34056384e+08 
85 240.28 5.09036493e+09 9.68811904e+08 
86 241.10 7.87697818e+09 1.53763533e+09 
87 241.91 1.20400804e+10 2.40485811e+09 
88 242.72 1.80095078e+10 3.66085427e+09 
89 243.53 2.67734733e+10 5.60680909e+09 
90 244.34 3.88483482e+10 7.96911053e+09 
91 245.16 5.54981007e+10 1.18092626e+10 
92 245.97 7.64386591e+10 1.65541038e+10 
93 246.78 1.03290929e+11 2.26480988e+10 
94 247.59 1.36766169e+11 3.08152381e+10 
95 248.40 1.76521413e+11 3.99064760e+10 
96 249.22 2.19362820e+11 5.05283830e+10 
97 250.03 2.64219673e+11 6.01331384e+10 
98 250.84 3.10716006e+11 7.15298243e+10 
99 251.65 3.53810252e+11 8.19152159e+10 
100 252.46 3.90961693e+11 9.06009395e+10 
101 253.27 4.18629911e+11 9.81167964e+10 
102 254.09 4.33990664e+11 1.02010446e+11 
103 254.90 4.32962044e+11 1.02187540e+11 
104 255.71 4.17255555e+11 9.85440010e+10 
105 256.52 3.83006179e+11 9.02432522e+10 
106 257.33 3.48641559e+11 8.11536794e+10 
107 258.15 3.10017655e+11 7.29690522e+10 
108 258.96 2.65591931e+11 6.14625690e+10 
109 259.77 2.17946063e+11 5.04451645e+10 
110 260.58 1.72577341e+11 3.88124221e+10 
111 261.39 1.33582709e+11 3.01104476e+10 
