% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblan2\Research\AirSHARP\data_2025\allstarmats\4STARB_20250509starsun.mat and recorded on 2025-07-31 14:18:50.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NRL_CEOBS_MBAYCAUSA within 200 m [Alt] and 360 seconds, measured on 20250509_2. Using the AERONET file: 250509_250509_NRL_CEOBS_MBAYCAUSA.lev15 as input for this comparison. Date of creation: 31-Jul-2025 14:18:50
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 2.65444125e+05 9.98904813e+05 
2 172.86 5.35073438e+05 1.20657600e+06 
3 173.67 4.08268156e+05 1.04605133e+05 
4 174.48 2.32505860e+07 6.42745938e+05 
5 175.29 1.59648440e+07 2.69995313e+05 
6 176.11 1.10028300e+07 1.62162922e+05 
7 176.92 7.56619400e+06 1.31602828e+05 
8 177.73 5.15358500e+06 5.98244180e+04 
9 178.54 3.71435050e+06 1.16359016e+05 
10 179.36 2.56068150e+06 4.92757969e+04 
11 180.17 1.80718288e+06 1.25824346e+04 
12 180.98 1.28927750e+06 2.39801992e+04 
13 181.79 9.40278500e+05 7.76672852e+03 
14 182.61 7.00829125e+05 9.76916602e+03 
15 183.42 5.30490375e+05 5.55741760e+02 
16 184.23 3.88107250e+05 1.34359355e+04 
17 185.04 2.94461156e+05 2.67007935e+03 
18 185.86 2.21776906e+05 4.67118066e+03 
19 186.67 1.66628000e+05 3.82257495e+03 
20 187.48 1.31435453e+05 8.13280518e+03 
21 188.29 1.04447914e+05 5.02841309e+02 
22 189.11 7.99962031e+04 4.00769348e+02 
23 189.92 6.31640703e+04 7.04747925e+02 
24 190.73 4.98417148e+04 3.38345062e+02 
25 191.54 3.98567891e+04 2.08668042e+03 
26 192.36 3.18062344e+04 2.12567062e+02 
27 193.17 2.53631563e+04 5.23174744e+02 
28 193.98 2.09769375e+04 2.62600403e+02 
