% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\AirSHARP\data_2025\allstarmats\4STARB_20250510starsun.mat and recorded on 2025-07-31 14:19:46.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NRL_CEOBS_MBAYCAUSA within 200 m [Alt] and 360 seconds, measured on 20250510_3. Using the AERONET file: 250510_250510_NRL_CEOBS_MBAYCAUSA.lev15 as input for this comparison. Date of creation: 31-Jul-2025 14:19:46
Pix Wavelength C0 C0err
511 946.05 3.29067063e+00 7.03506395e-02 
510 947.95 3.41685390e+00 6.66959658e-02 
509 949.84 3.58460879e+00 5.70121109e-02 
508 951.73 3.73862362e+00 6.27963021e-02 
507 953.62 3.89277482e+00 8.04088935e-02 
506 955.51 4.07194185e+00 7.33087510e-02 
505 957.40 4.30767298e+00 6.22248761e-02 
504 959.28 4.58498144e+00 6.72731325e-02 
503 961.16 4.91988182e+00 9.07018557e-02 
502 963.03 5.26212406e+00 7.95196518e-02 
501 964.90 5.67774057e+00 8.36958364e-02 
500 966.78 6.14240408e+00 8.78298283e-02 
499 968.64 6.67571402e+00 1.14324652e-01 
498 970.51 7.04429197e+00 1.07981980e-01 
497 972.37 7.17681551e+00 1.09133780e-01 
496 974.23 7.15965986e+00 1.26264498e-01 
495 976.09 7.26332664e+00 1.19879715e-01 
494 977.95 7.46053171e+00 1.22360714e-01 
493 979.80 7.76925468e+00 1.38793081e-01 
492 981.65 8.06236362e+00 1.41714036e-01 
491 983.50 8.36059475e+00 1.49511591e-01 
490 985.34 8.56695938e+00 1.64614707e-01 
489 987.18 8.74587536e+00 1.70258284e-01 
488 989.02 8.87934589e+00 1.52482152e-01 
487 990.86 8.99147320e+00 1.73197404e-01 
486 992.70 9.03861904e+00 1.73282608e-01 
485 994.53 9.11864471e+00 1.79254875e-01 
484 996.36 9.13175964e+00 1.82730928e-01 
483 998.19 9.19252682e+00 1.81265786e-01 
482 1000.01 9.18985367e+00 1.88100159e-01 
481 1001.83 9.18244934e+00 1.84965253e-01 
480 1003.65 9.15680313e+00 1.93288594e-01 
479 1005.47 9.22088814e+00 1.76734611e-01 
478 1007.29 9.27082348e+00 1.76190168e-01 
477 1009.10 9.40800762e+00 1.73961684e-01 
476 1010.91 9.47495270e+00 1.81661189e-01 
475 1012.72 9.51338673e+00 1.83530793e-01 
474 1014.53 9.50185490e+00 1.81369543e-01 
473 1016.33 9.49823666e+00 1.85416281e-01 
472 1018.13 9.45077896e+00 1.80938199e-01 
471 1019.93 9.44500542e+00 1.82784259e-01 
470 1021.73 9.38876534e+00 1.84540600e-01 
