% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\AirSHARP\data_2025\allstarmats\4STARB_20250518starsun.mat and recorded on 2025-06-03 12:25:42.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for Marina_Airport_CA within 200 m [Alt] and 360 seconds, measured on 20250518_1. Using the AERONET file: 250518_250518_Marina_Airport_CA.lev15 as input for this comparison. Date of creation: 03-Jun-2025 12:25:42
Pix Wavelength C0 C0err
511 946.05 3.58703041e+00 5.92894070e-02 
510 947.95 3.73382592e+00 5.63036613e-02 
509 949.84 3.92597342e+00 6.44548386e-02 
508 951.73 4.10779095e+00 6.66982681e-02 
507 953.62 4.28664970e+00 6.21768571e-02 
506 955.51 4.50034475e+00 6.84042573e-02 
505 957.40 4.74927425e+00 6.11055456e-02 
504 959.28 5.07113028e+00 6.03993833e-02 
503 961.16 5.44190264e+00 7.14965314e-02 
502 963.03 5.81355524e+00 7.06683174e-02 
501 964.90 6.26652765e+00 6.58758655e-02 
500 966.78 6.76167583e+00 6.68366700e-02 
499 968.64 7.32470942e+00 6.72048554e-02 
498 970.51 7.73704576e+00 6.15749881e-02 
497 972.37 7.86869955e+00 5.59035391e-02 
496 974.23 7.86902714e+00 5.55953085e-02 
495 976.09 7.97720480e+00 5.20535186e-02 
494 977.95 8.19831276e+00 5.43721430e-02 
493 979.80 8.53632736e+00 4.75391932e-02 
492 981.65 8.83739281e+00 4.87357751e-02 
491 983.50 9.18257236e+00 3.83094326e-02 
490 985.34 9.45182991e+00 3.78830619e-02 
489 987.18 9.65964699e+00 4.06704955e-02 
488 989.02 9.79791451e+00 4.54414785e-02 
487 990.86 9.88955021e+00 4.36791293e-02 
486 992.70 9.95511818e+00 4.17531393e-02 
485 994.53 1.00695810e+01 4.79809456e-02 
484 996.36 1.00966377e+01 4.22683880e-02 
483 998.19 1.01467667e+01 4.18428965e-02 
482 1000.01 1.01409492e+01 4.39827964e-02 
481 1001.83 1.00927687e+01 3.51140015e-02 
480 1003.65 1.00403357e+01 3.79291400e-02 
479 1005.47 1.00999298e+01 3.65213715e-02 
478 1007.29 1.01719036e+01 3.18699963e-02 
477 1009.10 1.03398352e+01 3.43755074e-02 
476 1010.91 1.04331951e+01 4.06734273e-02 
475 1012.72 1.04822454e+01 4.01251540e-02 
474 1014.53 1.04663210e+01 4.03411016e-02 
473 1016.33 1.04494982e+01 3.53927910e-02 
472 1018.13 1.04027901e+01 4.17062715e-02 
471 1019.93 1.03974237e+01 4.17967699e-02 
470 1021.73 1.03457413e+01 4.13365960e-02 
469 1023.52 1.03131161e+01 3.49876955e-02 
468 1025.31 1.02680750e+01 3.92791592e-02 
467 1027.10 1.02840300e+01 3.74739468e-02 
466 1028.89 1.02166405e+01 3.54352966e-02 
465 1030.67 1.01690807e+01 3.57449800e-02 
464 1032.45 1.00571480e+01 4.31253798e-02 
463 1034.23 9.97818470e+00 3.67316715e-02 
462 1036.01 9.87559986e+00 4.27017771e-02 
461 1037.79 9.84698009e+00 3.60701345e-02 
460 1039.56 9.78029442e+00 3.39077599e-02 
459 1041.33 9.74537468e+00 3.61962542e-02 
458 1043.10 9.64394283e+00 4.28952277e-02 
457 1044.87 9.57063580e+00 4.17826772e-02 
456 1046.63 9.49057293e+00 4.04453687e-02 
455 1048.39 9.47457123e+00 4.22023721e-02 
454 1050.15 9.46419239e+00 4.78345230e-02 
453 1051.91 9.45701504e+00 4.52669263e-02 
452 1053.67 9.43074989e+00 3.94011848e-02 
451 1055.42 9.40121460e+00 4.19592969e-02 
450 1057.17 9.32202911e+00 4.47178148e-02 
449 1058.92 9.29296875e+00 4.31166999e-02 
448 1060.67 9.24577332e+00 4.00795527e-02 
447 1062.41 9.21758175e+00 3.62019874e-02 
446 1064.15 9.13708305e+00 4.95012254e-02 
