% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblan2\Research\AirSHARP\data_2025\allstarmats\4STARB_20250519starsun.mat and recorded on 2025-06-03 12:26:40.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NRL_CEOBS_MBAYCAUSA within 200 m [Alt] and 360 seconds, measured on 20250519_2. Using the AERONET file: 250519_250519_NRL_CEOBS_MBAYCAUSA.lev15 as input for this comparison. Date of creation: 03-Jun-2025 12:26:40
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 8.64047313e+05 2.72590075e+06 
2 172.86 1.16661738e+06 2.45961700e+06 
3 173.67 -7.21413672e+04 1.48579588e+06 
4 174.48 5.56080840e+07 8.66163200e+06 
5 175.29 3.78898480e+07 5.11799150e+06 
6 176.11 2.56826980e+07 3.41691350e+06 
7 176.92 1.71007820e+07 2.41309950e+06 
8 177.73 1.16785040e+07 1.36811325e+06 
9 178.54 7.91662600e+06 1.03555169e+06 
10 179.36 5.64552600e+06 7.50615375e+05 
11 180.17 3.86045325e+06 4.88795063e+05 
12 180.98 2.75812975e+06 2.89752125e+05 
13 181.79 1.99284338e+06 2.81327500e+05 
14 182.61 1.44442400e+06 1.50300094e+05 
15 183.42 1.01915400e+06 1.18948133e+05 
16 184.23 7.64212250e+05 1.02816422e+05 
17 185.04 5.64296250e+05 7.04102578e+04 
18 185.86 4.21718719e+05 4.77902656e+04 
19 186.67 3.11520094e+05 3.07621152e+04 
20 187.48 2.41866922e+05 2.15370137e+04 
21 188.29 1.83738188e+05 1.27585869e+04 
22 189.11 1.41267453e+05 1.57862178e+04 
23 189.92 1.08842914e+05 9.30516113e+03 
24 190.73 8.71711484e+04 9.03367480e+03 
25 191.54 6.84881641e+04 6.69271973e+03 
26 192.36 5.35090820e+04 3.93292554e+03 
27 193.17 4.25839648e+04 3.26908838e+03 
28 193.98 3.45302773e+04 2.97072119e+03 
29 194.79 2.77317676e+04 2.62101538e+03 
30 195.61 2.22156855e+04 1.88551416e+03 
31 196.42 1.82041113e+04 1.70138977e+03 
32 197.23 1.50071826e+04 1.33792017e+03 
33 198.04 1.23293115e+04 1.14037195e+03 
34 198.86 9.95247363e+03 8.70106873e+02 
35 199.67 8.35114941e+03 8.18132263e+02 
36 200.48 6.90097510e+03 5.81671326e+02 
37 201.29 5.95080859e+03 4.96024902e+02 
38 202.11 4.98136719e+03 4.41014526e+02 
