% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from /data/sunsat/rooftop/Spring_2025/data_processed/allstarmats/4STARB_20250603starsun.mat and recorded on 2025-06-17 20:58:50.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20250603. Using the AERONET file: 250603_250603_NASA_Ames.lev15 as input for this comparison. Date of creation: 17-Jun-2025 20:58:50
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 1.12004797e+05 1.07280030e+07 
2 172.86 1.04672825e+06 5.56272150e+06 
3 173.67 -2.73944281e+05 3.91273725e+06 
4 174.48 7.82323200e+07 1.13657040e+08 
5 175.29 5.31768000e+07 7.59911280e+07 
6 176.11 3.48326880e+07 4.88329160e+07 
7 176.92 2.26807800e+07 3.09556940e+07 
8 177.73 1.50906040e+07 2.01151120e+07 
9 178.54 1.01404140e+07 1.32917780e+07 
10 179.36 6.85314950e+06 8.62826500e+06 
11 180.17 4.66907450e+06 5.75661650e+06 
12 180.98 3.26674550e+06 3.94146575e+06 
13 181.79 2.31763400e+06 2.74526200e+06 
14 182.61 1.64518100e+06 1.90465375e+06 
15 183.42 1.17738938e+06 1.33092950e+06 
16 184.23 8.48427938e+05 9.30026312e+05 
17 185.04 6.25888125e+05 6.71332000e+05 
18 185.86 4.63862344e+05 4.83240375e+05 
19 186.67 3.42476156e+05 3.51088281e+05 
20 187.48 2.57679859e+05 2.55140656e+05 
21 188.29 1.95375750e+05 1.88542516e+05 
22 189.11 1.49140141e+05 1.40992703e+05 
23 189.92 1.15860047e+05 1.09844070e+05 
24 190.73 8.82817500e+04 7.91197031e+04 
25 191.54 6.92506953e+04 6.12389141e+04 
26 192.36 5.42458555e+04 4.68998828e+04 
27 193.17 4.33651055e+04 3.65475703e+04 
28 193.98 3.42526211e+04 2.86848320e+04 
29 194.79 2.74786348e+04 2.23760840e+04 
30 195.61 2.20150156e+04 1.72694980e+04 
31 196.42 1.78216797e+04 1.36991143e+04 
32 197.23 1.46713770e+04 1.11827578e+04 
33 198.04 1.19395850e+04 8.82733984e+03 
34 198.86 9.66992188e+03 6.84246924e+03 
35 199.67 7.98203564e+03 5.48676709e+03 
36 200.48 6.77637549e+03 4.71603662e+03 
37 201.29 5.65721338e+03 3.80104956e+03 
38 202.11 4.72656006e+03 3.11819556e+03 
39 202.92 3.92966650e+03 2.48327563e+03 
40 203.73 3.32561963e+03 2.06207544e+03 
41 204.54 2.84362085e+03 1.71655603e+03 
42 205.36 2.40840112e+03 1.42891553e+03 
43 206.17 2.08704712e+03 1.22544604e+03 
44 206.98 1.79122266e+03 1.01266583e+03 
45 207.79 1.54885413e+03 8.67506531e+02 
46 208.61 1.36671216e+03 7.59475891e+02 
47 209.42 1.20078259e+03 6.47130371e+02 
48 210.23 1.08592810e+03 5.79762939e+02 
49 211.04 9.94694885e+02 5.08588043e+02 
50 211.86 9.62407593e+02 4.99260986e+02 
51 212.67 9.58056458e+02 5.05310669e+02 
52 213.48 9.79209717e+02 5.13249878e+02 
53 214.29 1.02220679e+03 5.41237854e+02 
54 215.11 1.06820496e+03 5.67050110e+02 
55 215.92 1.10692419e+03 5.99131531e+02 
56 216.73 1.14908142e+03 6.23442444e+02 
57 217.54 1.17050818e+03 6.31022522e+02 
58 218.35 1.20827808e+03 6.47435120e+02 
59 219.17 1.24994470e+03 6.83538147e+02 
60 219.98 1.31983472e+03 7.36383362e+02 
61 220.79 1.37446375e+03 7.57073242e+02 
62 221.60 1.47141345e+03 8.24319702e+02 
63 222.42 1.57750525e+03 8.88560242e+02 
64 223.23 1.74143518e+03 9.89895996e+02 
65 224.04 1.91785938e+03 1.11089514e+03 
66 224.85 2.16164453e+03 1.30093518e+03 
67 225.67 2.45042896e+03 1.46741443e+03 
68 226.48 2.82281836e+03 1.72769409e+03 
69 227.29 3.28799951e+03 2.09094995e+03 
70 228.10 3.81110229e+03 2.44620264e+03 
71 228.91 4.55267090e+03 3.02283960e+03 
72 229.73 5.44268848e+03 3.63061865e+03 
73 230.54 6.63642627e+03 4.64204541e+03 
74 231.35 8.18250098e+03 6.02042676e+03 
75 232.16 9.90845215e+03 7.27481641e+03 
76 232.97 1.22522031e+04 9.15277148e+03 
77 233.79 1.53858604e+04 1.19901494e+04 
