% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/rooftop/Spring_2025/data_processed/allstarmats/4STARB_20250606starsun.mat and recorded on 2025-06-17 21:04:13.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20250606. Using the AERONET file: 250606_250606_NASA_Ames.lev15 as input for this comparison. Date of creation: 17-Jun-2025 21:04:13
Pix Wavelength C0 C0err
511 946.05 2.60420990e+00 1.66454911e-01 
510 947.95 2.72863603e+00 1.64052084e-01 
509 949.84 2.90415740e+00 1.71625987e-01 
508 951.73 3.06399655e+00 1.75976112e-01 
507 953.62 3.23066473e+00 1.77010134e-01 
506 955.51 3.44986391e+00 1.73693031e-01 
505 957.40 3.69690824e+00 1.81325182e-01 
504 959.28 4.02354765e+00 1.66553855e-01 
503 961.16 4.39193726e+00 1.79730818e-01 
502 963.03 4.80079842e+00 1.65685937e-01 
501 964.90 5.27733803e+00 1.65781230e-01 
500 966.78 5.86639071e+00 1.63629860e-01 
499 968.64 6.50698948e+00 1.44628078e-01 
498 970.51 6.99294186e+00 1.39091909e-01 
497 972.37 7.14404631e+00 1.36522576e-01 
496 974.23 7.13341188e+00 1.31832883e-01 
495 976.09 7.23936415e+00 1.36626229e-01 
494 977.95 7.49846697e+00 1.34348184e-01 
493 979.80 7.91512966e+00 1.12257376e-01 
492 981.65 8.30399227e+00 9.05885026e-02 
491 983.50 8.71548939e+00 7.45363832e-02 
490 985.34 9.03895187e+00 5.83196692e-02 
489 987.18 9.31656837e+00 4.54730876e-02 
488 989.02 9.51012516e+00 3.63284126e-02 
487 990.86 9.65318203e+00 2.60560978e-02 
486 992.70 9.73724461e+00 3.02003995e-02 
485 994.53 9.84204769e+00 1.86281521e-02 
484 996.36 9.88022900e+00 1.83483344e-02 
483 998.19 9.95480251e+00 1.72881912e-02 
482 1000.01 9.96157932e+00 2.86877900e-02 
481 1001.83 9.95627689e+00 2.71281227e-02 
480 1003.65 9.90884304e+00 2.55546551e-02 
479 1005.47 9.97076225e+00 2.33623013e-02 
478 1007.29 1.00285883e+01 2.37179305e-02 
477 1009.10 1.01636724e+01 2.29493491e-02 
476 1010.91 1.02617273e+01 2.40698252e-02 
475 1012.72 1.03181505e+01 2.45849863e-02 
474 1014.53 1.03153582e+01 2.16677114e-02 
473 1016.33 1.03211775e+01 2.33222097e-02 
472 1018.13 1.02901449e+01 2.14567464e-02 
471 1019.93 1.02858820e+01 2.48434301e-02 
470 1021.73 1.02422085e+01 2.27829870e-02 
469 1023.52 1.02329912e+01 2.03090571e-02 
468 1025.31 1.01855764e+01 2.59905104e-02 
467 1027.10 1.01659346e+01 2.26179902e-02 
466 1028.89 1.00780497e+01 2.72979084e-02 
465 1030.67 1.00114250e+01 1.48420045e-02 
464 1032.45 9.90098381e+00 2.23796256e-02 
463 1034.23 9.83838844e+00 1.83083527e-02 
462 1036.01 9.74679661e+00 2.11981051e-02 
461 1037.79 9.71339607e+00 2.41644681e-02 
460 1039.56 9.64931107e+00 2.34357100e-02 
459 1041.33 9.61781311e+00 2.91062389e-02 
