% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2025-06-17 14:43:55.
% Langley at MLO outside 1.8x the STD of 501 nm Langley residuals were screened out. 
% Including only the good days at MLO
% Averages of c0 from multiple days including: , AirS-HA-RP, Mari-na- A, Mari-na- A, Mari-na- A, CEOB-S -AE, Mari-na- A, CEOB-S -AE, Mari-na- A, Mari-na- A, Mari-na- A, Mari-na- A, Mari-na- A, CEOB-S -AE, Ames--2-02, Ames- L-an. See the list of files below
% 20250422_NIR_C0_4STARB_refined_averaged_good_AirSHARP_2025.dat
% 20250505_1_NIR_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250505_2_NIR_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250506_1_NIR_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250509_2_NIR_C0_4STARB_AODmatch_toAERONET_fromNRL_CEOBS_MBAYCAUSA.dat
% 20250509_3_NIR_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250510_1_NIR_C0_4STARB_AODmatch_toAERONET_fromNRL_CEOBS_MBAYCAUSA.dat
% 20250514_1_NIR_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250515_1_NIR_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250518_1_NIR_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250518_2_NIR_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250519_1_NIR_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250519_2_NIR_C0_4STARB_AODmatch_toAERONET_fromNRL_CEOBS_MBAYCAUSA.dat
% 20250529_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250606_NIR_C0_4STARB_refined_ground_langley_am.dat
Pix Wavelength C0 C0err
511 946.05 3.55863276e+00 9.43579214e-01 
510 947.95 3.70666214e+00 9.58696541e-01 
509 949.84 3.90337161e+00 9.54440463e-01 
508 951.73 4.07991663e+00 9.66254741e-01 
507 953.62 4.26046556e+00 9.54856040e-01 
506 955.51 4.46788393e+00 9.50216941e-01 
505 957.40 4.71021861e+00 9.38701987e-01 
504 959.28 5.03114065e+00 9.38362210e-01 
503 961.16 5.40909878e+00 9.15641025e-01 
502 963.03 5.78315412e+00 9.29220309e-01 
501 964.90 6.24934882e+00 8.89468300e-01 
500 966.78 6.74448432e+00 8.97966053e-01 
499 968.64 7.31881172e+00 8.37283348e-01 
498 970.51 7.71299908e+00 8.51915052e-01 
497 972.37 7.86975817e+00 8.21149768e-01 
496 974.23 7.85652498e+00 8.44751526e-01 
495 976.09 7.98133113e+00 8.18726897e-01 
494 977.95 8.20464330e+00 8.36401721e-01 
493 979.80 8.53832807e+00 8.06255281e-01 
492 981.65 8.83338277e+00 7.90578465e-01 
491 983.50 9.16128440e+00 7.55939750e-01 
490 985.34 9.40093769e+00 7.57580598e-01 
489 987.18 9.60824928e+00 7.38564335e-01 
488 989.02 9.74184375e+00 7.36621925e-01 
487 990.86 9.84488929e+00 7.22113197e-01 
486 992.70 9.90557348e+00 7.37739641e-01 
485 994.53 1.00085269e+01 7.16703720e-01 
484 996.36 1.00348125e+01 7.32760962e-01 
483 998.19 1.00961175e+01 7.08493141e-01 
482 1000.01 1.00983206e+01 7.17171701e-01 
481 1001.83 1.00712886e+01 7.35008376e-01 
480 1003.65 1.00322871e+01 7.26198486e-01 
479 1005.47 1.00906653e+01 7.29009779e-01 
478 1007.29 1.01614745e+01 7.35266581e-01 
477 1009.10 1.03198526e+01 7.23693504e-01 
476 1010.91 1.03987807e+01 7.39519464e-01 
475 1012.72 1.04545107e+01 7.11568089e-01 
474 1014.53 1.04342365e+01 7.35289840e-01 
473 1016.33 1.04523388e+01 7.08152922e-01 
472 1018.13 1.03940652e+01 7.31099025e-01 
471 1019.93 1.04072434e+01 7.19822115e-01 
470 1021.73 1.03547654e+01 7.32441243e-01 
469 1023.52 1.03296927e+01 7.23270809e-01 
468 1025.31 1.02694702e+01 7.43403755e-01 
467 1027.10 1.02668088e+01 7.11694214e-01 
466 1028.89 1.01751298e+01 7.21426641e-01 
465 1030.67 1.01212597e+01 7.06741577e-01 
464 1032.45 1.00034217e+01 7.20137646e-01 
463 1034.23 9.94061559e+00 7.27399757e-01 
462 1036.01 9.85565755e+00 7.23124989e-01 
461 1037.79 9.82364036e+00 7.33224035e-01 
460 1039.56 9.76256838e+00 7.32702938e-01 
459 1041.33 9.72390667e+00 7.30597952e-01 
458 1043.10 9.61979643e+00 7.39434175e-01 
457 1044.87 9.55831026e+00 7.21201832e-01 
456 1046.63 9.46522816e+00 7.36656206e-01 
455 1048.39 9.45764924e+00 7.34873298e-01 
454 1050.15 9.43429311e+00 7.36695619e-01 
453 1051.91 9.42776202e+00 7.35074734e-01 
452 1053.67 9.39591215e+00 7.32960630e-01 
451 1055.42 9.36963304e+00 7.19327134e-01 
450 1057.17 9.28207919e+00 7.24858950e-01 
449 1058.92 9.24617446e+00 7.31445997e-01 
448 1060.67 9.21103629e+00 7.31517728e-01 
447 1062.41 9.18880305e+00 7.27283899e-01 
446 1064.15 9.10496375e+00 7.40273919e-01 
445 1065.89 8.98720660e+00 7.28638666e-01 
444 1067.63 8.81360868e+00 7.40618956e-01 
443 1069.37 8.71765547e+00 7.21097509e-01 
442 1071.10 8.61803648e+00 7.34373198e-01 
441 1072.83 8.56204471e+00 7.25197182e-01 
440 1074.56 8.47692375e+00 7.25745146e-01 
439 1076.29 8.40224653e+00 7.30739279e-01 
438 1078.02 8.30686746e+00 7.32072603e-01 
437 1079.74 8.21041873e+00 7.30113037e-01 
436 1081.46 8.08141141e+00 7.35270432e-01 
435 1083.18 8.00029743e+00 7.32742830e-01 
434 1084.90 7.91350765e+00 7.43531592e-01 
433 1086.61 7.91924749e+00 7.39143228e-01 
432 1088.33 7.92420177e+00 7.48761053e-01 
431 1090.04 7.95620762e+00 7.54292193e-01 
430 1091.75 7.86538703e+00 7.65202472e-01 
429 1093.45 7.77067069e+00 7.65931659e-01 
428 1095.16 7.66619472e+00 7.62095532e-01 
427 1096.86 7.59616468e+00 7.73811875e-01 
426 1098.56 7.52614852e+00 7.87664933e-01 
425 1100.26 7.44526456e+00 8.21115943e-01 
424 1101.96 7.35937566e+00 8.35300125e-01 
423 1103.65 7.30249072e+00 8.33979609e-01 
422 1105.35 7.21603370e+00 8.50942286e-01 
421 1107.04 7.13710056e+00 8.46414809e-01 
420 1108.73 6.93252943e+00 8.77771972e-01 
419 1110.41 6.59031216e+00 8.95236291e-01 
418 1112.10 5.98642882e+00 9.14245881e-01 
417 1113.78 5.14442782e+00 9.47180477e-01 
416 1115.46 4.34155796e+00 9.82327392e-01 
415 1117.14 3.72312865e+00 1.02025688e+00 
414 1118.82 3.33754220e+00 1.05636613e+00 
413 1120.50 3.17058160e+00 1.08815163e+00 
412 1122.17 3.13759718e+00 1.16352575e+00 
411 1123.84 3.13732059e+00 1.16864164e+00 
410 1125.51 3.18106351e+00 1.22803656e+00 
409 1127.18 3.38859996e+00 1.22801057e+00 
408 1128.85 3.96911529e+00 1.18920292e+00 
407 1130.51 4.19928466e+00 1.16551840e+00 
406 1132.17 3.98857577e+00 1.16165565e+00 
405 1133.83 3.92043840e+00 1.17974670e+00 
404 1135.49 4.35893375e+00 1.17508550e+00 
403 1137.15 5.32136380e+00 1.13124532e+00 
402 1138.80 5.86274505e+00 1.10398725e+00 
401 1140.46 5.77401936e+00 1.09806258e+00 
400 1142.11 5.10101908e+00 1.10839601e+00 
399 1143.76 4.48505806e+00 1.13674735e+00 
398 1145.41 4.20445770e+00 1.14585958e+00 
397 1147.05 4.46491875e+00 1.15646618e+00 
396 1148.70 5.31100074e+00 1.17572537e+00 
395 1150.34 6.27081281e+00 1.24108287e+00 
394 1151.98 7.25838212e+00 1.35801605e+00 
393 1153.62 8.60857676e+00 1.43796929e+00 
392 1155.26 9.78776505e+00 1.49962451e+00 
391 1156.89 1.05532902e+01 1.44015117e+00 
390 1158.53 1.10012246e+01 1.42259742e+00 
389 1160.16 1.20807160e+01 1.47963088e+00 
388 1161.79 1.34610235e+01 1.70454034e+00 
387 1163.42 1.44500074e+01 1.81689854e+00 
386 1165.04 1.42813768e+01 1.72841807e+00 
385 1166.67 1.35806230e+01 1.52583056e+00 
384 1168.29 1.31050567e+01 1.36712606e+00 
383 1169.91 1.26646643e+01 1.22361523e+00 
382 1171.53 1.18919494e+01 1.13241645e+00 
381 1173.15 1.13214808e+01 1.02559161e+00 
380 1174.77 1.07184528e+01 9.50479366e-01 
379 1176.38 1.04603958e+01 9.02698514e-01 
378 1178.00 1.01747776e+01 8.68827288e-01 
377 1179.61 9.72099857e+00 8.54289762e-01 
376 1181.22 9.37883474e+00 8.49680563e-01 
375 1182.83 9.16845338e+00 8.30646707e-01 
374 1184.43 9.07010898e+00 8.26705705e-01 
373 1186.04 9.06596121e+00 8.20114300e-01 
372 1187.64 9.13757611e+00 8.12946666e-01 
371 1189.24 9.15587473e+00 7.94900666e-01 
370 1190.84 9.21047657e+00 7.81925859e-01 
369 1192.44 9.11975683e+00 7.70082708e-01 
368 1194.04 8.88591881e+00 7.58186357e-01 
367 1195.64 8.56877713e+00 7.59951442e-01 
366 1197.23 8.31445243e+00 7.75782223e-01 
365 1198.82 8.17820321e+00 7.76897174e-01 
364 1200.41 7.98034912e+00 7.78639595e-01 
363 1202.00 8.00043052e+00 7.79678289e-01 
362 1203.59 8.01267701e+00 7.79780677e-01 
361 1205.17 7.98305607e+00 7.75705292e-01 
360 1206.76 8.03740807e+00 7.71465338e-01 
359 1208.34 7.94665673e+00 7.73523138e-01 
