% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2025-06-17 14:43:55.
% Langley at MLO outside 1.8x the STD of 501 nm Langley residuals were screened out. 
% Including only the good days at MLO
% Averages of c0 from multiple days including: , AirS-HA-RP, Mari-na- A, Mari-na- A, Mari-na- A, CEOB-S -AE, Mari-na- A, CEOB-S -AE, Mari-na- A, Mari-na- A, Mari-na- A, Mari-na- A, Mari-na- A, CEOB-S -AE, Ames--2-02, Ames- L-an. See the list of files below
% 20250422_VIS_C0_4STARB_refined_averaged_good_AirSHARP_2025.dat
% 20250505_1_VIS_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250505_2_VIS_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250506_1_VIS_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250509_2_VIS_C0_4STARB_AODmatch_toAERONET_fromNRL_CEOBS_MBAYCAUSA.dat
% 20250509_3_VIS_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250510_1_VIS_C0_4STARB_AODmatch_toAERONET_fromNRL_CEOBS_MBAYCAUSA.dat
% 20250514_1_VIS_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250515_1_VIS_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250518_1_VIS_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250518_2_VIS_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250519_1_VIS_C0_4STARB_AODmatch_toAERONET_fromMarina_Airport_CA.dat
% 20250519_2_VIS_C0_4STARB_AODmatch_toAERONET_fromNRL_CEOBS_MBAYCAUSA.dat
% 20250529_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% 20250606_VIS_C0_4STARB_refined_ground_langley_am.dat
Pix Wavelength C0 C0err
0 171.23 -8.33333333e-02 2.61634059e-01 
1 172.04 4.41253907e+10 1.70789520e+11 
2 172.86 2.41288206e+10 9.35467252e+10 
3 173.67 1.32162256e+10 5.10716735e+10 
4 174.48 1.03807797e+10 3.44676499e+10 
5 175.29 5.92296781e+09 1.97042184e+10 
6 176.11 3.38840453e+09 1.13729593e+10 
7 176.92 1.96140711e+09 6.64168844e+09 
8 177.73 1.15677865e+09 3.94592491e+09 
9 178.54 6.93518854e+08 2.37900944e+09 
10 179.36 4.24202877e+08 1.46133221e+09 
11 180.17 2.60855554e+08 9.03824732e+08 
12 180.98 1.63968665e+08 5.69497207e+08 
13 181.79 1.04754002e+08 3.64571732e+08 
14 182.61 6.77525709e+07 2.36720696e+08 
15 183.42 4.43456726e+07 1.55250043e+08 
16 184.23 2.93510655e+07 1.02802022e+08 
17 185.04 1.96557412e+07 6.89506331e+07 
18 185.86 1.32814777e+07 4.65976802e+07 
19 186.67 9.16316534e+06 3.20949033e+07 
20 187.48 6.33791895e+06 2.21933864e+07 
21 188.29 4.44412648e+06 1.55383984e+07 
22 189.11 3.14319415e+06 1.09812140e+07 
23 189.92 2.25583834e+06 7.85908442e+06 
24 190.73 1.63061582e+06 5.66510466e+06 
25 191.54 1.17166503e+06 4.06431834e+06 
26 192.36 8.67748899e+05 3.00016489e+06 
27 193.17 6.41423188e+05 2.21152653e+06 
28 193.98 4.82474271e+05 1.65966866e+06 
29 194.79 3.63811558e+05 1.24680750e+06 
30 195.61 2.75776759e+05 9.41627594e+05 
31 196.42 2.10388591e+05 7.14245726e+05 
32 197.23 1.63314516e+05 5.52469805e+05 
33 198.04 1.25618401e+05 4.22839263e+05 
34 198.86 9.84539166e+04 3.29770968e+05 
35 199.67 7.71066428e+04 2.56651147e+05 
36 200.48 6.12576895e+04 2.03087595e+05 
37 201.29 4.88982263e+04 1.61224374e+05 
38 202.11 3.89457944e+04 1.27581839e+05 
39 202.92 3.15093090e+04 1.02737237e+05 
