% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from rooftopOct2017 and recorded on 2018-10-10 15:58:04.
% Based on the mean of c0s from 20171024, 1025, 1026, 1101, and 1107.  C0err=2*stdev the variability within these 5 langleys.
Pix Wavelength C0 C0err
511 946.05 7.18777275e+00 2.03288174e+00 
510 947.95 7.46087217e+00 2.18661237e+00 
509 949.84 7.77369976e+00 2.03117514e+00 
508 951.73 8.02029896e+00 2.04461455e+00 
507 953.62 8.22895908e+00 1.96853888e+00 
506 955.51 8.49120140e+00 1.92210746e+00 
505 957.40 8.80559444e+00 1.73017049e+00 
504 959.28 9.27326584e+00 1.71195567e+00 
503 961.16 9.85520363e+00 1.73974323e+00 
502 963.03 1.04015722e+01 1.44854975e+00 
501 964.90 1.12032499e+01 1.56337833e+00 
500 966.78 1.18254490e+01 1.11414349e+00 
499 968.64 1.28136654e+01 1.06182718e+00 
498 970.51 1.32914438e+01 6.91213965e-01 
497 972.37 1.36384363e+01 7.46151149e-01 
496 974.23 1.34409437e+01 7.11999893e-01 
495 976.09 1.36929770e+01 8.81698251e-01 
494 977.95 1.37976465e+01 6.97246015e-01 
493 979.80 1.42733917e+01 5.57806015e-01 
492 981.65 1.46315641e+01 4.54013437e-01 
491 983.50 1.51301489e+01 3.22804958e-01 
490 985.34 1.53073139e+01 2.58310646e-01 
489 987.18 1.55868149e+01 2.43898034e-01 
488 989.02 1.56847191e+01 2.55507648e-01 
487 990.86 1.58912592e+01 2.67456204e-01 
486 992.70 1.57746429e+01 3.41725856e-01 
485 994.53 1.60199146e+01 2.80680299e-01 
484 996.36 1.58501434e+01 3.47575724e-01 
483 998.19 1.60259171e+01 2.65182346e-01 
482 1000.01 1.59670868e+01 2.30078086e-01 
481 1001.83 1.58085051e+01 3.32995862e-01 
480 1003.65 1.58497458e+01 2.12931588e-01 
479 1005.47 1.58273067e+01 2.89831936e-01 
478 1007.29 1.58420963e+01 2.78073102e-01 
477 1009.10 1.60473309e+01 2.78398722e-01 
476 1010.91 1.60111599e+01 3.43023658e-01 
475 1012.72 1.62129421e+01 2.55207062e-01 
