% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from MLOJune2016 and recorded on 2016-08-10 13:45:22.
% Based on mean of c0s from 20160630, 20160702 (AM+PM), 20160703, 20160704, 20160705.  C0err=2*stdev the variability within these 6 langleys.
Pix Wavelength C0 C0err
511 949.79 4.13201666e+00 1.59768378e+00 
510 949.79 4.79374174e+00 7.39571504e-01 
509 951.68 5.19243849e+00 7.50625319e-01 
508 953.57 5.26082373e+00 7.20173818e-01 
507 955.46 5.73160578e+00 7.44195651e-01 
506 957.34 5.85519676e+00 7.37992980e-01 
505 959.22 6.39124087e+00 7.33655642e-01 
504 961.10 6.54472350e+00 6.73425142e-01 
503 962.98 7.06899054e+00 6.45606799e-01 
502 964.85 7.14037442e+00 5.51338071e-01 
501 966.72 7.75072810e+00 4.70942741e-01 
500 968.59 7.85972366e+00 3.68710797e-01 
499 970.45 8.29977659e+00 3.39624655e-01 
498 972.32 8.20736077e+00 3.53907230e-01 
497 974.18 8.54194230e+00 3.96067826e-01 
496 976.04 8.46023555e+00 3.53064748e-01 
495 977.89 8.84129776e+00 3.16182429e-01 
494 979.74 8.78660602e+00 2.42569426e-01 
493 981.59 9.11223134e+00 2.12426440e-01 
492 983.44 9.03520691e+00 1.26123493e-01 
491 985.29 9.31191968e+00 1.12138847e-01 
490 987.13 9.14379862e+00 7.68244222e-02 
489 988.97 9.40163935e+00 8.14312149e-02 
488 990.81 9.20019992e+00 8.18474819e-02 
487 992.65 9.38202710e+00 7.48048535e-02 
486 994.48 9.16464537e+00 5.62991066e-02 
485 996.31 9.33337018e+00 7.31331829e-02 
484 998.14 9.08219623e+00 7.21587556e-02 
483 999.97 9.24723165e+00 8.52320841e-02 
482 1001.79 8.97638559e+00 9.83105757e-02 
481 1003.62 9.07144321e+00 1.12296511e-01 
480 1005.44 8.84505337e+00 1.30782801e-01 
479 1007.25 9.10576266e+00 1.36881052e-01 
478 1009.07 8.87343958e+00 1.33273585e-01 
477 1010.88 9.03734477e+00 1.37398960e-01 
476 1012.69 8.75525603e+00 9.73712065e-02 
475 1014.50 8.88720917e+00 1.15808039e-01 
474 1016.31 8.65001414e+00 1.02370503e-01 
473 1018.11 8.81611766e+00 1.06100684e-01 
472 1019.91 8.57144414e+00 9.91377911e-02 
471 1021.71 8.74383852e+00 1.04879539e-01 
470 1023.51 8.49798644e+00 9.79471707e-02 
469 1025.30 8.66815350e+00 9.01333262e-02 
468 1027.09 8.53169868e+00 7.20308216e-02 
467 1028.88 8.67802317e+00 6.90503734e-02 
466 1030.67 8.49139583e+00 4.06117122e-02 
465 1032.46 8.67285541e+00 5.17987801e-02 
464 1034.24 8.51399867e+00 6.21188054e-02 
463 1036.02 8.73304478e+00 6.63616632e-02 
462 1037.80 8.59710810e+00 9.22789328e-02 
461 1039.58 8.82387026e+00 8.69230198e-02 
460 1041.35 8.65439087e+00 1.10665114e-01 
459 1043.12 8.82746122e+00 1.07204208e-01 
458 1044.89 8.73887100e+00 1.11198831e-01 
457 1046.66 8.98560955e+00 1.13728537e-01 
456 1048.43 8.93025760e+00 1.07041884e-01 
455 1050.19 9.18272783e+00 1.25947784e-01 
454 1051.95 9.02304634e+00 1.15265521e-01 
453 1053.71 9.26894467e+00 1.13868527e-01 
452 1055.47 9.09584965e+00 9.47318217e-02 
451 1057.23 9.24012255e+00 9.38530809e-02 
450 1058.98 9.07425426e+00 7.59646764e-02 
449 1060.73 9.27050206e+00 9.25509176e-02 
448 1062.48 9.06119000e+00 9.56495857e-02 
447 1064.23 9.22261973e+00 1.08430162e-01 
446 1065.97 8.93763364e+00 1.23502409e-01 
445 1067.71 8.99589749e+00 1.15949942e-01 
444 1069.46 8.77015959e+00 8.51063620e-02 
443 1071.19 8.87435575e+00 6.38046020e-02 
442 1072.93 8.67687744e+00 3.44611172e-02 
441 1074.67 8.76153753e+00 5.77167206e-02 
440 1076.40 8.55089109e+00 7.23258072e-02 
439 1078.13 8.61381864e+00 9.63832166e-02 
438 1079.86 8.37041221e+00 9.67016513e-02 
437 1081.58 8.44344534e+00 1.19623952e-01 
436 1083.31 8.29570107e+00 1.47026772e-01 
435 1085.03 8.45780839e+00 1.47866820e-01 
434 1086.75 8.38816044e+00 1.47319634e-01 
433 1088.47 8.56087561e+00 1.37369360e-01 
432 1090.19 8.44107462e+00 1.46145149e-01 
431 1091.90 8.55811581e+00 1.76290411e-01 
430 1093.61 8.42582749e+00 2.13576105e-01 
429 1095.33 8.64324550e+00 2.55588481e-01 
428 1097.03 8.64136790e+00 3.39956353e-01 
427 1098.74 8.87258559e+00 4.03375871e-01 
426 1100.45 8.82755609e+00 4.49910184e-01 
425 1102.15 9.07470730e+00 4.86410366e-01 
424 1103.85 9.00689624e+00 5.13840018e-01 
423 1105.55 9.17393978e+00 5.62966891e-01 
422 1107.25 8.99950868e+00 5.87185471e-01 
421 1108.94 9.03656946e+00 6.56352628e-01 
420 1110.64 8.62886571e+00 7.89807299e-01 
419 1112.33 8.32708010e+00 1.03532352e+00 
418 1114.02 7.58075305e+00 1.29912843e+00 
417 1115.70 7.31063397e+00 1.49337372e+00 
416 1117.39 6.91898244e+00 1.58579345e+00 
415 1119.07 6.77362225e+00 1.67604132e+00 
414 1120.76 6.57235401e+00 1.66241320e+00 
413 1122.44 6.51405785e+00 1.70160010e+00 
412 1124.12 6.47546166e+00 1.74761861e+00 
411 1125.79 6.77902837e+00 1.84111753e+00 
410 1127.47 7.02722074e+00 1.82058888e+00 
409 1129.14 7.54085972e+00 1.71588824e+00 
408 1130.81 6.95487229e+00 1.65790138e+00 
407 1132.48 6.71430471e+00 1.61887804e+00 
406 1134.15 6.61574302e+00 1.56640421e+00 
405 1135.81 7.19832879e+00 1.41228170e+00 
404 1137.48 8.09667698e+00 1.27101407e+00 
403 1139.14 8.49186682e+00 1.23018867e+00 
402 1140.80 8.08010325e+00 1.31188995e+00 
401 1142.46 7.80098109e+00 1.52327771e+00 
400 1144.12 7.32352213e+00 1.62334882e+00 
399 1145.77 7.26225765e+00 1.68136852e+00 
398 1147.43 7.32946117e+00 1.56159614e+00 
397 1149.08 7.71860825e+00 1.38856692e+00 
396 1150.73 7.76160403e+00 1.32553529e+00 
395 1152.38 8.15613304e+00 1.21920523e+00 
394 1154.02 8.24448622e+00 1.10219632e+00 
393 1155.67 8.63914618e+00 9.61762406e-01 
392 1157.31 8.64061121e+00 8.33877751e-01 
391 1158.95 8.86805230e+00 7.45743968e-01 
390 1160.59 8.93336111e+00 6.51751463e-01 
389 1162.23 9.20013381e+00 6.12282442e-01 
388 1163.87 9.16562379e+00 5.50259454e-01 
387 1165.50 9.28636384e+00 5.28498795e-01 
386 1167.13 9.21163054e+00 4.65257597e-01 
385 1168.76 9.36028043e+00 3.92864306e-01 
384 1170.39 9.17462711e+00 4.29630606e-01 
383 1172.02 9.15853405e+00 4.16985111e-01 
382 1173.65 8.95780692e+00 4.12894622e-01 
381 1175.27 8.94284244e+00 3.94226193e-01 
380 1176.90 8.82778506e+00 3.28280232e-01 
379 1178.52 8.72786744e+00 3.61546348e-01 
378 1180.14 8.50312898e+00 3.79971085e-01 
377 1181.75 8.49167467e+00 3.96729596e-01 
376 1183.37 8.33952514e+00 3.80322696e-01 
375 1184.99 8.37378695e+00 3.65670177e-01 
374 1186.60 8.27520387e+00 3.50427166e-01 
373 1188.21 8.28011659e+00 3.31470074e-01 
372 1189.82 8.24668801e+00 2.78757764e-01 
371 1191.43 8.48821934e+00 2.44684868e-01 
370 1193.04 8.39054533e+00 2.25941639e-01 
369 1194.64 8.35660005e+00 2.52370611e-01 
368 1196.24 8.13377165e+00 2.79852023e-01 
367 1197.85 8.17910901e+00 2.98456737e-01 
366 1199.45 8.02963577e+00 3.23390114e-01 
365 1201.05 8.11658495e+00 3.39699140e-01 
364 1202.64 8.06848562e+00 3.20467025e-01 
363 1204.24 8.14692887e+00 3.29006125e-01 
362 1205.83 8.12048272e+00 3.16818583e-01 
361 1207.43 8.13699419e+00 2.96827613e-01 
360 1209.02 8.07700631e+00 2.73080098e-01 
359 1210.61 8.19244067e+00 2.38553342e-01 
358 1212.19 8.16286581e+00 2.06208823e-01 
357 1213.78 8.32017341e+00 1.63047546e-01 
356 1215.37 8.26038255e+00 1.56213513e-01 
355 1216.95 8.35398798e+00 1.38293878e-01 
354 1218.53 8.29427353e+00 1.41195685e-01 
353 1220.11 8.35371929e+00 1.41841335e-01 
352 1221.69 8.31740620e+00 1.26355695e-01 
351 1223.27 8.37970141e+00 1.20841479e-01 
350 1224.84 8.37752779e+00 9.08896761e-02 
349 1226.42 8.45808431e+00 9.10804628e-02 
348 1227.99 8.44265921e+00 7.05132210e-02 
347 1229.56 8.56112255e+00 6.01800907e-02 
346 1231.13 8.45603544e+00 3.86448026e-02 
345 1232.70 8.52088410e+00 3.57009811e-02 
344 1234.27 8.49712675e+00 3.49327312e-02 
343 1235.84 8.52369926e+00 3.64553784e-02 
342 1237.40 8.46738293e+00 5.05997831e-02 
341 1238.96 8.48878742e+00 7.84232770e-02 
340 1240.52 8.33678847e+00 7.57416199e-02 
339 1242.08 8.43437115e+00 7.33095370e-02 
338 1243.64 8.37494542e+00 5.85928004e-02 
337 1245.20 8.41709976e+00 3.96178043e-02 
336 1246.75 8.38204464e+00 5.20478351e-02 
