% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from MLONov2016 and recorded on 2017-01-23 19:05:54.
% Based on mean of the c0s from 20161115AM, 20161115PM, and 20161117, which was after the weirdness started on the 14th, and excludes the 16th, where both AM and PM had VIS issues.  C0err=2*stdev the variability within these 3 langleys.
Pix Wavelength C0 C0err
511 949.79 5.14884944e+00 4.14389274e-01 
510 949.79 5.34463642e+00 3.31337964e-01 
509 951.68 5.73556658e+00 3.24174956e-01 
508 953.57 5.81142845e+00 3.12642501e-01 
507 955.46 6.29183800e+00 3.33959767e-01 
506 957.34 6.40243360e+00 3.25516508e-01 
505 959.22 6.90168917e+00 3.16358106e-01 
504 961.10 7.01247871e+00 2.97706919e-01 
503 962.98 7.46226095e+00 2.92621506e-01 
502 964.85 7.47827112e+00 2.48302177e-01 
501 966.72 8.00027070e+00 2.30525160e-01 
500 968.59 8.04079596e+00 1.90799961e-01 
499 970.45 8.42769955e+00 1.72613623e-01 
498 972.32 8.38426619e+00 1.83582174e-01 
497 974.18 8.70803212e+00 2.12712220e-01 
496 976.04 8.61948385e+00 2.19781515e-01 
495 977.89 8.96987910e+00 2.00429871e-01 
494 979.74 8.88461936e+00 1.59437863e-01 
493 981.59 9.18695111e+00 1.36641648e-01 
492 983.44 9.08181645e+00 1.08980711e-01 
491 985.29 9.33473810e+00 1.03257536e-01 
490 987.13 9.14165795e+00 9.83541381e-02 
489 988.97 9.39836923e+00 1.15471695e-01 
488 990.81 9.19849999e+00 1.07422979e-01 
487 992.65 9.38177657e+00 1.15764004e-01 
486 994.48 9.19453662e+00 1.14974994e-01 
485 996.31 9.31921397e+00 1.13951932e-01 
484 998.14 9.07798794e+00 9.87012983e-02 
483 999.97 9.23804549e+00 1.17660448e-01 
482 1001.79 8.94875768e+00 1.28866133e-01 
481 1003.62 9.03452654e+00 1.52521642e-01 
480 1005.44 8.80949524e+00 1.61937862e-01 
479 1007.25 9.05016016e+00 1.61768612e-01 
478 1009.07 8.83103184e+00 1.61270609e-01 
477 1010.88 8.98280737e+00 1.65249940e-01 
476 1012.69 8.71285387e+00 1.44970341e-01 
475 1014.50 8.82374807e+00 1.30296125e-01 
474 1016.31 8.60807474e+00 1.18663915e-01 
473 1018.11 8.75360286e+00 1.31108491e-01 
472 1019.91 8.51147240e+00 1.28614617e-01 
471 1021.71 8.66105196e+00 1.19880779e-01 
470 1023.51 8.43712918e+00 1.13529157e-01 
469 1025.30 8.60700679e+00 9.32608319e-02 
468 1027.09 8.50353124e+00 6.31038942e-02 
467 1028.88 8.64794946e+00 7.02068682e-02 
466 1030.67 8.49938855e+00 5.82374464e-02 
465 1032.46 8.67654613e+00 5.59041363e-02 
464 1034.24 8.52920273e+00 7.25431661e-02 
463 1036.02 8.73210441e+00 6.56742844e-02 
462 1037.80 8.61326352e+00 8.08251589e-02 
461 1039.58 8.82625003e+00 5.58881770e-02 
460 1041.35 8.67015397e+00 6.37557380e-02 
459 1043.12 8.82964592e+00 6.49243275e-02 
458 1044.89 8.74382656e+00 8.56373727e-02 
457 1046.66 8.96226945e+00 9.23103415e-02 
456 1048.43 8.89741310e+00 1.22612505e-01 
455 1050.19 9.12235593e+00 1.42214338e-01 
454 1051.95 8.97613753e+00 1.44814576e-01 
453 1053.71 9.21898091e+00 1.34158067e-01 
452 1055.47 9.05438232e+00 1.00957751e-01 
