Alt(km)    P(hPa)      T(K)    Density (molec/m3)
  0.0   1.01300e+003   294.2   2.49390e+025
  1.0   9.02000e+002   289.7   2.25513e+025
  2.0   8.02000e+002   285.2   2.03675e+025
  3.0   7.10000e+002   279.2   1.84186e+025
  4.0   6.28000e+002   273.2   1.66491e+025
  5.0   5.54000e+002   267.2   1.50171e+025
  6.0   4.87000e+002   261.2   1.35042e+025
  7.0   4.26000e+002   254.7   1.21142e+025
  8.0   3.72000e+002   248.2   1.08556e+025
  9.0   3.24000e+002   241.7   9.70915e+024
 10.0   2.81000e+002   235.3   8.64962e+024
 11.0   2.43000e+002   228.8   7.69242e+024
 12.0   2.09000e+002   222.3   6.80957e+024
 13.0   1.79000e+002   215.8   6.00778e+024
 14.0   1.53000e+002   215.7   5.13752e+024
 15.0   1.30000e+002   215.7   4.36522e+024
 16.0   1.11000e+002   215.7   3.72722e+024
 17.0   9.50000e+001   215.7   3.18997e+024
 18.0   8.12000e+001   216.8   2.71275e+024
 19.0   6.95000e+001   217.9   2.31015e+024
 20.0   5.95000e+001   219.2   1.96603e+024
 21.0   5.10000e+001   220.4   1.67599e+024
 22.0   4.37000e+001   221.6   1.42832e+024
 23.0   3.76000e+001   222.8   1.22232e+024
 24.0   3.22000e+001   223.9   1.04163e+024
 25.0   2.77000e+001   225.1   8.91286e+023
 27.5   1.90700e+001   228.4   6.04606e+023
 30.0   1.32000e+001   233.7   4.09098e+023
 32.5   9.30000e+000   239.0   2.81837e+023
 35.0   6.52000e+000   245.2   1.92593e+023
 37.5   4.64000e+000   251.3   1.33733e+023
 40.0   3.33000e+000   257.5   9.36655e+022
 42.5   2.41000e+000   263.7   6.61941e+022
 45.0   1.76000e+000   269.9   4.72305e+022
 47.5   1.29000e+000   275.2   3.39511e+022
 50.0   9.51000e-001   275.7   2.49837e+022
 55.0   5.15000e-001   269.3   1.38511e+022
 60.0   2.72000e-001   257.1   7.66266e+021
 65.0   1.39000e-001   240.1   4.19310e+021
 70.0   6.70000e-002   218.1   2.22501e+021
 75.0   3.00000e-002   196.1   1.10804e+021
 80.0   1.20000e-002   174.1   4.99224e+020
 85.0   4.48000e-003   165.1   1.96537e+020
 90.0   1.64000e-003   165.0   7.19901e+019
 95.0   6.25000e-004   178.3   2.53887e+019
100.0   2.58000e-004   190.5   9.80929e+018
105.0   1.17000e-004   222.2   3.81377e+018
110.0   6.11000e-005   262.4   1.68651e+018
115.0   3.56000e-005   316.8   8.13912e+017
120.0   2.27000e-005   380.0   4.32668e+017
