Alt(km)    P(hPa)      T(K)    Density (molec/m3)
  0.0   1.01000e+003   287.2   2.54712e+025
  1.0   8.96000e+002   281.7   2.30374e+025
  2.0   7.92900e+002   276.3   2.07850e+025
  3.0   7.00000e+002   270.9   1.87155e+025
  4.0   6.16000e+002   265.5   1.68046e+025
  5.0   5.41000e+002   260.1   1.50650e+025
  6.0   4.74000e+002   253.1   1.35643e+025
  7.0   4.13000e+002   246.1   1.21549e+025
  8.0   3.59000e+002   239.2   1.08704e+025
  9.0   3.10800e+002   232.2   9.69463e+024
 10.0   2.67700e+002   225.2   8.60979e+024
 11.0   2.30000e+002   225.2   7.39728e+024
 12.0   1.97700e+002   225.2   6.35844e+024
 13.0   1.70000e+002   225.2   5.46756e+024
 14.0   1.46000e+002   225.2   4.69566e+024
 15.0   1.26000e+002   225.2   4.05242e+024
 16.0   1.08000e+002   225.2   3.47351e+024
 17.0   9.28000e+001   225.2   2.98464e+024
 18.0   7.98000e+001   225.2   2.56653e+024
 19.0   6.86000e+001   225.2   2.20632e+024
 20.0   5.90000e+001   225.2   1.89756e+024
 21.0   5.07000e+001   225.2   1.63062e+024
 22.0   4.36000e+001   225.2   1.40227e+024
 23.0   3.75000e+001   225.2   1.20608e+024
 24.0   3.22800e+001   226.6   1.03178e+024
 25.0   2.78000e+001   228.1   8.82739e+023
 27.5   1.92300e+001   231.0   6.02948e+023
 30.0   1.34000e+001   235.1   4.12824e+023
 32.5   9.40000e+000   240.0   2.83680e+023
 35.0   6.61000e+000   247.2   1.93671e+023
 37.5   4.72000e+000   254.6   1.34275e+023
 40.0   3.40000e+000   262.1   9.39560e+022
 42.5   2.48000e+000   269.5   6.66508e+022
 45.0   1.82000e+000   273.6   4.81801e+022
 47.5   1.34000e+000   276.2   3.51394e+022
 50.0   9.87000e-001   277.2   2.57891e+022
 55.0   5.37000e-001   274.0   1.41950e+022
 60.0   2.88000e-001   262.7   7.94045e+021
 65.0   1.47000e-001   239.7   4.44183e+021
 70.0   7.10000e-002   216.6   2.37417e+021
 75.0   3.20000e-002   193.6   1.19717e+021
 80.0   1.25000e-002   170.6   5.30693e+020
 85.0   4.51000e-003   161.7   2.02013e+020
 90.0   1.61000e-003   161.6   7.21601e+019
 95.0   6.06000e-004   176.8   2.48258e+019
100.0   2.48000e-004   190.4   9.43403e+018
105.0   1.13000e-004   226.0   3.62145e+018
110.0   6.00000e-005   270.1   1.60894e+018
115.0   3.54000e-005   322.7   7.94542e+017
120.0   2.26000e-005   380.0   4.30762e+017
