Alt(km)    P(hPa)      T(K)    Density (molec/m3)
  0.0   1.01300e+003   257.2   2.85267e+025
  1.0   8.87800e+002   259.1   2.48176e+025
  2.0   7.77500e+002   255.9   2.20061e+025
  3.0   6.79800e+002   252.7   1.94845e+025
  4.0   5.93200e+002   247.7   1.73455e+025
  5.0   5.15800e+002   240.9   1.55080e+025
  6.0   4.46700e+002   234.1   1.38206e+025
  7.0   3.85300e+002   227.3   1.22776e+025
  8.0   3.30800e+002   220.6   1.08611e+025
  9.0   2.82900e+002   217.2   9.43378e+024
 10.0   2.41800e+002   217.2   8.06323e+024
 11.0   2.06700e+002   217.2   6.89276e+024
 12.0   1.76600e+002   217.2   5.88903e+024
 13.0   1.51000e+002   217.2   5.03535e+024
 14.0   1.29100e+002   217.2   4.30506e+024
 15.0   1.10300e+002   217.2   3.67814e+024
 16.0   9.43100e+001   216.6   3.15364e+024
 17.0   8.05800e+001   216.0   2.70200e+024
 18.0   6.88200e+001   215.4   2.31410e+024
 19.0   5.87500e+001   214.8   1.98101e+024
 20.0   5.01400e+001   214.2   1.69542e+024
 21.0   4.27700e+001   213.6   1.45028e+024
 22.0   3.64700e+001   213.0   1.24013e+024
 23.0   3.10900e+001   212.4   1.06018e+024
 24.0   2.64900e+001   211.8   9.05876e+023
 25.0   2.25600e+001   211.2   7.73674e+023
 27.5   1.51300e+001   213.6   5.13039e+023
 30.0   1.02000e+001   216.0   3.42026e+023
 32.5   6.91000e+000   218.5   2.29055e+023
 35.0   4.70100e+000   222.3   1.53166e+023
 37.5   3.23000e+000   228.5   1.02383e+023
 40.0   2.24300e+000   234.7   6.92196e+022
 42.5   1.57000e+000   240.8   4.72232e+022
 45.0   1.11300e+000   247.0   3.26370e+022
 47.5   7.90000e-001   253.2   2.25983e+022
 50.0   5.71900e-001   259.3   1.59746e+022
 55.0   2.99000e-001   259.1   8.35827e+021
 60.0   1.55000e-001   250.9   4.47449e+021
 65.0   7.90000e-002   248.4   2.30350e+021
 70.0   4.00000e-002   245.4   1.18059e+021
 75.0   2.00000e-002   234.7   6.17205e+020
 80.0   9.66000e-003   223.9   3.12490e+020
 85.0   4.50000e-003   213.1   1.52947e+020
 90.0   2.02200e-003   202.3   7.23932e+019
 95.0   9.07000e-004   211.0   3.11342e+019
100.0   4.23000e-004   218.5   1.40217e+019
105.0   2.07000e-004   234.0   6.40718e+018
110.0   1.08000e-004   252.6   3.09673e+018
115.0   6.00000e-005   288.5   1.50632e+018
120.0   3.59000e-005   333.0   7.80841e+017
